trace_id,condition,issued_offset_ms,target_offset_ms,horizon_ms,predicted_rps,mutation_id,pair_manifest_id
stable-noisy-control-v1,oracle,0,6000,6000,25.000000,oracle-reference-v1,step8-oracle-reference-v1.0.0
stable-noisy-control-v1,oracle,1000,7000,6000,24.000000,oracle-reference-v1,step8-oracle-reference-v1.0.0
stable-noisy-control-v1,oracle,2000,8000,6000,23.000000,oracle-reference-v1,step8-oracle-reference-v1.0.0
stable-noisy-control-v1,oracle,3000,9000,6000,24.000000,oracle-reference-v1,step8-oracle-reference-v1.0.0
stable-noisy-control-v1,oracle,4000,10000,6000,25.000000,oracle-reference-v1,step8-oracle-reference-v1.0.0
stable-noisy-control-v1,oracle,5000,11000,6000,26.000000,oracle-reference-v1,step8-oracle-reference-v1.0.0
stable-noisy-control-v1,oracle,6000,12000,6000,27.000000,oracle-reference-v1,step8-oracle-reference-v1.0.0
stable-noisy-control-v1,oracle,7000,13000,6000,26.000000,oracle-reference-v1,step8-oracle-reference-v1.0.0
stable-noisy-control-v1,oracle,8000,14000,6000,25.000000,oracle-reference-v1,step8-oracle-reference-v1.0.0
stable-noisy-control-v1,oracle,9000,15000,6000,24.000000,oracle-reference-v1,step8-oracle-reference-v1.0.0
stable-noisy-control-v1,oracle,10000,16000,6000,23.000000,oracle-reference-v1,step8-oracle-reference-v1.0.0
stable-noisy-control-v1,oracle,11000,17000,6000,24.000000,oracle-reference-v1,step8-oracle-reference-v1.0.0
stable-noisy-control-v1,oracle,12000,18000,6000,25.000000,oracle-reference-v1,step8-oracle-reference-v1.0.0
stable-noisy-control-v1,oracle,13000,19000,6000,26.000000,oracle-reference-v1,step8-oracle-reference-v1.0.0
stable-noisy-control-v1,oracle,14000,20000,6000,27.000000,oracle-reference-v1,step8-oracle-reference-v1.0.0
stable-noisy-control-v1,oracle,15000,21000,6000,26.000000,oracle-reference-v1,step8-oracle-reference-v1.0.0
stable-noisy-control-v1,oracle,16000,22000,6000,25.000000,oracle-reference-v1,step8-oracle-reference-v1.0.0
stable-noisy-control-v1,oracle,17000,23000,6000,24.000000,oracle-reference-v1,step8-oracle-reference-v1.0.0
stable-noisy-control-v1,oracle,18000,24000,6000,23.000000,oracle-reference-v1,step8-oracle-reference-v1.0.0
stable-noisy-control-v1,oracle,19000,25000,6000,24.000000,oracle-reference-v1,step8-oracle-reference-v1.0.0
