second,offset_ms,target_rps,workload_phase,workload_event,offered_requests,dispatched_requests,completed_requests,successful_requests,failed_requests,timeouts,latency_p50_ms,latency_p95_ms,latency_p99_ms,dispatch_lateness_p99_ms,observed_serving_pods,forecast_rps,oracle_replicas,raw_replicas,bounded_replicas,stabilized_replicas,commanded_replicas,controller_action,scale_down_held,safety_net_enabled,safety_net_state,deployment_desired_replicas,deployment_current_replicas,deployment_ready_replicas,deployment_available_replicas,pod_ready_count,service_ready_endpoints,pod_restart_count,pod_cpu_cores,pod_memory_bytes,cpu_throttling_ratio,network_receive_bytes_s,network_transmit_bytes_s,application_requests_s,application_errors_s,controller_present,kubernetes_present,prometheus_present
0,0,25.000000,warmup,stable_start,25.000000,25,24,24,0,0,16.0,31.0,31.77,14.339000000000002,1,25,1,1,1,1,1,none,False,False,not_applicable,1,1,1,1,1,1,7,0.001156412807565397,4739072.0,0.0,1094.2016759462347,8564.760137225127,0.0,0.0,True,True,True
1,1000,25.000000,warmup,,25.000000,25,25,25,0,0,16.0,32.0,32.0,12.339000000000002,1,25,1,1,1,1,1,none,False,False,not_applicable,1,1,1,1,1,1,7,0.0026510076639227635,4902912.0,0.0,1094.2016759462347,8564.760137225127,2.111111111111111,0.0,True,True,True
2,2000,25.000000,warmup,,25.000000,25,25,25,0,0,15.0,31.0,31.759999999999998,14.858999999999998,1,25,1,1,1,1,1,none,False,False,not_applicable,1,1,1,1,1,1,7,0.0026510076639227635,4902912.0,0.0,1094.2016759462347,8564.760137225127,5.0,0.0,True,True,True
3,3000,25.000000,warmup,,25.000000,25,25,25,0,0,16.0,31.799999999999997,32.0,14.339000000000002,1,25,1,1,1,1,1,none,False,False,not_applicable,1,1,1,1,1,1,7,0.0026510076639227635,4902912.0,0.0,1094.2016759462347,8564.760137225127,7.777777777777779,0.0,True,True,True
4,4000,25.000000,warmup,,25.000000,25,26,26,0,0,16.0,31.0,31.75,11.858999999999998,1,25,1,1,1,1,1,none,False,False,not_applicable,1,1,1,1,1,1,7,0.0026510076639227635,4902912.0,0.0,1094.201675946235,8564.760137225128,10.444444444444445,0.0,True,True,True
5,5000,25.000000,warmup,,25.000000,25,24,24,0,0,16.0,31.0,31.0,14.858999999999998,1,25,1,1,1,1,1,none,False,False,not_applicable,1,1,1,1,1,1,7,0.0026510076639227635,4902912.0,0.0,1094.201675946235,8564.760137225128,13.333333333333334,0.0,True,True,True
6,6000,25.000000,warmup,,25.000000,25,26,26,0,0,15.0,31.75,32.0,12.339000000000002,1,25,1,1,1,1,1,none,False,False,not_applicable,1,1,1,1,1,1,7,0.0026510076639227635,4902912.0,0.0,2506.544821258029,10875.320686878524,16.11111111111111,0.0,True,True,True
7,7000,25.000000,warmup,,25.000000,25,24,24,0,0,16.0,31.0,31.0,14.378999999999994,1,25,1,1,1,1,1,none,False,False,not_applicable,1,1,1,1,1,1,7,0.0026510076639227635,4902912.0,0.0,2506.544821258029,10875.320686878524,18.899388549193997,0.0,True,True,True
8,8000,25.000000,warmup,,25.000000,25,25,25,0,0,15.0,31.799999999999997,32.0,14.339000000000002,1,25,1,1,1,1,1,none,False,False,not_applicable,1,1,1,1,1,1,7,0.0026510076639227635,4902912.0,0.0,2506.544821258029,10875.320686878524,21.569935512563934,0.0,True,True,True
9,9000,25.000000,warmup,,25.000000,25,25,25,0,0,16.0,31.0,31.0,11.858999999999998,1,25,1,1,1,1,1,none,False,False,not_applicable,1,1,1,1,1,1,7,0.0026510076639227635,4902912.0,0.0,2506.544821258029,10875.320686878524,24.45803224013341,0.0,True,True,True
