run_id,source_step,safety_enabled,phase,pair_id,condition,workload_id,repetition,attempt,event_index,event_window_start_second,event_window_end_second,actual_onset_second,predicted_onset_second,timing_error_seconds,onset_missing_reason,baseline_rps,onset_threshold_rps,actual_peak_rps,predicted_peak_rps,peak_amplitude_error_rps,mean_desired_replica_error,deficient_replica_seconds,excess_replica_seconds,ready_capacity_deficit_rps_seconds,event_p99_latency_ms,slo_violation_seconds,slo_episode_count,recovery_time_seconds,maximum_ready_deficit_replicas,pod_event_source
final-oracle-sustain-r01-s0,step15,False,reference,reference-oracle,oracle,sustained-peak-v1,1,4,1,60,240,60,60,0,,25.0,28.5,60.0,60.0,0.0,0.0,0,0,0,41.168000000000035,13,13,0,0,raw_kubernetes_snapshots
final-p02-b-r01-s0,step15,False,primary,pair-02-duration,shortened_peak,sustained-peak-v1,1,1,1,60,240,60,60,0,,25.0,28.5,60.0,60.0,0.0,-0.11602209944751381,21,0,205.0,1657.7314000000001,32,27,9,4,raw_kubernetes_snapshots
final-p01-a-r01-s0,step15,False,primary,pair-01-direction_bias,persistent_negative_bias,sustained-peak-v1,1,1,1,60,240,60,60,0,,25.0,28.5,60.0,55.0,-5.0,-1.0,181,0,900.0,58.62148000000002,27,27,2,1,raw_kubernetes_snapshots
final-p05-b-r01-s0,step15,False,primary,pair-05-shape,smoothed,periodic-triangle-v1,1,2,1,60,179,66,66,0,,25.0,28.5,60.0,56.944444,-3.055556000000003,0.0,0,0,0,37.00027000000001,23,22,3,0,raw_kubernetes_snapshots
final-p05-b-r01-s0,step15,False,primary,pair-05-shape,smoothed,periodic-triangle-v1,1,2,2,180,299,187,186,-1,,25.583333,29.024999700000002,60.0,56.944444,-3.055556000000003,0.0,0,0,0,38.14125000000001,21,20,1,0,raw_kubernetes_snapshots
final-p05-b-r01-s0,step15,False,primary,pair-05-shape,smoothed,periodic-triangle-v1,1,2,3,300,419,307,306,-1,,25.583333,29.024999700000002,60.0,56.944444,-3.055556000000003,0.0,0,0,0,37.96127000000003,19,19,12,0,raw_kubernetes_snapshots
final-p05-b-r01-s0,step15,False,primary,pair-05-shape,smoothed,periodic-triangle-v1,1,2,4,420,539,427,426,-1,,25.583333,29.024999700000002,60.0,56.944444,-3.055556000000003,0.0,0,0,0,37.46490000000002,23,21,12,0,raw_kubernetes_snapshots
final-p05-b-r01-s0,step15,False,primary,pair-05-shape,smoothed,periodic-triangle-v1,1,2,5,540,659,547,546,-1,,25.583333,29.024999700000002,60.0,56.944444,-3.055556000000003,0.0,0,0,0,39.380000000000024,25,24,0,0,raw_kubernetes_snapshots
final-p03-a-r01-s0,step15,False,primary,pair-03-event_presence,false_peak,narrow-spike-v1,1,2,1,60,90,60,20,-40,,25.0,28.5,60.0,60.0,0.0,0.0,0,0,0,39.43252,5,4,4,0,raw_kubernetes_snapshots
final-p04-a-r01-s0,step15,False,primary,pair-04-location,stable_period_error,gradual-ramp-v1,1,1,1,60,420,77,77,0,,25.0,28.5,60.0,60.0,0.0,0.0,0,0,0,40.043079999999996,68,61,2,0,raw_kubernetes_snapshots
final-oracle-spike-r01-s0,step15,False,reference,reference-oracle,oracle,narrow-spike-v1,1,1,1,60,90,60,60,0,,25.0,28.5,60.0,60.0,0.0,0.0,0,0,0,38.016239999999996,4,4,0,0,raw_kubernetes_snapshots
final-p02-a-r01-s0,step15,False,primary,pair-02-duration,extended_peak,sustained-peak-v1,1,1,1,60,240,60,60,0,,25.0,28.5,60.0,60.0,0.0,0.0,0,0,0,42.645480000000006,19,18,3,0,raw_kubernetes_snapshots
final-p07-b-r01-s0,step15,False,primary,pair-07-timing_spike,late_event,narrow-spike-v1,1,1,1,60,90,60,70,10,,25.0,28.5,60.0,60.0,0.0,-0.3870967741935484,12,0,180.0,2792.16468,11,2,3,4,raw_kubernetes_snapshots
final-p03-b-r01-s0,step15,False,primary,pair-03-event_presence,missed_peak,narrow-spike-v1,1,1,1,60,90,60,,,forecast_does_not_cross_event_threshold,25.0,28.5,60.0,25.0,-35.0,-3.0,93,0,1170.0,7990.571679999999,31,1,4,4,raw_kubernetes_snapshots
final-p06-a-r01-s0,step15,False,primary,pair-06-timing_periodic,early_event,periodic-triangle-v1,1,1,1,60,179,66,51,-15,,25.0,28.5,60.0,60.0,0.0,0.025,30,33,0,37.75348000000001,22,19,6,0,raw_kubernetes_snapshots
final-p06-a-r01-s0,step15,False,primary,pair-06-timing_periodic,early_event,periodic-triangle-v1,1,1,2,180,299,187,180,-7,,25.583333,29.024999700000002,60.0,60.0,0.0,0.0,30,30,0,38.84123000000001,26,24,1,0,raw_kubernetes_snapshots
final-p06-a-r01-s0,step15,False,primary,pair-06-timing_periodic,early_event,periodic-triangle-v1,1,1,3,300,419,307,300,-7,,25.583333,29.024999700000002,60.0,60.0,0.0,0.0,30,30,0,36.802130000000005,18,18,5,0,raw_kubernetes_snapshots
final-p06-a-r01-s0,step15,False,primary,pair-06-timing_periodic,early_event,periodic-triangle-v1,1,1,4,420,539,427,420,-7,,25.583333,29.024999700000002,60.0,60.0,0.0,0.0,30,30,0,36.95764000000001,18,18,6,0,raw_kubernetes_snapshots
final-p06-a-r01-s0,step15,False,primary,pair-06-timing_periodic,early_event,periodic-triangle-v1,1,1,5,540,659,547,540,-7,,25.583333,29.024999700000002,60.0,60.0,0.0,0.0,30,30,0,39.841670000000036,20,18,0,0,raw_kubernetes_snapshots
final-oracle-ramp-r01-s0,step15,False,reference,reference-oracle,oracle,gradual-ramp-v1,1,1,1,60,420,77,77,0,,25.0,28.5,60.0,60.0,0.0,0.0,0,0,0,37.918680000000016,60,57,0,0,raw_kubernetes_snapshots
final-p01-b-r01-s0,step15,False,primary,pair-01-direction_bias,persistent_positive_bias,sustained-peak-v1,1,1,1,60,240,60,6,-54,,25.0,28.5,60.0,65.0,5.0,0.0,0,0,0,42.81900000000004,25,25,0,0,raw_kubernetes_snapshots
final-p06-b-r01-s0,step15,False,primary,pair-06-timing_periodic,late_event,periodic-triangle-v1,1,1,1,60,179,66,81,15,,25.0,28.5,60.0,60.0,0.0,-0.23333333333333334,45,17,91.16666699999999,39.02605000000002,21,20,12,1,raw_kubernetes_snapshots
final-p06-b-r01-s0,step15,False,primary,pair-06-timing_periodic,late_event,periodic-triangle-v1,1,1,2,180,299,187,180,-7,,25.583333,29.024999700000002,60.0,60.0,0.0,0.0,30,30,56.333333999999994,39.73024000000002,22,22,5,1,raw_kubernetes_snapshots
final-p06-b-r01-s0,step15,False,primary,pair-06-timing_periodic,late_event,periodic-triangle-v1,1,1,3,300,419,307,300,-7,,25.583333,29.024999700000002,60.0,60.0,0.0,0.0,30,30,56.333333999999994,40.38952000000002,22,21,14,1,raw_kubernetes_snapshots
final-p06-b-r01-s0,step15,False,primary,pair-06-timing_periodic,late_event,periodic-triangle-v1,1,1,4,420,539,427,420,-7,,25.583333,29.024999700000002,60.0,60.0,0.0,0.0,30,30,62.333333999999994,38.50449000000001,21,19,14,1,raw_kubernetes_snapshots
final-p06-b-r01-s0,step15,False,primary,pair-06-timing_periodic,late_event,periodic-triangle-v1,1,1,5,540,659,547,540,-7,,25.583333,29.024999700000002,60.0,60.0,0.0,0.0,30,30,56.333333999999994,36.63038000000001,23,23,8,1,raw_kubernetes_snapshots
final-oracle-periodic-r01-s0,step15,False,reference,reference-oracle,oracle,periodic-triangle-v1,1,1,1,60,179,66,66,0,,25.0,28.5,60.0,60.0,0.0,0.0,0,0,0,35.958450000000035,20,19,5,0,raw_kubernetes_snapshots
final-oracle-periodic-r01-s0,step15,False,reference,reference-oracle,oracle,periodic-triangle-v1,1,1,2,180,299,187,187,0,,25.583333,29.024999700000002,60.0,60.0,0.0,0.0,0,0,0,35.79815000000001,20,19,6,0,raw_kubernetes_snapshots
final-oracle-periodic-r01-s0,step15,False,reference,reference-oracle,oracle,periodic-triangle-v1,1,1,3,300,419,307,307,0,,25.583333,29.024999700000002,60.0,60.0,0.0,0.0,0,0,0,35.14321,22,18,9,0,raw_kubernetes_snapshots
final-oracle-periodic-r01-s0,step15,False,reference,reference-oracle,oracle,periodic-triangle-v1,1,1,4,420,539,427,427,0,,25.583333,29.024999700000002,60.0,60.0,0.0,0.0,0,0,0,37.059130000000025,20,19,4,0,raw_kubernetes_snapshots
final-oracle-periodic-r01-s0,step15,False,reference,reference-oracle,oracle,periodic-triangle-v1,1,1,5,540,659,547,547,0,,25.583333,29.024999700000002,60.0,60.0,0.0,0.0,0,0,0,36.725090000000066,21,19,0,0,raw_kubernetes_snapshots
final-p04-b-r01-s0,step15,False,primary,pair-04-location,transition_period_error,gradual-ramp-v1,1,1,1,60,420,77,60,-17,,25.0,28.5,60.0,60.0,0.0,0.16620498614958448,0,60,0,38.04868000000001,63,58,0,0,raw_kubernetes_snapshots
final-p05-a-r01-s0,step15,False,primary,pair-05-shape,sharpened,periodic-triangle-v1,1,1,1,60,179,66,67,1,,25.0,28.5,60.0,63.055556,3.055556000000003,0.0,0,0,0,36.422340000000005,24,23,5,0,raw_kubernetes_snapshots
final-p05-a-r01-s0,step15,False,primary,pair-05-shape,sharpened,periodic-triangle-v1,1,1,2,180,299,187,188,1,,25.583333,29.024999700000002,60.0,63.055556,3.055556000000003,0.0,0,0,0,35.34252000000006,25,25,8,0,raw_kubernetes_snapshots
final-p05-a-r01-s0,step15,False,primary,pair-05-shape,sharpened,periodic-triangle-v1,1,1,3,300,419,307,308,1,,25.583333,29.024999700000002,60.0,63.055556,3.055556000000003,0.0,0,0,0,37.01905000000002,20,19,5,0,raw_kubernetes_snapshots
final-p05-a-r01-s0,step15,False,primary,pair-05-shape,sharpened,periodic-triangle-v1,1,1,4,420,539,427,428,1,,25.583333,29.024999700000002,60.0,63.055556,3.055556000000003,0.0,0,0,0,36.50730000000001,23,22,4,0,raw_kubernetes_snapshots
final-p05-a-r01-s0,step15,False,primary,pair-05-shape,sharpened,periodic-triangle-v1,1,1,5,540,659,547,548,1,,25.583333,29.024999700000002,60.0,63.055556,3.055556000000003,0.0,0,0,0,36.05163000000002,22,21,0,0,raw_kubernetes_snapshots
final-p07-a-r01-s0,step15,False,primary,pair-07-timing_spike,early_event,narrow-spike-v1,1,2,1,60,90,60,50,-10,,25.0,28.5,60.0,60.0,0.0,0.0,0,0,0,39.79355999999999,2,2,0,0,raw_kubernetes_snapshots
final-p03-b-r02-s0,step15,False,primary,pair-03-event_presence,missed_peak,narrow-spike-v1,2,1,1,60,90,60,,,forecast_does_not_cross_event_threshold,25.0,28.5,60.0,25.0,-35.0,-3.0,93,0,1140.0,5456.58044,31,1,5,4,raw_kubernetes_snapshots
final-p07-b-r02-s0,step15,False,primary,pair-07-timing_spike,late_event,narrow-spike-v1,2,1,1,60,90,60,70,10,,25.0,28.5,60.0,60.0,0.0,-0.3870967741935484,12,0,210.0,2797.19472,9,2,0,4,raw_kubernetes_snapshots
final-p03-a-r02-s0,step15,False,primary,pair-03-event_presence,false_peak,narrow-spike-v1,2,1,1,60,90,60,20,-40,,25.0,28.5,60.0,60.0,0.0,0.0,0,0,0,39.42252,3,3,0,0,raw_kubernetes_snapshots
