run_id,source_step,phase,pair_id,condition_side,condition,workload_id,repetition,safety_enabled,attempt,duration_seconds,forecast_aligned_seconds,mae_rps,rmse_rps,bias_rps,transition_mae_rps,desired_replica_mae,desired_replica_bias,deficient_replica_seconds,excess_replica_seconds,ready_deficient_replica_seconds,scale_action_count,scale_up_action_count,scale_down_action_count,churn_magnitude_replicas,slo_violation_seconds,slo_violation_rate,slo_episode_count,maximum_slo_episode_seconds,latency_violation_seconds,failure_violation_seconds,completion_violation_seconds,request_count,request_p99_latency_ms,request_failure_count,request_failure_rate,mean_cpu_cores,max_cpu_cores,mean_readiness_delay_seconds,max_readiness_delay_seconds,readiness_delay_observations,pod_created_count,pod_ready_transition_count,ready_source,pod_event_source,normalized_kubernetes_record_coverage_ratio,kubernetes_snapshot_valid_ratio
final-oracle-sustain-r01-s0,step15,reference,reference-oracle,reference,oracle,sustained-peak-v1,1,False,4,360,354,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,4,1,3,6,28,0.07777777777777778,28,1,0,0,28,15300,38.60828,0,0.0,0.5393418641897607,0.8372797557480968,1.0,1,1,3,3,normalized_kubernetes_snapshot,raw_kubernetes_snapshots,1.0,1.0
final-p02-b-r01-s0,step15,primary,pair-02-duration,b,shortened_peak,sustained-peak-v1,1,False,1,360,354,2.9661016949152543,10.188893920442684,-2.9661016949152543,0.0,0.25,-0.25,90,0,19,4,1,3,6,48,0.13333333333333333,36,8,8,10,39,15300,1261.4022100000025,97,0.0063398692810457515,0.5338847899348494,0.8524208997676844,3.0,3,1,3,3,normalized_kubernetes_snapshot,raw_kubernetes_snapshots,1.0,1.0
final-p01-a-r01-s0,step15,primary,pair-01-direction_bias,a,persistent_negative_bias,sustained-peak-v1,1,False,1,360,354,5.0,5.0,-5.0,5.0,0.5861111111111111,-0.5861111111111111,211,0,180,3,1,2,4,48,0.13333333333333333,48,1,0,0,48,15300,55.469600000000014,0,0.0,0.5558517214060633,0.8554310487932638,2.0,2,1,2,2,normalized_kubernetes_snapshot,raw_kubernetes_snapshots,0.9861111111111112,1.0
final-p05-b-r01-s0,step15,primary,pair-05-shape,b,smoothed,periodic-triangle-v1,1,False,2,720,714,0.29956431372549036,0.726681042587531,-1.3932210505100003e-16,0.33865745666666686,0.0,0.0,0,0,0,22,11,11,22,128,0.17777777777777778,123,2,0,0,128,28500,37.71201,0,0.0,0.5083349115266359,0.7434466509182126,1.0909090909090908,2,11,11,11,normalized_kubernetes_snapshot,raw_kubernetes_snapshots,0.9902777777777778,1.0
final-p03-a-r01-s0,step15,primary,pair-03-event_presence,a,false_peak,narrow-spike-v1,1,False,2,180,174,6.0344827586206895,14.532958974404494,6.0344827586206895,0.0,0.6666666666666666,0.6666666666666666,0,120,0,4,1,3,6,32,0.17777777777777778,31,2,0,0,32,5550,35.64501000000001,0,0.0,0.3580570858452611,0.7303758871611468,1.0,1,1,3,3,normalized_kubernetes_snapshot,raw_kubernetes_snapshots,0.9944444444444445,1.0
final-p04-a-r01-s0,step15,primary,pair-04-location,a,stable_period_error,gradual-ramp-v1,1,False,1,480,474,1.0126582278481013,2.8462722678592804,1.0126582278481013,0.0,0.11458333333333333,0.11458333333333333,0,55,0,5,3,2,5,81,0.16875,74,2,0,0,81,19350,39.34019999999997,0,0.0,0.5306117084075712,0.844633820334168,1.3333333333333333,2,3,3,3,normalized_kubernetes_snapshot,raw_kubernetes_snapshots,0.9958333333333333,1.0
final-oracle-spike-r01-s0,step15,reference,reference-oracle,reference,oracle,narrow-spike-v1,1,False,1,180,174,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,4,1,3,6,18,0.1,18,1,0,0,18,5550,34.78254000000001,0,0.0,0.35269241810975555,0.6586144648082217,1.0,1,1,3,3,normalized_kubernetes_snapshot,raw_kubernetes_snapshots,0.9888888888888889,1.0
final-p02-a-r01-s0,step15,primary,pair-02-duration,a,extended_peak,sustained-peak-v1,1,False,1,360,354,2.9661016949152543,10.188893920442684,2.9661016949152543,17.5,0.25,0.25,0,90,0,4,1,3,6,39,0.10833333333333334,38,2,0,0,39,15300,39.39235000000001,0,0.0,0.5447585817016604,0.8504493496771492,1.0,1,1,3,3,normalized_kubernetes_snapshot,raw_kubernetes_snapshots,1.0,1.0
final-p07-b-r01-s0,step15,primary,pair-07-timing_spike,b,late_event,narrow-spike-v1,1,False,1,180,174,4.022988505747127,11.866111313364181,0.0,35.0,0.3333333333333333,0.0,30,30,16,4,1,3,6,23,0.12777777777777777,14,9,9,4,17,5550,2129.7738200000035,91,0.016396396396396395,0.34509941143879347,0.6263284358251014,1.0,1,1,3,3,normalized_kubernetes_snapshot,raw_kubernetes_snapshots,0.9833333333333333,1.0
final-p03-b-r01-s0,step15,primary,pair-03-event_presence,b,missed_peak,narrow-spike-v1,1,False,1,180,174,6.0344827586206895,14.532958974404494,-6.0344827586206895,17.5,1.0,-1.0,180,0,100,0,0,0,0,66,0.36666666666666664,18,35,35,36,33,5550,6137.093320000004,692,0.12468468468468469,0.29980364778678376,0.4578660546981913,,,0,0,0,normalized_kubernetes_snapshot,raw_kubernetes_snapshots,0.9722222222222222,1.0
final-p06-a-r01-s0,step15,primary,pair-06-timing_periodic,a,early_event,periodic-triangle-v1,1,False,1,720,714,6.5294117815126045,7.361835586127132,0.0,7.653333353333332,0.4583333333333333,0.0,165,165,0,22,11,11,22,114,0.15833333333333333,107,2,0,0,114,28500,37.506029999999996,0,0.0,0.5104323568051949,0.7545295170097895,1.5454545454545454,2,11,11,11,normalized_kubernetes_snapshot,raw_kubernetes_snapshots,1.0,1.0
