replicas,repetition,completed,errors,achieved_rps,p50_ms,p95_ms,p99_ms,max_mean_cpu_m,peak_cpu_m,max_mean_throttle_pct,pass
1,1,3600,0,30,14.967,17,19.99,390.61616175646174,416.6323062558371,0.0,True
1,2,3600,0,30,14.978,16.827,19.546,371.8727742760689,415.4278239256977,0.0,True
1,3,3600,0,30,15.045,17.041,20.377,318.66781410321124,416.0598416886541,0.0,True
2,1,4800,0,40.0,15.558,24.78,31.828,276.22,,8.16,True
2,2,4800,0,40.0,15.639,23.332,32.058,294.65,,8.79,True
2,3,4800,0,40.0,15.647,27.137,33.762,263.06,,7.78,True
3,1,6600,0,55.0,15.136,25.406,43.113,260.87,,8.06,True
3,2,6600,0,55.0,15.063,25.349,43.09,251.38,,5.93,True
3,3,6600,0,55.0,15.143,25.189,49.393,249.58,,8.16,True
4,1,7800,0,65.0,15.072,25.846,46.245,238.8,,8.44,True
4,2,7800,0,65.0,15.126,27.291,44.277,228.63,,5.8,True
4,3,7800,0,65.0,15.101,27.888,42.988,222.88,,5.57,True
