"Repetition","RPS","Completed","Errors","FailureRate","CompletionRatio","AvgMs","P50Ms","P95Ms","P99Ms","CPU","ThrottleRatio","Pass","FailReasons"
"1","55","6600","0","0","1","8.75643227272727","8.619","10.3","11.508","0.336462022505664","0.00384985563041386","True",""
"2","55","6600","0","0","1","8.78747909090909","8.612","10.505","12.273","0.342850114226761","0.0114832535885167","True",""
"3","55","6600","0","0","1","8.60742136363636","8.479","10.193","11.577","0.331762193188043","0.00107066381156317","True",""
"4","55","6600","0","0","1","10.1863392424242","9.454","12.691","29.737","0.384630500082725","0.104145601617796","False","throttling"
"5","55","6600","0","0","1","8.60676545454545","8.541","10.047","11.138","0.331484260000503","0.00246609124537608","True",""
"1","60","7200","0","0","1","9.09605611111111","8.912","10.869","13.25","0.3530683440974","0.0378787878787879","True",""
"2","60","7200","0","0","1","8.79287666666667","8.562","10.469","12.646","0.350143196620613","0.0314875135722041","True",""
"3","60","7200","0","0","1","9.37134180555555","9.08","11.49","14.943","0.371800604197693","0.0732860520094563","True",""
"4","60","7200","0","0","1","8.82332388888889","8.616","10.405","11.942","0.367912325751141","0.028169014084507","True",""
"5","60","7200","0","0","1","8.84810138888889","8.644","10.461","12.078","0.356573788818232","0.0228174603174603","True",""
"1","65","7800","0","0","1","8.94426692307692","8.578","10.869","17.369","0.401556314270721","0.112707182320442","False","throttling"
"2","65","7800","0","0","1","9.12882371794872","8.612","10.896","21.272","0.397999235937277","0.120734908136483","False","throttling"
"3","65","7800","0","0","1","12.5368257692308","8.926","17.445","140.594","0.418313043312189","0.122977346278317","False","throttling"
"4","65","7800","0","0","1","9.2619991025641","8.659","11.287","24.458","0.412470363821753","0.110228401191658","False","throttling"
"5","65","7800","0","0","1","9.37791512820513","9.037","10.829","18.81","0.397414704175473","0.116618075801749","False","throttling"
"1","70","8400","0","0","1","9.82607154761905","8.604","13.182","42.243","0.436972808228772","0.257142857142857","False","throttling"
"2","70","8400","0","0","1","10.1217961904762","8.789","17.192","40.899","0.444891427041343","0.365162644281217","False","throttling"
"3","70","8400","0","0","1","11.4988803571429","9.082","26.691","62.766","0.435593237983288","0.514619883040936","False","throttling"
"4","70","8400","0","0","1","15.495568452381","9.07","43.456","175.02","0.404694135056108","0.408910891089109","False","throttling"
"5","70","8400","0","0","1","24.1330373809524","9.856","84.386","173.528","0.459596367426848","0.947239263803681","False","cpu,throttling"
"1","75","9000","0","0","1","27.6440415555556","9.106","135.064","246.188","0.456557152963982","0.833168805528134","False","cpu,throttling"
"2","75","9000","0","0","1","40.3808807777778","9.2","243.507","464.202","0.460303824933613","0.740701381509033","False","p99,cpu,throttling"
"3","75","9000","0","0","1","27.5567535555556","9.185","120.726","194.204","0.467108187712519","0.866364665911665","False","cpu,throttling"
"4","75","9000","0","0","1","127.052897888889","47.629","588.471","1138.671","0.476916745478882","0.990862944162437","False","p99,cpu,throttling"
"5","75","8773","227","0.0252222222222222","0.974777777777778","1052.83995109997","122.262","4087.151","5027.771","0.475284316215045","0.9921875","False","p99,failures,throughput,cpu,throttling"
