replicas,target_rps,runs,passes,all_pass,max_failure_rate,max_p99_ms,max_pod_cpu,max_throttle_ratio,max_imbalance_ratio,mean_achieved_rps
1,45,5,5,True,0.0,30.264,0.32203585327156015,0.06425702811244981,0.0,45.0
1,50,5,4,False,0.0,45.866,0.36744964172144806,0.11017740429505136,0.0,50.0
1,55,5,4,False,0.0,29.737,0.3846305000827246,0.10414560161779575,0.0,55.0
1,60,5,5,True,0.0,14.943,0.37180060419769323,0.07328605200945626,0.0,60.0
1,65,5,0,False,0.0,140.594,0.4183130433121893,0.12297734627831716,0.0,65.0
1,70,5,0,False,0.0,175.02,0.4595963674268481,0.947239263803681,0.0,70.0
1,75,5,0,False,0.025222222222222222,5027.771,0.47691674547888174,0.9921875,0.0,74.62166666666667
2,81,3,3,True,0.0,28.218,0.28591581318586856,0.054824561403508776,0.03333333333333333,81.0
2,90,3,3,True,0.0,28.562,0.3270067526946652,0.08791208791208792,0.035555555555555556,90.0
2,99,3,1,False,0.0,77.763,0.371263657493096,0.32995951417004044,0.030976430976430977,99.0
3,100,3,3,True,0.0,26.615,0.25313502931498444,0.04610655737704918,0.04075,100.0
3,105,3,3,True,0.0,20.366,0.2485459428611638,0.044181034482758626,0.024285714285714285,105.0
3,110,3,2,False,0.0,32.479,0.2883067344721761,0.10700389105058365,0.01659090909090909,110.0
3,115,3,2,False,0.0,45.733,0.3234323153408209,0.1709486166007905,0.04586956521739131,115.0
3,120,3,1,False,0.0,39.443,0.32331902136888646,0.1452991452991453,0.015208333333333334,120.0
3,122,3,0,False,0.0,42.862,0.32412084581953865,0.15308151093439365,0.03012295081967213,122.0
3,135,3,0,False,0.030987654320987653,54.13,0.3610999753568165,0.24411764705882355,0.038980891719745225,130.91666666666666
3,149,3,0,False,0.12192393736017897,121.535,0.3597359453545254,0.4222222222222222,0.028012449977767896,130.99444444444444
4,110,3,3,True,0.0,14.594,0.19080148533489308,0.016587677725118485,0.045454545454545456,110.0
4,120,3,3,True,0.0,19.154,0.2291510079384322,0.032460732984293195,0.05694444444444444,120.0
4,130,3,3,True,0.0,30.813,0.25780763324293965,0.05239179954441913,0.09487179487179487,130.0
4,135,3,0,False,0.032469135802469136,34.927,0.27487271384685347,0.05769230769230769,0.06844348323897971,130.87222222222223
4,140,3,0,False,0.06761904761904762,16.961,0.23380915536731006,0.028511087645195353,0.024514811031664963,130.825
4,150,3,0,False,0.1288888888888889,38.588,0.25149091476666063,0.08454106280193238,0.053902873124841086,130.95
4,160,3,0,False,0.1828125,31.014,0.23743261376092512,0.10273081924577372,0.03620140216698534,130.775
4,162,3,0,False,0.1911008230452675,42.778,0.25785274083920945,0.1401985111662531,0.040914866581956796,131.15833333333333
4,180,3,0,False,0.27199074074074076,223.318,0.28026621968735765,0.4500907441016334,0.042099923915800155,131.40277777777777
4,198,3,0,False,0.336489898989899,117.863,0.2782282701163528,0.41714285714285715,0.04439119742732833,131.78055555555557
