run,replicas,target_rps,completed,errors,failure_rate,completion_ratio,achieved_rps,average_ms,p50_ms,p95_ms,p99_ms,max_pod_cpu,max_throttle_ratio,pod_count,imbalance_ratio,pass,reasons
confirmatory-lower-045-r01-20260802-200205,1,45,5400,0,0.0,1.0,45.0,10.316038148148149,9.875,13.386,17.723,0.2848739223292982,0.018090452261306532,1,0.0,True,
confirmatory-lower-045-r02-20260802-200548,1,45,5400,0,0.0,1.0,45.0,10.247447037037038,9.855,13.329,15.819,0.30823482647887857,0.014218009478672987,1,0.0,True,
confirmatory-lower-045-r03-20260802-200930,1,45,5400,0,0.0,1.0,45.0,11.06256037037037,10.036,14.851,30.264,0.32203585327156015,0.06425702811244981,1,0.0,True,
confirmatory-lower-045-r04-20260802-201312,1,45,5400,0,0.0,1.0,45.0,9.246510370370371,9.034,11.085,12.734,0.2802847378153559,0.0,1,0.0,True,
confirmatory-lower-045-r05-20260802-201653,1,45,5400,0,0.0,1.0,45.0,9.149634074074074,8.955,10.778,12.597,0.2821764753716425,0.0,1,0.0,True,
confirmatory-lower-050-r01-20260802-194217,1,50,6000,0,0.0,1.0,50.0,10.581296333333333,9.593,14.535,30.926,0.3236886730449448,0.046860356138706656,1,0.0,True,
confirmatory-lower-050-r02-20260802-194603,1,50,6000,0,0.0,1.0,50.0,12.182418666666667,10.981,18.699,45.866,0.36744964172144806,0.11017740429505136,1,0.0,False,throttling
confirmatory-lower-050-r03-20260802-194944,1,50,6000,0,0.0,1.0,50.0,10.101136166666667,9.495,12.894,22.224,0.3270927124101335,0.028684470820969338,1,0.0,True,
confirmatory-lower-050-r04-20260802-195326,1,50,6000,0,0.0,1.0,50.0,8.648636833333335,8.499,10.375,11.42,0.2835013196954579,0.0,1,0.0,True,
confirmatory-lower-050-r05-20260802-195722,1,50,6000,0,0.0,1.0,50.0,10.0256695,9.697,12.482,16.939,0.31498586927288574,0.017894736842105265,1,0.0,True,
confirmatory-r01-20260801-232436,1,55,6600,0,0.0,1.0,55.0,8.756432272727272,8.619,10.3,11.508,0.3364620225056645,0.0038498556304138597,1,0.0,True,
confirmatory-r01-20260801-232436,1,60,7200,0,0.0,1.0,60.0,9.09605611111111,8.912,10.869,13.25,0.35306834409739957,0.03787878787878788,1,0.0,True,
confirmatory-r01-20260801-232436,1,65,7800,0,0.0,1.0,65.0,8.944266923076924,8.578,10.869,17.369,0.40155631427072075,0.112707182320442,1,0.0,False,throttling
confirmatory-r01-20260801-232436,1,70,8400,0,0.0,1.0,70.0,9.826071547619048,8.604,13.182,42.243,0.4369728082287719,0.2571428571428571,1,0.0,False,throttling
confirmatory-r01-20260801-232436,1,75,9000,0,0.0,1.0,75.0,27.644041555555557,9.106,135.064,246.188,0.45655715296398214,0.8331688055281342,1,0.0,False,"cpu,throttling"
confirmatory-r02-20260801-234759,1,55,6600,0,0.0,1.0,55.0,8.787479090909091,8.612,10.505,12.273,0.34285011422676054,0.011483253588516746,1,0.0,True,
confirmatory-r02-20260801-234759,1,60,7200,0,0.0,1.0,60.0,8.792876666666666,8.562,10.469,12.646,0.35014319662061344,0.03148751357220412,1,0.0,True,
confirmatory-r02-20260801-234759,1,65,7800,0,0.0,1.0,65.0,9.128823717948718,8.612,10.896,21.272,0.39799923593727654,0.12073490813648292,1,0.0,False,throttling
confirmatory-r02-20260801-234759,1,70,8400,0,0.0,1.0,70.0,10.121796190476191,8.789,17.192,40.899,0.4448914270413426,0.3651626442812172,1,0.0,False,throttling
confirmatory-r02-20260801-234759,1,75,9000,0,0.0,1.0,75.0,40.38088077777778,9.2,243.507,464.202,0.46030382493361344,0.740701381509033,1,0.0,False,"p99,cpu,throttling"
confirmatory-r03-20260802-000555,1,55,6600,0,0.0,1.0,55.0,8.607421363636364,8.479,10.193,11.577,0.3317621931880425,0.0010706638115631692,1,0.0,True,
confirmatory-r03-20260802-000555,1,60,7200,0,0.0,1.0,60.0,9.371341805555554,9.08,11.49,14.943,0.37180060419769323,0.07328605200945626,1,0.0,True,
