pair_id,contrast_group,workload_id,side,semantic,forecast_id,forecast_path,forecast_sha256,mae_rps,rmse_rps,signed_bias_rps,primary_repetitions,safety_enabled_repetitions
pair-01-direction_bias,direction_bias,sustained-peak-v1,a,persistent_negative_bias,sustained-peak-v1__direction_bias__negative__bias_rps--5-magnitude_rps-5,outputs/step-12-accuracy-matched-forecasts-v1.0.0/accepted-pairs/pair-01-direction_bias/forecast-a.csv,822ac625d4697b7ca57f8056de449b2f5fff01c827fd84e608f0a061e5d2bc5d,5.0,5.0,-5.0,8,5
pair-01-direction_bias,direction_bias,sustained-peak-v1,b,persistent_positive_bias,sustained-peak-v1__direction_bias__positive__bias_rps-5-magnitude_rps-5,outputs/step-12-accuracy-matched-forecasts-v1.0.0/accepted-pairs/pair-01-direction_bias/forecast-b.csv,513c3543e3a310f59e6b60b7e7633243f0185ae5909a82e5ba6c7ad23fd6340d,5.0,5.0,5.0,8,0
pair-02-duration,duration,sustained-peak-v1,a,extended_peak,sustained-peak-v1__duration__extended__duration_s-30,outputs/step-12-accuracy-matched-forecasts-v1.0.0/accepted-pairs/pair-02-duration/forecast-a.csv,3afdd36b51f5b1fb5ed0fc80932971791ce776494b16963b45c7bcbdb45ea3ee,2.9166666666666665,10.103629710818451,2.9166666666666665,8,0
pair-02-duration,duration,sustained-peak-v1,b,shortened_peak,sustained-peak-v1__duration__shortened__duration_s-30,outputs/step-12-accuracy-matched-forecasts-v1.0.0/accepted-pairs/pair-02-duration/forecast-b.csv,eaaa7161e9fc2d52b83b57c46a2e1fb7e79cbd9ddbd3e12e600e4fdac030292b,2.9166666666666665,10.103629710818451,-2.9166666666666665,8,0
pair-03-event_presence,event_presence,narrow-spike-v1,a,false_peak,narrow-spike-v1__event_presence__false__duration_s-30-magnitude_rps-35-peak_rps-60,outputs/step-12-accuracy-matched-forecasts-v1.0.0/accepted-pairs/pair-03-event_presence/forecast-a.csv,73a2811839f37535ed671911e0683e1d7b93aad722aad7ca62eb0995b8cfba4d,5.833333333333333,14.288690166235206,5.833333333333333,8,0
pair-03-event_presence,event_presence,narrow-spike-v1,b,missed_peak,narrow-spike-v1__event_presence__missed__duration_s-30-magnitude_rps-35,outputs/step-12-accuracy-matched-forecasts-v1.0.0/accepted-pairs/pair-03-event_presence/forecast-b.csv,0e335e9baa6471aa234c1c9baf99ccbf0f88e4edc5c96decf2a9a22c73bf655d,5.833333333333333,14.288690166235206,-5.833333333333333,8,5
pair-04-location,location,gradual-ramp-v1,a,stable_period_error,gradual-ramp-v1__location__stable__duration_s-60-magnitude_rps-8-start_s-420,outputs/step-12-accuracy-matched-forecasts-v1.0.0/accepted-pairs/pair-04-location/forecast-a.csv,6896b73fa4c300b0c460fd6cb8c8740a7f14baaa639df1b7f9bd256ca72bd2bf,1.0,2.8284271247461903,1.0,8,0
pair-04-location,location,gradual-ramp-v1,b,transition_period_error,gradual-ramp-v1__location__transition__duration_s-60-magnitude_rps-8-start_s-60,outputs/step-12-accuracy-matched-forecasts-v1.0.0/accepted-pairs/pair-04-location/forecast-b.csv,13f2537a27d927da4f509b37a2f4f68d12b3691657175f81a2f2d718de61bd2a,1.0,2.8284271247461903,1.0,8,0
pair-05-shape,shape,periodic-triangle-v1,a,sharpened,periodic-triangle-v1__shape__sharpened__radius_s-10,outputs/step-12-accuracy-matched-forecasts-v1.0.0/accepted-pairs/pair-05-shape/forecast-a.csv,858dd850ccfa96a23395944a6409c48fc81e9f9c2273a90c9c3853b6fb28847a,0.29706794444444456,0.7236468704939126,1.3816108750890837e-16,8,0
pair-05-shape,shape,periodic-triangle-v1,b,smoothed,periodic-triangle-v1__shape__smoothed__radius_s-10,outputs/step-12-accuracy-matched-forecasts-v1.0.0/accepted-pairs/pair-05-shape/forecast-b.csv,a7d985eabc0eef4595d35a32ec644eb28be6ba97010666f695218653caa7d16a,0.29706794444444456,0.7236468704939126,-1.3816108750890837e-16,8,0
pair-06-timing_periodic,timing_periodic,periodic-triangle-v1,a,early_event,periodic-triangle-v1__timing_periodic__early__shift_s--15,outputs/step-12-accuracy-matched-forecasts-v1.0.0/accepted-pairs/pair-06-timing_periodic/forecast-a.csv,d20e2ca8dd79220f6cb5e9d70808cbf2dcc9ea8b0f7de7f1e75239636cb66788,6.475000016666666,7.3310970986970805,0.0,8,0
pair-06-timing_periodic,timing_periodic,periodic-triangle-v1,b,late_event,periodic-triangle-v1__timing_periodic__late__shift_s-15,outputs/step-12-accuracy-matched-forecasts-v1.0.0/accepted-pairs/pair-06-timing_periodic/forecast-b.csv,b414227617488b3fee5df7f4295f697fc2aa259fb3c135862c669f124a118e0f,6.475000016666666,7.3310970986970805,0.0,8,0
pair-07-timing_spike,timing_spike,narrow-spike-v1,a,early_event,narrow-spike-v1__timing_spike__early__shift_s--10,outputs/step-12-accuracy-matched-forecasts-v1.0.0/accepted-pairs/pair-07-timing_spike/forecast-a.csv,7a2bea516c4bc1455f6143d26d7fefa437b7d77d40b395a7f60c491fb085557b,3.888888888888889,11.666666666666666,0.0,8,0
pair-07-timing_spike,timing_spike,narrow-spike-v1,b,late_event,narrow-spike-v1__timing_spike__late__shift_s-10,outputs/step-12-accuracy-matched-forecasts-v1.0.0/accepted-pairs/pair-07-timing_spike/forecast-b.csv,dce448a7f3ceda45fedad20c977bd0ee37e3571b99e7dc789bd3eb21cf295fce,3.888888888888889,11.666666666666666,0.0,8,0
