"repetition","target_replicas","increment","started_utc","ended_utc","status","reason"
"1","2","1","2026-08-03T18:52:34.3655304Z","2026-08-03T18:52:45.3490597Z","valid",""
"1","3","2","2026-08-03T18:52:45.3514189Z","2026-08-03T18:52:59.6275911Z","valid",""
"1","4","3","2026-08-03T18:52:59.6302257Z","2026-08-03T18:53:16.3091411Z","valid",""
"2","3","2","2026-08-03T18:53:41.7431775Z","2026-08-03T18:54:02.8020592Z","valid",""
"2","4","3","2026-08-03T18:54:02.8044376Z","2026-08-03T18:54:27.0029217Z","valid",""
"2","2","1","2026-08-03T18:54:27.0050951Z","2026-08-03T18:54:50.0176125Z","valid",""
"3","4","3","2026-08-03T18:54:50.0198243Z","2026-08-03T18:55:16.9330742Z","valid",""
"3","2","1","2026-08-03T18:55:16.9356659Z","2026-08-03T18:55:40.6005356Z","valid",""
"3","3","2","2026-08-03T18:55:40.6022364Z","2026-08-03T18:56:03.7994503Z","valid",""
"4","2","1","2026-08-03T18:56:03.8011151Z","2026-08-03T18:56:26.6229449Z","valid",""
"4","3","2","2026-08-03T18:56:26.6249573Z","2026-08-03T18:56:52.4044327Z","valid",""
"4","4","3","2026-08-03T18:56:52.4062165Z","2026-08-03T18:57:16.6749781Z","valid",""
"5","3","2","2026-08-03T18:57:16.6771562Z","2026-08-03T18:57:41.5484412Z","valid",""
"5","4","3","2026-08-03T18:57:41.5500719Z","2026-08-03T18:58:07.8260600Z","valid",""
"5","2","1","2026-08-03T18:58:07.8278077Z","2026-08-03T18:58:31.9896491Z","valid",""
"6","4","3","2026-08-03T18:58:31.9927141Z","2026-08-03T18:58:55.9841860Z","valid",""
"6","2","1","2026-08-03T18:58:55.9864897Z","2026-08-03T18:59:19.0712942Z","valid",""
"6","3","2","2026-08-03T18:59:19.0728459Z","2026-08-03T18:59:44.5424725Z","valid",""
"7","2","1","2026-08-03T18:59:44.5441212Z","2026-08-03T19:00:08.1027709Z","valid",""
"7","3","2","2026-08-03T19:00:08.1050537Z","2026-08-03T19:00:31.7164815Z","valid",""
"7","4","3","2026-08-03T19:00:31.7186537Z","2026-08-03T19:00:56.3307340Z","valid",""
"8","3","2","2026-08-03T19:00:56.3317706Z","2026-08-03T19:01:20.9668074Z","valid",""
"8","4","3","2026-08-03T19:01:20.9679257Z","2026-08-03T19:01:45.2577339Z","valid",""
"8","2","1","2026-08-03T19:01:45.2588126Z","2026-08-03T19:02:07.5964814Z","valid",""
"9","4","3","2026-08-03T19:02:07.5981001Z","2026-08-03T19:02:33.1905695Z","valid",""
"9","2","1","2026-08-03T19:02:33.1928753Z","2026-08-03T19:02:56.5424549Z","valid",""
"9","3","2","2026-08-03T19:02:56.5447671Z","2026-08-03T19:03:22.7164544Z","valid",""
"10","2","1","2026-08-03T19:03:22.7195113Z","2026-08-03T19:03:46.8649498Z","valid",""
"10","3","2","2026-08-03T19:03:46.8704002Z","2026-08-03T19:04:13.1203859Z","valid",""
"10","4","3","2026-08-03T19:04:13.1226877Z","2026-08-03T19:04:38.3394635Z","valid",""
