"repetition","target_replicas","increment","started_utc","ended_utc","status","reason","readiness_delay_s","effective_serving_delay_s","maximum_probe_gap_ms","run_directory"
"1","2","1","2026-08-06T11:56:59.0462040+00:00","2026-08-06T11:57:40.2310419+00:00","valid","","1.800272","3.023694","110.06299999999999","runs/cloud-cached-1to2-rep01-20260806-165659"
"1","3","2","2026-08-06T11:57:40.2321275Z","2026-08-06T11:58:17.7984412Z","valid","recovered from downloaded evidence after progress-write interruption","0.945331","2.219876","127.363","runs/cloud-cached-1to3-rep01-20260806-165740"
"1","4","3","2026-08-06T11:59:42.3583084+00:00","2026-08-06T12:00:34.2525779+00:00","valid","","1.227827","3.228715","114.083","runs/cloud-cached-1to4-rep01-20260806-165942"
"2","3","2","2026-08-06T12:01:34.2886604+00:00","2026-08-06T12:02:13.7070987+00:00","valid","","1.563678","2.721914","108.538","runs/cloud-cached-1to3-rep02-20260806-170134"
"2","4","3","2026-08-06T12:10:49.3871417+00:00","2026-08-06T12:11:31.2496932+00:00","valid","","2.066239","2.527701","118.065","runs/cloud-cached-1to4-rep02-20260806-171049"
"2","2","1","2026-08-06T12:11:31.2615807+00:00","2026-08-06T12:12:14.3576431+00:00","valid","","2.073129","3.728303","107.57799999999999","runs/cloud-cached-1to2-rep02-20260806-171131"
"3","4","3","2026-08-06T12:12:14.3596435+00:00","2026-08-06T12:12:57.8500018+00:00","valid","","0.878694","2.224207","115.8","runs/cloud-cached-1to4-rep03-20260806-171214"
"3","2","1","2026-08-06T12:12:57.8526464+00:00","2026-08-06T12:13:37.9286282+00:00","valid","","1.495424","2.721077","116.58300000000001","runs/cloud-cached-1to2-rep03-20260806-171257"
"3","3","2","2026-08-06T12:13:37.9321390+00:00","2026-08-06T12:14:20.6528258+00:00","valid","","1.742864","3.12217","121.33800000000001","runs/cloud-cached-1to3-rep03-20260806-171337"
"4","2","1","2026-08-06T12:14:20.6548459+00:00","2026-08-06T12:15:32.1628857+00:00","valid","","2.448736","3.628541","106.817","runs/cloud-cached-1to2-rep04-20260806-171420"
"4","3","2","2026-08-06T12:15:32.1652084+00:00","2026-08-06T12:16:22.5357277+00:00","valid","","1.110912","2.421584","103.285","runs/cloud-cached-1to3-rep04-20260806-171532"
"4","4","3","2026-08-06T12:16:22.5377313+00:00","2026-08-06T12:17:04.3105297+00:00","valid","","1.357346","2.924498","110.25200000000001","runs/cloud-cached-1to4-rep04-20260806-171622"
"5","3","2","2026-08-06T12:17:04.3127317+00:00","2026-08-06T12:17:46.4144934+00:00","valid","","1.120632","2.644242","123.881","runs/cloud-cached-1to3-rep05-20260806-171704"
"5","4","3","2026-08-06T12:17:46.4169921+00:00","2026-08-06T12:18:28.5374327+00:00","valid","","1.029504","2.924552","109.03999999999999","runs/cloud-cached-1to4-rep05-20260806-171746"
"5","2","1","2026-08-06T12:18:28.5404818+00:00","2026-08-06T12:19:32.5394457+00:00","valid","","1.080374","2.319193","107.546","runs/cloud-cached-1to2-rep05-20260806-171828"
"6","4","3","2026-08-06T12:19:32.5416016+00:00","2026-08-06T12:20:21.1332499+00:00","valid","","1.579762","2.923804","164.42399999999998","runs/cloud-cached-1to4-rep06-20260806-171932"
"6","2","1","2026-08-06T12:20:21.1367280+00:00","2026-08-06T12:21:20.6378470+00:00","valid","","1.22855","2.622518","111.343","runs/cloud-cached-1to2-rep06-20260806-172021"
"6","3","2","2026-08-06T12:21:20.6424727+00:00","2026-08-06T12:22:20.3263163+00:00","valid","","1.95202","3.524829","114.578","runs/cloud-cached-1to3-rep06-20260806-172120"
"7","2","1","2026-08-06T12:22:20.3283130+00:00","2026-08-06T12:23:07.9390227+00:00","valid","","2.379975","3.733029","119.09899999999999","runs/cloud-cached-1to2-rep07-20260806-172220"
"7","3","2","2026-08-06T12:23:07.9404490+00:00","2026-08-06T12:23:52.9541879+00:00","valid","","1.587894","3.03979","116.863","runs/cloud-cached-1to3-rep07-20260806-172307"
