baseline_replicas,cache_treatment,controller_decision_utc,decision_delay_ms,deployment_update_from_forecast_ms,directory,forecast_available_utc,increment,new_pod_count,poll_milliseconds,probe_attempts,repetition,run_id,scale_api_roundtrip_ms,scale_request_ack_utc,scale_request_sent_utc,schema_version,target_replicas,timeout_seconds,trial_effective_serving_delay_s,trial_readiness_delay_s,valid
1,cached-main,2026-08-03T18:52:40.9888467Z,3.2751,169.4541,step6\runs\cached-main-1to2-rep01-20260803-235234,2026-08-03T18:52:40.9855716Z,1,1,100,7,1,cached-main-1to2-rep01-20260803-235234,165.479,2026-08-03T18:52:41.1550257Z,2026-08-03T18:52:40.9894023Z,1,2,60,2.6602469,1.6068044,True
1,cached-main,2026-08-03T18:54:45.2915031Z,0,160.7153,step6\runs\cached-main-1to2-rep02-20260803-235427,2026-08-03T18:54:45.2915031Z,1,1,100,8,2,cached-main-1to2-rep02-20260803-235427,160.32680000000002,2026-08-03T18:54:45.4522184Z,2026-08-03T18:54:45.2921056Z,1,2,180,3.0526792,1.4438837,True
1,cached-main,2026-08-03T18:55:35.8411399Z,0.5673,151.28830000000002,step6\runs\cached-main-1to2-rep03-20260803-235516,2026-08-03T18:55:35.8405726Z,1,1,100,7,3,cached-main-1to2-rep03-20260803-235516,150.8797,2026-08-03T18:55:35.9918609Z,2026-08-03T18:55:35.8411399Z,1,2,180,3.2417524,1.7167461000000002,True
1,cached-main,2026-08-03T18:56:22.0719509Z,0,141.0298,step6\runs\cached-main-1to2-rep04-20260803-235603,2026-08-03T18:56:22.0719509Z,1,1,100,8,4,cached-main-1to2-rep04-20260803-235603,139.9687,2026-08-03T18:56:22.2129807Z,2026-08-03T18:56:22.0729526Z,1,2,180,2.6312036,1.3088411000000002,True
1,cached-main,2026-08-03T18:58:27.0662174Z,0,161.5874,step6\runs\cached-main-1to2-rep05-20260803-235807,2026-08-03T18:58:27.0662174Z,1,1,100,7,5,cached-main-1to2-rep05-20260803-235807,161.0996,2026-08-03T18:58:27.2278048Z,2026-08-03T18:58:27.0667884Z,1,2,180,2.6259564,1.5675159,True
1,cached-main,2026-08-03T18:59:14.5045832Z,1.512,266.4762,step6\runs\cached-main-1to2-rep06-20260803-235855,2026-08-03T18:59:14.5030712Z,1,1,100,8,6,cached-main-1to2-rep06-20260803-235855,264.8653,2026-08-03T18:59:14.7695474Z,2026-08-03T18:59:14.5045832Z,1,2,180,2.8496664000000003,2.1762743,True
1,cached-main,2026-08-03T19:00:02.8776511Z,0.5760000000000001,141.101,step6\runs\cached-main-1to2-rep07-20260803-235944,2026-08-03T19:00:02.8770751Z,1,1,100,10,7,cached-main-1to2-rep07-20260803-235944,140.25230000000002,2026-08-03T19:00:03.0181761Z,2026-08-03T19:00:02.8776511Z,1,2,180,3.2475364,1.3895279,True
1,cached-main,2026-08-03T19:02:03.5351859Z,0,122.00290000000001,step6\runs\cached-main-1to2-rep08-20260804-000145,2026-08-03T19:02:03.5351859Z,1,1,100,8,8,cached-main-1to2-rep08-20260804-000145,121.59,2026-08-03T19:02:03.6571888Z,2026-08-03T19:02:03.5357404Z,1,2,180,2.386673,1.2183302,True
1,cached-main,2026-08-03T19:02:51.8988110Z,0.5596,146.01760000000002,step6\runs\cached-main-1to2-rep09-20260804-000233,2026-08-03T19:02:51.8982514Z,1,1,100,8,9,cached-main-1to2-rep09-20260804-000233,145.4401,2026-08-03T19:02:52.0442690Z,2026-08-03T19:02:51.8988110Z,1,2,180,2.6050499,1.3514244000000002,True
1,cached-main,2026-08-03T19:03:41.6206488Z,0,212.3025,step6\runs\cached-main-1to2-rep10-20260804-000322,2026-08-03T19:03:41.6206488Z,1,1,100,7,10,cached-main-1to2-rep10-20260804-000322,213.3349,2026-08-03T19:03:41.8329513Z,2026-08-03T19:03:41.6212280Z,1,2,180,3.1289273000000004,2.2911240000000004,True
