cache_treatment,increment,metric,n,median,p90,p95,maximum,minimum
cached-main,1,decision_delay_s,10,0.00027979999999999997,0.001512,0.0032751,0.0032751,0.0
cached-main,1,deployment_api_delay_s,10,0.15560325000000003,0.2133349,0.26486529999999997,0.26486529999999997,0.12159
cached-main,1,trial_readiness_delay_s,10,1.5056998,2.1762743,2.2911240000000004,2.2911240000000004,1.2183302
cached-main,1,trial_effective_serving_delay_s,10,2.7549566500000005,3.2417524,3.2475364,3.2475364,2.386673
cached-main,1,per_pod_creation_delay_s,10,0.35490455,0.4558809,0.5099424,0.5099424,0.2698646
cached-main,1,per_pod_scheduling_delay_s,10,0.0,0.0,0.0,0.0,0.0
cached-main,1,per_pod_startup_delay_s,10,1.0,1.0,1.0,1.0,1.0
cached-main,1,per_pod_container_to_ready_s,10,0.0,0.0,0.0,0.0,0.0
cached-main,2,decision_delay_s,10,0.00027645,0.0005875,0.0030311000000000005,0.0030311000000000005,0.0
cached-main,2,deployment_api_delay_s,10,0.1536304,0.1886968,0.2007971,0.2007971,0.1418735
cached-main,2,trial_readiness_delay_s,10,1.8681839500000001,2.25725,2.2703922000000003,2.2703922000000003,1.3454483
cached-main,2,trial_effective_serving_delay_s,10,3.99712,5.2187724,5.7150651,5.7150651,2.9430080000000003
cached-main,2,per_pod_creation_delay_s,20,0.37811269999999997,0.4799025,0.4832881,0.4862243,0.3130261
cached-main,2,per_pod_scheduling_delay_s,20,0.0,0.0,0.0,0.0,0.0
cached-main,2,per_pod_startup_delay_s,20,1.0,1.0,1.0,1.0,1.0
cached-main,2,per_pod_container_to_ready_s,20,0.0,1.0,1.0,1.0,0.0
cached-main,3,decision_delay_s,10,0.0,0.0011236000000000002,0.0033494,0.0033494,0.0
cached-main,3,deployment_api_delay_s,10,0.15585485000000002,0.1647431,0.1844383,0.1844383,0.1272286
cached-main,3,trial_readiness_delay_s,10,2.2485870500000003,2.8066678,2.8160444,2.8160444,1.4758499000000003
cached-main,3,trial_effective_serving_delay_s,10,4.27378925,6.5142325,6.829306100000001,6.829306100000001,3.5381525000000003
cached-main,3,per_pod_creation_delay_s,30,0.38567019999999996,0.4462302,0.4962914,0.4981553,0.3342025
cached-main,3,per_pod_scheduling_delay_s,30,0.0,0.0,0.0,0.0,0.0
cached-main,3,per_pod_startup_delay_s,30,1.0,1.0,3.0,3.0,1.0
cached-main,3,per_pod_container_to_ready_s,30,0.0,1.0,1.0,1.0,0.0
