run_id,cache_treatment,increment,repetition,pod_name,pod_uid,node,image_id,restart_count,created_utc,scheduled_utc,container_started_utc,ready_utc,app_ready_utc,first_request_utc,creation_delay_s,scheduling_delay_s,startup_delay_s,container_to_ready_s,readiness_actuation_delay_s,effective_serving_delay_s,first_request_probe_rtt_ms,api_creation_from_scale_s,api_readiness_from_scale_s
cold-registry-0to1-rep01-20260804-172318,cold-registry,1,1,benchmark-app-cold-794657b57d-2jmjn,0287972b-b15f-46b9-9327-db236eacfbeb,anfa-dev-worker,anfa-step6-registry:5000/anfa/benchmark-app@sha256:3e918e5a462fbbb61bf988366e7e05f33e6987af5741c2283cf9f9d9a34a6e73,0,2026-08-04T12:23:34Z,2026-08-04T12:23:34Z,2026-08-04T12:23:36Z,2026-08-04T12:23:36Z,2026-08-04T12:23:36.781904388Z,2026-08-04T12:23:38.2430200Z,0.2496541,0,2,0,2.5129876,3.8427999,25.0236,-0.3773791,1.6226209
cold-registry-0to1-rep02-20260804-172338,cold-registry,1,2,benchmark-app-cold-794657b57d-llvmb,307cbbb8-caa1-408c-9fb7-e9060502aa40,anfa-dev-worker,anfa-step6-registry:5000/anfa/benchmark-app@sha256:3e918e5a462fbbb61bf988366e7e05f33e6987af5741c2283cf9f9d9a34a6e73,0,2026-08-04T12:23:59Z,2026-08-04T12:23:59Z,2026-08-04T12:24:01Z,2026-08-04T12:24:01Z,2026-08-04T12:24:01.490566024Z,2026-08-04T12:24:02.5257636Z,0.2335145,0,2,0,2.3971349,3.9014603,25.0828000000001,0.3916638,2.3916638
cold-registry-0to1-rep03-20260804-172451,cold-registry,1,3,benchmark-app-cold-794657b57d-qhdgn,e07e6e06-27ab-4959-854c-2ed3f1f7434f,anfa-dev-worker,anfa-step6-registry:5000/anfa/benchmark-app@sha256:3e918e5a462fbbb61bf988366e7e05f33e6987af5741c2283cf9f9d9a34a6e73,0,2026-08-04T12:25:08Z,2026-08-04T12:25:08Z,2026-08-04T12:25:10Z,2026-08-04T12:25:10Z,2026-08-04T12:25:10.521110441Z,2026-08-04T12:25:11.9479058Z,0.2651122,0,2,0,2.3068769,3.8881111,24.4548999999997,-0.0358614,1.9641386
cold-registry-0to1-rep04-20260804-172512,cold-registry,1,4,benchmark-app-cold-794657b57d-mnglx,79f92e61-ea32-4ce2-8286-f78f0a62ad12,anfa-dev-worker,anfa-step6-registry:5000/anfa/benchmark-app@sha256:3e918e5a462fbbb61bf988366e7e05f33e6987af5741c2283cf9f9d9a34a6e73,0,2026-08-04T12:25:33Z,2026-08-04T12:25:33Z,2026-08-04T12:25:35Z,2026-08-04T12:25:35Z,2026-08-04T12:25:35.14133929Z,2026-08-04T12:25:36.6324115Z,0.3208437,0,2,0,2.4523713,4.5525851,25.1980999999996,0.9369515,2.9369515
cold-registry-0to1-rep05-20260804-172537,cold-registry,1,5,benchmark-app-cold-794657b57d-75zrk,e4460367-cae1-40e6-aa63-d2d5b0d7750f,anfa-dev-worker,anfa-step6-registry:5000/anfa/benchmark-app@sha256:3e918e5a462fbbb61bf988366e7e05f33e6987af5741c2283cf9f9d9a34a6e73,0,2026-08-04T12:25:55Z,2026-08-04T12:25:55Z,2026-08-04T12:25:57Z,2026-08-04T12:25:57Z,2026-08-04T12:25:57.200815804Z,2026-08-04T12:25:59.7751794Z,0.2425041,0,2,0,2.5050513,4.0749815,23.8592000000003,-0.6793581,1.3206419
cold-registry-0to1-rep06-20260804-172600,cold-registry,1,6,benchmark-app-cold-794657b57d-x7kqp,4017356b-1774-4a1f-9467-188b7b60b831,anfa-dev-worker,anfa-step6-registry:5000/anfa/benchmark-app@sha256:3e918e5a462fbbb61bf988366e7e05f33e6987af5741c2283cf9f9d9a34a6e73,0,2026-08-04T12:26:20Z,2026-08-04T12:26:20Z,2026-08-04T12:26:22Z,2026-08-04T12:26:22Z,2026-08-04T12:26:22.492196423Z,2026-08-04T12:26:23.0145789Z,0.2303781,0,2,0,2.362829,3.6210078,23.9113000000002,0.6262994,2.6262994
cold-registry-0to1-rep07-20260804-172623,cold-registry,1,7,benchmark-app-cold-794657b57d-5l2pp,588b9e63-fb8c-4040-8c18-004a5a587145,anfa-dev-worker,anfa-step6-registry:5000/anfa/benchmark-app@sha256:3e918e5a462fbbb61bf988366e7e05f33e6987af5741c2283cf9f9d9a34a6e73,0,2026-08-04T12:26:43Z,2026-08-04T12:26:43Z,2026-08-04T12:26:45Z,2026-08-04T12:26:45Z,2026-08-04T12:26:45.473938243Z,2026-08-04T12:26:47.4188423Z,0.2360562,0,2,0,2.408603,4.4517533,23.7361000000001,0.0466637,2.0466637
cold-registry-0to1-rep08-20260804-172647,cold-registry,1,8,benchmark-app-cold-794657b57d-6hlxj,160b885b-9ad7-46d6-bcbb-aab18b64a170,anfa-dev-worker,anfa-step6-registry:5000/anfa/benchmark-app@sha256:3e918e5a462fbbb61bf988366e7e05f33e6987af5741c2283cf9f9d9a34a6e73,0,2026-08-04T12:27:07Z,2026-08-04T12:27:07Z,2026-08-04T12:27:09Z,2026-08-04T12:27:09Z,2026-08-04T12:27:09.836464492Z,2026-08-04T12:27:10.4579089Z,0.2387072,0,2,0,2.358937,3.6624242,24.2137000000002,0.2275659,2.2275659
cold-registry-0to1-rep09-20260804-172710,cold-registry,1,9,benchmark-app-cold-794657b57d-2jvtl,c5023691-78a7-4bee-bb06-1a207b1b4926,anfa-dev-worker,anfa-step6-registry:5000/anfa/benchmark-app@sha256:3e918e5a462fbbb61bf988366e7e05f33e6987af5741c2283cf9f9d9a34a6e73,0,2026-08-04T12:27:30Z,2026-08-04T12:27:30Z,2026-08-04T12:27:31Z,2026-08-04T12:27:31Z,2026-08-04T12:27:31.976036891Z,2026-08-04T12:27:34.7098566Z,0.239185,0,1,0,2.3956596,4.2203718,23.4447,-0.4683264,0.5316736
cold-registry-0to1-rep10-20260804-172735,cold-registry,1,10,benchmark-app-cold-794657b57d-gsjc7,d85044de-fb89-4bc5-9d80-a2aa32057388,anfa-dev-worker,anfa-step6-registry:5000/anfa/benchmark-app@sha256:3e918e5a462fbbb61bf988366e7e05f33e6987af5741c2283cf9f9d9a34a6e73,0,2026-08-04T12:27:55Z,2026-08-04T12:27:55Z,2026-08-04T12:27:57Z,2026-08-04T12:27:57Z,2026-08-04T12:27:57.437531622Z,2026-08-04T12:27:57.8563606Z,0.2827237,0,2,0,2.4860265,3.7654606,24.1451000000002,0.9309132,2.9309132
