baseline_replicas,cache_treatment,controller_decision_utc,decision_delay_ms,deployment_update_from_forecast_ms,directory,forecast_available_utc,increment,new_pod_count,poll_milliseconds,probe_attempts,repetition,run_id,scale_api_roundtrip_ms,scale_request_ack_utc,scale_request_sent_utc,schema_version,target_replicas,timeout_seconds,trial_effective_serving_delay_s,trial_readiness_delay_s,valid
1,cold-registry,2026-08-04T12:23:34.3773791Z,3.5124,121.1482,step6\runs\cold-registry-0to1-rep01-20260804-172318,2026-08-04T12:23:34.3738667Z,1,1,100,14,1,cold-registry-0to1-rep01-20260804-172318,117.04220000000001,2026-08-04T12:23:34.4950149Z,2026-08-04T12:23:34.3773791Z,1,2,180,3.8427999,2.5129875999999998,True
1,cold-registry,2026-08-04T12:23:58.6077245Z,0,110.7596,step6\runs\cold-registry-0to1-rep02-20260804-172338,2026-08-04T12:23:58.6077245Z,1,1,100,15,2,cold-registry-0to1-rep02-20260804-172338,110.22460000000001,2026-08-04T12:23:58.7184841Z,2026-08-04T12:23:58.6083362Z,1,2,180,3.9014603,2.3971349,True
1,cold-registry,2026-08-04T12:25:08.0358614Z,3.0732,123.55420000000001,step6\runs\cold-registry-0to1-rep03-20260804-172451,2026-08-04T12:25:08.0327882Z,1,1,100,14,3,cold-registry-0to1-rep03-20260804-172451,120.176,2026-08-04T12:25:08.1563424Z,2026-08-04T12:25:08.0358614Z,1,2,180,3.8881111,2.3068769000000002,True
1,cold-registry,2026-08-04T12:25:32.0630485Z,0.5496,152.2067,step6\runs\cold-registry-0to1-rep04-20260804-172512,2026-08-04T12:25:32.0624989Z,1,1,100,17,4,cold-registry-0to1-rep04-20260804-172512,151.52110000000002,2026-08-04T12:25:32.2147056Z,2026-08-04T12:25:32.0630485Z,1,2,180,4.5525851,2.4523713000000003,True
1,cold-registry,2026-08-04T12:25:55.6787917Z,0,117.114,step6\runs\cold-registry-0to1-rep05-20260804-172537,2026-08-04T12:25:55.6787917Z,1,1,100,15,5,cold-registry-0to1-rep05-20260804-172537,116.866,2026-08-04T12:25:55.7959057Z,2026-08-04T12:25:55.6793581Z,1,2,180,4.074981500000001,2.5050513,True
1,cold-registry,2026-08-04T12:26:19.3737006Z,0.5588000000000001,108.8773,step6\runs\cold-registry-0to1-rep06-20260804-172600,2026-08-04T12:26:19.3731418Z,1,1,100,14,6,cold-registry-0to1-rep06-20260804-172600,108.1314,2026-08-04T12:26:19.4820191Z,2026-08-04T12:26:19.3737006Z,1,2,180,3.6210078,2.362829,True
1,cold-registry,2026-08-04T12:26:42.9533363Z,0,115.0227,step6\runs\cold-registry-0to1-rep07-20260804-172623,2026-08-04T12:26:42.9533363Z,1,1,100,17,7,cold-registry-0to1-rep07-20260804-172623,114.58760000000001,2026-08-04T12:26:43.0683590Z,2026-08-04T12:26:42.9533363Z,1,2,180,4.4517533,2.4086030000000003,True
1,cold-registry,2026-08-04T12:27:06.7718489Z,0,119.38900000000001,step6\runs\cold-registry-0to1-rep08-20260804-172647,2026-08-04T12:27:06.7718489Z,1,1,100,14,8,cold-registry-0to1-rep08-20260804-172647,119.11330000000001,2026-08-04T12:27:06.8912379Z,2026-08-04T12:27:06.7724341Z,1,2,180,3.6624242000000002,2.358937,True
1,cold-registry,2026-08-04T12:27:30.4683264Z,0.5524,110.9063,step6\runs\cold-registry-0to1-rep09-20260804-172710,2026-08-04T12:27:30.4677740Z,1,1,100,16,9,cold-registry-0to1-rep09-20260804-172710,110.5177,2026-08-04T12:27:30.5786803Z,2026-08-04T12:27:30.4683264Z,1,2,180,4.2203718,2.3956596,True
1,cold-registry,2026-08-04T12:27:54.0690868Z,0,136.51170000000002,step6\runs\cold-registry-0to1-rep10-20260804-172735,2026-08-04T12:27:54.0690868Z,1,1,100,14,10,cold-registry-0to1-rep10-20260804-172735,136.1576,2026-08-04T12:27:54.2055985Z,2026-08-04T12:27:54.0690868Z,1,2,180,3.7654606000000004,2.4860265,True
