decision_seq,oracle_commanded_replicas,forecast_a_commanded_replicas,forecast_b_commanded_replicas
0,1,1,1
1,1,1,1
2,1,1,1
3,1,1,1
4,1,1,1
5,1,1,1
6,1,1,1
7,1,1,1
8,1,1,1
9,1,1,1
10,1,1,1
11,1,1,1
12,1,1,1
13,1,1,1
14,1,1,1
15,1,1,1
16,1,1,1
17,1,1,1
18,1,1,1
19,1,1,1
20,1,1,1
21,1,1,1
22,1,1,1
23,1,1,1
24,1,1,1
25,1,1,1
26,1,1,1
27,1,1,1
28,1,1,1
29,1,1,1
30,1,1,1
31,1,1,1
32,1,1,1
33,1,1,1
34,1,1,1
35,1,1,1
36,1,1,1
37,1,1,1
38,1,1,1
39,1,1,1
40,1,1,1
41,1,1,1
42,1,1,1
43,1,1,1
44,1,1,1
45,1,1,1
46,1,1,1
47,1,1,1
48,1,1,1
49,1,1,1
50,1,1,1
51,1,1,1
52,1,1,1
53,1,1,1
54,4,3,4
55,4,3,4
56,4,3,4
57,4,3,4
58,4,3,4
59,4,3,4
60,4,3,4
61,4,3,4
62,4,3,4
63,4,3,4
64,4,3,4
65,4,3,4
66,4,3,4
67,4,3,4
68,4,3,4
69,4,3,4
70,4,3,4
71,4,3,4
72,4,3,4
73,4,3,4
74,4,3,4
75,4,3,4
76,4,3,4
77,4,3,4
78,4,3,4
79,4,3,4
80,4,3,4
81,4,3,4
82,4,3,4
83,4,3,4
84,4,3,4
85,4,3,4
86,4,3,4
87,4,3,4
88,4,3,4
89,4,3,4
90,4,3,4
91,4,3,4
92,4,3,4
93,4,3,4
94,4,3,4
95,4,3,4
96,4,3,4
97,4,3,4
98,4,3,4
99,4,3,4
100,4,3,4
101,4,3,4
102,4,3,4
103,4,3,4
104,4,3,4
105,4,3,4
106,4,3,4
107,4,3,4
108,4,3,4
109,4,3,4
110,4,3,4
111,4,3,4
112,4,3,4
113,4,3,4
114,4,3,4
115,4,3,4
116,4,3,4
117,4,3,4
118,4,3,4
119,4,3,4
120,4,3,4
121,4,3,4
122,4,3,4
123,4,3,4
124,4,3,4
125,4,3,4
126,4,3,4
127,4,3,4
128,4,3,4
129,4,3,4
130,4,3,4
131,4,3,4
132,4,3,4
133,4,3,4
134,4,3,4
135,4,3,4
136,4,3,4
137,4,3,4
138,4,3,4
139,4,3,4
140,4,3,4
141,4,3,4
142,4,3,4
143,4,3,4
144,4,3,4
145,4,3,4
146,4,3,4
147,4,3,4
148,4,3,4
149,4,3,4
150,4,3,4
151,4,3,4
152,4,3,4
153,4,3,4
154,4,3,4
155,4,3,4
156,4,3,4
157,4,3,4
158,4,3,4
159,4,3,4
160,4,3,4
161,4,3,4
162,4,3,4
163,4,3,4
164,4,3,4
165,4,3,4
166,4,3,4
167,4,3,4
168,4,3,4
169,4,3,4
170,4,3,4
171,4,3,4
172,4,3,4
173,4,3,4
174,4,3,4
175,4,3,4
176,4,3,4
177,4,3,4
178,4,3,4
179,4,3,4
180,4,3,4
181,4,3,4
182,4,3,4
183,4,3,4
184,4,3,4
185,4,3,4
186,4,3,4
187,4,3,4
188,4,3,4
189,4,3,4
190,4,3,4
191,4,3,4
192,4,3,4
193,4,3,4
194,4,3,4
195,4,3,4
196,4,3,4
197,4,3,4
198,4,3,4
199,4,3,4
200,4,3,4
201,4,3,4
202,4,3,4
203,4,3,4
204,4,3,4
205,4,3,4
206,4,3,4
207,4,3,4
208,4,3,4
209,4,3,4
210,4,3,4
211,4,3,4
212,4,3,4
213,4,3,4
214,4,3,4
215,4,3,4
216,4,3,4
217,4,3,4
218,4,3,4
219,4,3,4
220,4,3,4
221,4,3,4
222,4,3,4
223,4,3,4
224,4,3,4
225,4,3,4
226,4,3,4
227,4,3,4
228,4,3,4
229,4,3,4
230,4,3,4
231,4,3,4
232,4,3,4
233,4,3,4
234,4,3,4
235,4,3,4
236,4,3,4
237,4,3,4
238,4,3,4
239,4,3,4
240,4,3,4
241,4,3,4
242,4,3,4
243,4,3,4
244,4,3,4
245,4,3,4
246,4,3,4
247,4,3,4
248,4,3,4
249,4,3,4
250,4,3,4
251,4,3,4
252,4,3,4
253,4,3,4
254,4,3,4
255,4,3,4
256,4,3,4
257,4,3,4
258,4,3,4
259,4,3,4
260,4,3,4
261,4,3,4
262,4,3,4
263,3,2,3
264,2,1,2
265,1,1,1
266,1,1,1
267,1,1,1
268,1,1,1
269,1,1,1
270,1,1,1
271,1,1,1
272,1,1,1
273,1,1,1
274,1,1,1
275,1,1,1
276,1,1,1
277,1,1,1
278,1,1,1
279,1,1,1
280,1,1,1
281,1,1,1
282,1,1,1
283,1,1,1
284,1,1,1
285,1,1,1
286,1,1,1
287,1,1,1
288,1,1,1
289,1,1,1
290,1,1,1
291,1,1,1
292,1,1,1
293,1,1,1
294,1,1,1
295,1,1,1
296,1,1,1
297,1,1,1
298,1,1,1
299,1,1,1
300,1,1,1
301,1,1,1
302,1,1,1
303,1,1,1
304,1,1,1
305,1,1,1
306,1,1,1
307,1,1,1
308,1,1,1
309,1,1,1
310,1,1,1
311,1,1,1
312,1,1,1
313,1,1,1
314,1,1,1
315,1,1,1
316,1,1,1
317,1,1,1
318,1,1,1
319,1,1,1
320,1,1,1
321,1,1,1
322,1,1,1
323,1,1,1
324,1,1,1
325,1,1,1
326,1,1,1
327,1,1,1
328,1,1,1
329,1,1,1
330,1,1,1
331,1,1,1
332,1,1,1
333,1,1,1
334,1,1,1
335,1,1,1
336,1,1,1
337,1,1,1
338,1,1,1
339,1,1,1
340,1,1,1
341,1,1,1
342,1,1,1
343,1,1,1
344,1,1,1
345,1,1,1
346,1,1,1
347,1,1,1
348,1,1,1
349,1,1,1
350,1,1,1
351,1,1,1
352,1,1,1
353,1,1,1
354,1,1,1
355,1,1,1
356,1,1,1
357,1,1,1
358,1,1,1
359,1,1,1
