decision_seq,oracle_commanded_replicas,forecast_a_commanded_replicas,forecast_b_commanded_replicas
0,1,1,1
1,1,1,1
2,1,1,1
3,1,1,1
4,1,1,1
5,1,1,1
6,1,1,1
7,1,1,1
8,1,1,1
9,1,1,1
10,1,1,1
11,1,1,1
12,1,1,1
13,1,1,1
14,1,1,1
15,1,1,1
16,1,1,1
17,1,1,1
18,1,1,1
19,1,1,1
20,1,1,1
21,1,1,1
22,1,1,1
23,1,1,1
24,1,1,1
25,1,1,1
26,1,1,1
27,1,1,1
28,1,1,1
29,1,1,1
30,1,1,1
31,1,1,1
32,1,1,1
33,1,1,1
34,1,1,1
35,1,1,1
36,1,1,1
37,1,1,1
38,1,1,1
39,1,1,1
40,1,1,1
41,1,1,1
42,1,1,1
43,1,1,1
44,1,1,1
45,1,1,1
46,1,1,1
47,1,1,1
48,1,1,1
49,1,1,1
50,1,1,1
51,1,1,1
52,1,1,1
53,1,1,1
54,4,4,4
55,4,4,4
56,4,4,4
57,4,4,4
58,4,4,4
59,4,4,4
60,4,4,4
61,4,4,4
62,4,4,4
63,4,4,4
64,4,4,4
65,4,4,4
66,4,4,4
67,4,4,4
68,4,4,4
69,4,4,4
70,4,4,4
71,4,4,4
72,4,4,4
73,4,4,4
74,4,4,4
75,4,4,4
76,4,4,4
77,4,4,4
78,4,4,4
79,4,4,4
80,4,4,4
81,4,4,4
82,4,4,4
83,4,4,4
84,4,4,4
85,4,4,4
86,4,4,4
87,4,4,4
88,4,4,4
89,4,4,4
90,4,4,4
91,4,4,4
92,4,4,4
93,4,4,4
94,4,4,4
95,4,4,4
96,4,4,4
97,4,4,4
98,4,4,4
99,4,4,4
100,4,4,4
101,4,4,4
102,4,4,4
103,4,4,4
104,4,4,4
105,4,4,4
106,4,4,4
107,4,4,4
108,4,4,4
109,4,4,4
110,4,4,4
111,4,4,4
112,4,4,4
113,4,4,4
114,4,4,4
115,4,4,4
116,4,4,4
117,4,4,4
118,4,4,4
119,4,4,4
120,4,4,4
121,4,4,4
122,4,4,4
123,4,4,4
124,4,4,4
125,4,4,4
126,4,4,4
127,4,4,4
128,4,4,4
129,4,4,4
130,4,4,4
131,4,4,4
132,4,4,4
133,4,4,4
134,4,4,4
135,4,4,4
136,4,4,4
137,4,4,4
138,4,4,4
139,4,4,4
140,4,4,4
141,4,4,4
142,4,4,4
143,4,4,4
144,4,4,4
145,4,4,4
146,4,4,4
147,4,4,4
148,4,4,4
149,4,4,4
150,4,4,4
151,4,4,4
152,4,4,4
153,4,4,4
154,4,4,4
155,4,4,4
156,4,4,4
157,4,4,4
158,4,4,4
159,4,4,4
160,4,4,4
161,4,4,4
162,4,4,4
163,4,4,4
164,4,4,4
165,4,4,4
166,4,4,4
167,4,4,4
168,4,4,4
169,4,4,4
170,4,4,4
171,4,4,4
172,4,4,4
173,4,4,4
174,4,4,4
175,4,4,4
176,4,4,4
177,4,4,4
178,4,4,4
179,4,4,4
180,4,4,4
181,4,4,4
182,4,4,4
183,4,4,4
184,4,4,4
185,4,4,4
186,4,4,4
187,4,4,4
188,4,4,4
189,4,4,4
190,4,4,4
191,4,4,4
192,4,4,4
193,4,4,4
194,4,4,4
195,4,4,4
196,4,4,4
197,4,4,4
198,4,4,4
199,4,4,4
200,4,4,4
201,4,4,4
202,4,4,4
203,4,4,4
204,4,4,4
205,4,4,4
206,4,4,4
207,4,4,4
208,4,4,4
209,4,4,4
210,4,4,4
211,4,4,4
212,4,4,4
213,4,4,4
214,4,4,4
215,4,4,4
216,4,4,4
217,4,4,4
218,4,4,4
219,4,4,4
220,4,4,4
221,4,4,4
222,4,4,4
223,4,4,4
224,4,4,4
225,4,4,4
226,4,4,4
227,4,4,4
228,4,4,4
229,4,4,4
230,4,4,4
231,4,4,4
232,4,4,4
233,4,4,3
234,4,4,2
235,4,4,1
236,4,4,1
237,4,4,1
238,4,4,1
239,4,4,1
240,4,4,1
241,4,4,1
242,4,4,1
243,4,4,1
244,4,4,1
245,4,4,1
246,4,4,1
247,4,4,1
248,4,4,1
249,4,4,1
250,4,4,1
251,4,4,1
252,4,4,1
253,4,4,1
254,4,4,1
255,4,4,1
256,4,4,1
257,4,4,1
258,4,4,1
259,4,4,1
260,4,4,1
261,4,4,1
262,4,4,1
263,3,4,1
264,2,4,1
265,1,4,1
266,1,4,1
267,1,4,1
268,1,4,1
269,1,4,1
270,1,4,1
271,1,4,1
272,1,4,1
273,1,4,1
274,1,4,1
275,1,4,1
276,1,4,1
277,1,4,1
278,1,4,1
279,1,4,1
280,1,4,1
281,1,4,1
282,1,4,1
283,1,4,1
284,1,4,1
285,1,4,1
286,1,4,1
287,1,4,1
288,1,4,1
289,1,4,1
290,1,4,1
291,1,4,1
292,1,4,1
293,1,3,1
294,1,2,1
295,1,1,1
296,1,1,1
297,1,1,1
298,1,1,1
299,1,1,1
300,1,1,1
301,1,1,1
302,1,1,1
303,1,1,1
304,1,1,1
305,1,1,1
306,1,1,1
307,1,1,1
308,1,1,1
309,1,1,1
310,1,1,1
311,1,1,1
312,1,1,1
313,1,1,1
314,1,1,1
315,1,1,1
316,1,1,1
317,1,1,1
318,1,1,1
319,1,1,1
320,1,1,1
321,1,1,1
322,1,1,1
323,1,1,1
324,1,1,1
325,1,1,1
326,1,1,1
327,1,1,1
328,1,1,1
329,1,1,1
330,1,1,1
331,1,1,1
332,1,1,1
333,1,1,1
334,1,1,1
335,1,1,1
336,1,1,1
337,1,1,1
338,1,1,1
339,1,1,1
340,1,1,1
341,1,1,1
342,1,1,1
343,1,1,1
344,1,1,1
345,1,1,1
346,1,1,1
347,1,1,1
348,1,1,1
349,1,1,1
350,1,1,1
351,1,1,1
352,1,1,1
353,1,1,1
354,1,1,1
355,1,1,1
356,1,1,1
357,1,1,1
358,1,1,1
359,1,1,1
