decision_seq,oracle_commanded_replicas,forecast_a_commanded_replicas,forecast_b_commanded_replicas
0,1,1,1
1,1,1,1
2,1,1,1
3,1,1,1
4,1,1,1
5,1,1,1
6,1,1,1
7,1,1,1
8,1,1,1
9,1,1,1
10,1,1,1
11,1,1,1
12,1,1,1
13,1,1,1
14,1,4,1
15,1,4,1
16,1,4,1
17,1,4,1
18,1,4,1
19,1,4,1
20,1,4,1
21,1,4,1
22,1,4,1
23,1,4,1
24,1,4,1
25,1,4,1
26,1,4,1
27,1,4,1
28,1,4,1
29,1,4,1
30,1,4,1
31,1,4,1
32,1,4,1
33,1,4,1
34,1,4,1
35,1,4,1
36,1,4,1
37,1,4,1
38,1,4,1
39,1,4,1
40,1,4,1
41,1,4,1
42,1,4,1
43,1,4,1
44,1,4,1
45,1,4,1
46,1,4,1
47,1,4,1
48,1,4,1
49,1,4,1
50,1,4,1
51,1,4,1
52,1,4,1
53,1,4,1
54,4,4,1
55,4,4,1
56,4,4,1
57,4,4,1
58,4,4,1
59,4,4,1
60,4,4,1
61,4,4,1
62,4,4,1
63,4,4,1
64,4,4,1
65,4,4,1
66,4,4,1
67,4,4,1
68,4,4,1
69,4,4,1
70,4,4,1
71,4,4,1
72,4,4,1
73,4,4,1
74,4,4,1
75,4,4,1
76,4,4,1
77,4,4,1
78,4,4,1
79,4,4,1
80,4,4,1
81,4,4,1
82,4,4,1
83,4,4,1
84,4,4,1
85,4,4,1
86,4,4,1
87,4,4,1
88,4,4,1
89,4,4,1
90,4,4,1
91,4,4,1
92,4,4,1
93,4,4,1
94,4,4,1
95,4,4,1
96,4,4,1
97,4,4,1
98,4,4,1
99,4,4,1
100,4,4,1
101,4,4,1
102,4,4,1
103,4,4,1
104,4,4,1
105,4,4,1
106,4,4,1
107,4,4,1
108,4,4,1
109,4,4,1
110,4,4,1
111,4,4,1
112,4,4,1
113,3,3,1
114,2,2,1
115,1,1,1
116,1,1,1
117,1,1,1
118,1,1,1
119,1,1,1
120,1,1,1
121,1,1,1
122,1,1,1
123,1,1,1
124,1,1,1
125,1,1,1
126,1,1,1
127,1,1,1
128,1,1,1
129,1,1,1
130,1,1,1
131,1,1,1
132,1,1,1
133,1,1,1
134,1,1,1
135,1,1,1
136,1,1,1
137,1,1,1
138,1,1,1
139,1,1,1
140,1,1,1
141,1,1,1
142,1,1,1
143,1,1,1
144,1,1,1
145,1,1,1
146,1,1,1
147,1,1,1
148,1,1,1
149,1,1,1
150,1,1,1
151,1,1,1
152,1,1,1
153,1,1,1
154,1,1,1
155,1,1,1
156,1,1,1
157,1,1,1
158,1,1,1
159,1,1,1
160,1,1,1
161,1,1,1
162,1,1,1
163,1,1,1
164,1,1,1
165,1,1,1
166,1,1,1
167,1,1,1
168,1,1,1
169,1,1,1
170,1,1,1
171,1,1,1
172,1,1,1
173,1,1,1
174,1,1,1
175,1,1,1
176,1,1,1
177,1,1,1
178,1,1,1
179,1,1,1
