decision_seq,oracle_commanded_replicas,forecast_a_commanded_replicas,forecast_b_commanded_replicas
0,1,1,1
1,1,1,1
2,1,1,1
3,1,1,1
4,1,1,1
5,1,1,1
6,1,1,1
7,1,1,1
8,1,1,1
9,1,1,1
10,1,1,1
11,1,1,1
12,1,1,1
13,1,1,1
14,1,1,1
15,1,1,1
16,1,1,1
17,1,1,1
18,1,1,1
19,1,1,1
20,1,1,1
21,1,1,1
22,1,1,1
23,1,1,1
24,1,1,1
25,1,1,1
26,1,1,1
27,1,1,1
28,1,1,1
29,1,1,1
30,1,1,1
31,1,1,1
32,1,1,1
33,1,1,1
34,1,1,1
35,1,1,1
36,1,1,1
37,1,1,1
38,1,1,1
39,1,1,1
40,1,1,1
41,1,1,1
42,1,1,1
43,1,1,1
44,1,1,1
45,1,1,1
46,1,1,1
47,1,1,1
48,1,1,1
49,1,1,1
50,1,1,1
51,1,1,1
52,1,1,1
53,1,1,1
54,1,1,2
55,1,1,2
56,1,1,2
57,1,1,2
58,1,1,2
59,1,1,2
60,1,1,2
61,1,1,2
62,1,1,2
63,1,1,2
64,1,1,2
65,1,1,2
66,1,1,2
67,1,1,2
68,1,1,2
69,1,1,2
70,1,1,2
71,1,1,2
72,1,1,2
73,1,1,2
74,1,1,2
75,1,1,2
76,1,1,2
77,1,1,2
78,1,1,2
79,2,2,2
80,2,2,2
81,2,2,2
82,2,2,2
83,2,2,2
84,2,2,2
85,2,2,2
86,2,2,2
87,2,2,2
88,2,2,2
89,2,2,2
90,2,2,3
91,2,2,3
92,2,2,3
93,2,2,3
94,2,2,3
95,2,2,3
96,2,2,3
97,2,2,3
98,2,2,3
99,2,2,3
100,2,2,3
101,2,2,3
102,2,2,3
103,2,2,3
104,2,2,3
105,2,2,3
106,2,2,3
107,2,2,3
108,2,2,3
109,2,2,3
110,2,2,3
111,2,2,3
112,2,2,3
113,2,2,3
114,2,2,3
115,2,2,3
116,2,2,3
117,2,2,3
118,2,2,3
119,2,2,3
120,2,2,3
121,2,2,3
122,2,2,3
123,2,2,3
124,2,2,3
125,2,2,3
126,2,2,3
127,2,2,3
128,2,2,3
129,2,2,3
130,2,2,3
131,3,3,3
132,3,3,3
133,3,3,3
134,3,3,3
135,3,3,3
136,3,3,3
137,3,3,3
138,3,3,3
139,3,3,3
140,3,3,3
141,3,3,3
142,3,3,3
143,3,3,3
144,3,3,3
145,3,3,3
146,3,3,3
147,3,3,3
148,3,3,3
149,3,3,3
150,3,3,3
151,3,3,3
152,3,3,3
153,3,3,3
154,3,3,3
155,3,3,3
156,3,3,3
157,3,3,3
158,3,3,3
159,3,3,3
160,3,3,3
161,3,3,3
162,3,3,3
163,3,3,3
164,3,3,3
165,3,3,3
166,3,3,3
167,3,3,3
168,3,3,3
169,3,3,3
170,3,3,3
171,3,3,3
172,3,3,3
173,3,3,3
174,3,3,3
175,3,3,3
176,3,3,3
177,3,3,3
178,3,3,3
179,3,3,3
180,3,3,3
181,3,3,3
182,3,3,3
183,3,3,3
184,3,3,3
185,3,3,3
186,3,3,3
187,3,3,3
188,3,3,3
189,3,3,3
190,3,3,3
191,3,3,3
192,3,3,3
193,3,3,3
194,3,3,3
195,3,3,3
196,3,3,3
197,3,3,3
198,3,3,3
199,3,3,3
200,3,3,3
201,3,3,3
202,3,3,3
203,3,3,3
204,3,3,3
205,3,3,3
206,3,3,3
207,3,3,3
208,4,4,4
209,4,4,4
210,4,4,4
211,4,4,4
212,4,4,4
213,4,4,4
214,4,4,4
215,4,4,4
216,4,4,4
217,4,4,4
218,4,4,4
219,4,4,4
220,4,4,4
221,4,4,4
222,4,4,4
223,4,4,4
224,4,4,4
225,4,4,4
226,4,4,4
227,4,4,4
228,4,4,4
229,4,4,4
230,4,4,4
231,4,4,4
232,4,4,4
233,4,4,4
234,4,4,4
235,4,4,4
236,4,4,4
237,4,4,4
238,4,4,4
239,4,4,4
240,4,4,4
241,4,4,4
242,4,4,4
243,4,4,4
244,4,4,4
245,4,4,4
246,4,4,4
247,4,4,4
248,4,4,4
249,4,4,4
250,4,4,4
251,4,4,4
252,4,4,4
253,4,4,4
254,4,4,4
255,4,4,4
256,4,4,4
257,4,4,4
258,4,4,4
259,4,4,4
260,4,4,4
261,4,4,4
262,4,4,4
263,4,4,4
264,4,4,4
265,4,4,4
266,4,4,4
267,4,4,4
268,4,4,4
269,4,4,4
270,4,4,4
271,4,4,4
272,4,4,4
273,4,4,4
274,4,4,4
275,4,4,4
276,4,4,4
277,4,4,4
278,4,4,4
279,4,4,4
280,4,4,4
281,4,4,4
282,4,4,4
283,4,4,4
284,4,4,4
285,4,4,4
286,4,4,4
287,4,4,4
288,4,4,4
289,4,4,4
290,4,4,4
291,4,4,4
292,4,4,4
293,4,4,4
294,4,4,4
295,4,4,4
296,4,4,4
297,4,4,4
298,4,4,4
299,4,4,4
300,4,4,4
301,4,4,4
302,4,4,4
303,4,4,4
304,4,4,4
305,4,4,4
306,4,4,4
307,4,4,4
308,4,4,4
309,4,4,4
310,4,4,4
311,4,4,4
312,4,4,4
313,4,4,4
314,4,4,4
315,4,4,4
316,4,4,4
317,4,4,4
318,4,4,4
319,4,4,4
320,4,4,4
321,4,4,4
322,4,4,4
323,4,4,4
324,4,4,4
325,4,4,4
326,4,4,4
327,4,4,4
328,4,4,4
329,4,4,4
330,4,4,4
331,4,4,4
332,4,4,4
333,4,4,4
334,4,4,4
335,4,4,4
336,4,4,4
337,4,4,4
338,4,4,4
339,4,4,4
340,3,3,3
341,3,3,3
342,3,3,3
343,3,3,3
344,3,3,3
345,3,3,3
346,3,3,3
347,3,3,3
348,3,3,3
349,3,3,3
350,3,3,3
351,3,3,3
352,3,3,3
353,3,3,3
354,3,3,3
355,3,3,3
356,3,3,3
357,3,3,3
358,3,3,3
359,3,3,3
360,3,3,3
361,3,3,3
362,3,3,3
363,3,3,3
364,3,3,3
365,3,3,3
366,3,3,3
367,3,3,3
368,3,3,3
369,3,3,3
370,3,3,3
371,3,3,3
372,3,3,3
373,3,3,3
374,3,3,3
375,3,3,3
376,3,3,3
377,3,3,3
378,3,3,3
379,3,3,3
380,3,3,3
381,3,3,3
382,3,3,3
383,3,3,3
384,3,3,3
385,3,3,3
386,3,3,3
387,3,3,3
388,3,3,3
389,3,3,3
390,3,3,3
391,2,2,2
392,2,2,2
393,2,2,2
394,2,2,2
395,2,2,2
396,2,2,2
397,2,2,2
398,2,2,2
399,2,2,2
400,2,2,2
401,2,2,2
402,2,2,2
403,2,2,2
404,2,2,2
405,2,2,2
406,2,2,2
407,2,2,2
408,2,2,2
409,2,2,2
410,2,2,2
411,2,2,2
412,2,2,2
413,2,2,2
414,2,2,2
415,2,2,2
416,2,2,2
417,2,2,2
418,2,2,2
419,2,2,2
420,2,2,2
421,2,2,2
422,2,2,2
423,2,2,2
424,2,2,2
425,1,2,1
426,1,2,1
427,1,2,1
428,1,2,1
429,1,2,1
430,1,2,1
431,1,2,1
432,1,2,1
433,1,2,1
434,1,2,1
435,1,2,1
436,1,2,1
437,1,2,1
438,1,2,1
439,1,2,1
440,1,2,1
441,1,2,1
442,1,2,1
443,1,2,1
444,1,2,1
445,1,2,1
446,1,2,1
447,1,2,1
448,1,2,1
449,1,2,1
450,1,2,1
451,1,2,1
452,1,2,1
453,1,2,1
454,1,2,1
455,1,2,1
456,1,2,1
457,1,2,1
458,1,2,1
459,1,2,1
460,1,2,1
461,1,2,1
462,1,2,1
463,1,2,1
464,1,2,1
465,1,2,1
466,1,2,1
467,1,2,1
468,1,2,1
469,1,2,1
470,1,2,1
471,1,2,1
472,1,2,1
473,1,2,1
474,1,2,1
475,1,2,1
476,1,2,1
477,1,2,1
478,1,2,1
479,1,2,1
