decision_seq,oracle_commanded_replicas,forecast_a_commanded_replicas,forecast_b_commanded_replicas
0,1,1,1
1,1,1,1
2,1,1,1
3,1,1,1
4,1,1,1
5,1,1,1
6,1,1,1
7,1,1,1
8,1,1,1
9,1,1,1
10,1,1,1
11,1,1,1
12,1,1,1
13,1,1,1
14,1,1,1
15,1,1,1
16,1,1,1
17,1,1,1
18,1,1,1
19,1,1,1
20,1,1,1
21,1,1,1
22,1,1,1
23,1,1,1
24,1,1,1
25,1,1,1
26,1,1,1
27,1,1,1
28,1,1,1
29,1,1,1
30,1,1,1
31,1,1,1
32,1,1,1
33,1,1,1
34,1,1,1
35,1,1,1
36,1,1,1
37,1,1,1
38,1,1,1
39,1,1,1
40,1,1,1
41,1,1,1
42,1,1,1
43,1,1,1
44,1,1,1
45,1,1,1
46,1,1,1
47,1,1,1
48,1,1,1
49,1,1,1
50,1,1,1
51,1,1,1
52,1,1,1
53,1,1,1
54,1,1,1
55,1,1,1
56,1,1,1
57,1,1,1
58,1,1,1
59,1,1,1
60,1,1,1
61,1,1,1
62,1,1,1
63,2,2,2
64,2,2,2
65,2,2,2
66,2,2,2
67,2,2,2
68,2,2,2
69,2,2,2
70,2,2,2
71,2,2,2
72,2,2,2
73,2,2,2
74,2,2,2
75,2,2,2
76,2,2,2
77,2,2,2
78,2,2,2
79,2,2,2
80,3,3,3
81,3,3,3
82,3,3,3
83,3,3,3
84,3,3,3
85,3,3,3
86,3,3,3
87,3,3,3
88,3,3,3
89,3,3,3
90,3,3,3
91,3,3,3
92,3,3,3
93,3,3,3
94,3,3,3
95,3,3,3
96,3,3,3
97,3,3,3
98,3,3,3
99,3,3,3
100,3,3,3
101,3,3,3
102,3,3,3
103,3,3,3
104,3,3,3
105,3,3,3
106,4,4,4
107,4,4,4
108,4,4,4
109,4,4,4
110,4,4,4
111,4,4,4
112,4,4,4
113,4,4,4
114,4,4,4
115,4,4,4
116,4,4,4
117,4,4,4
118,4,4,4
119,4,4,4
120,4,4,4
121,4,4,4
122,4,4,4
123,4,4,4
124,4,4,4
125,4,4,4
126,4,4,4
127,4,4,4
128,4,4,4
129,4,4,4
130,4,4,4
131,4,4,4
132,4,4,4
133,4,4,4
134,4,4,4
135,4,4,4
136,4,4,4
137,4,4,4
138,4,4,4
139,4,4,4
140,4,4,4
141,4,4,4
142,4,4,4
143,4,4,4
144,4,4,4
145,4,4,4
146,4,4,4
147,4,4,4
148,4,4,4
149,4,4,4
150,4,4,4
151,4,4,4
152,3,3,3
153,3,3,3
154,3,3,3
155,3,3,3
156,3,3,3
157,3,3,3
158,3,3,3
159,3,3,3
160,3,3,3
161,3,3,3
162,3,3,3
163,3,3,3
164,3,3,3
165,3,3,3
166,3,3,3
167,3,3,3
168,3,3,3
169,3,3,3
170,3,3,3
171,3,3,3
172,3,3,3
173,3,3,3
174,3,3,3
175,3,3,3
176,3,3,3
177,3,3,3
178,2,2,2
179,2,2,2
180,2,2,2
181,2,2,2
182,2,2,2
183,2,2,2
184,2,2,2
185,2,2,2
186,2,2,2
187,2,2,2
188,2,2,2
189,2,2,2
190,2,2,2
191,2,2,2
192,2,2,2
193,2,2,2
194,2,2,2
195,2,2,2
196,2,2,2
197,2,2,2
198,2,2,2
199,2,2,2
200,3,3,3
201,3,3,3
202,3,3,3
203,3,3,3
204,3,3,3
205,3,3,3
206,3,3,3
207,3,3,3
208,3,3,3
209,3,3,3
210,3,3,3
211,3,3,3
212,3,3,3
213,3,3,3
214,3,3,3
215,3,3,3
216,3,3,3
217,3,3,3
218,3,3,3
219,3,3,3
220,3,3,3
221,3,3,3
222,3,3,3
223,3,3,3
224,3,3,3
225,3,3,3
226,4,4,4
227,4,4,4
228,4,4,4
229,4,4,4
230,4,4,4
231,4,4,4
232,4,4,4
233,4,4,4
234,4,4,4
235,4,4,4
236,4,4,4
237,4,4,4
238,4,4,4
239,4,4,4
240,4,4,4
241,4,4,4
242,4,4,4
243,4,4,4
244,4,4,4
245,4,4,4
246,4,4,4
247,4,4,4
248,4,4,4
249,4,4,4
250,4,4,4
251,4,4,4
252,4,4,4
253,4,4,4
254,4,4,4
255,4,4,4
256,4,4,4
257,4,4,4
258,4,4,4
259,4,4,4
260,4,4,4
261,4,4,4
262,4,4,4
263,4,4,4
264,4,4,4
265,4,4,4
266,4,4,4
267,4,4,4
268,4,4,4
269,4,4,4
270,4,4,4
271,4,4,4
272,3,3,3
273,3,3,3
274,3,3,3
275,3,3,3
276,3,3,3
277,3,3,3
278,3,3,3
279,3,3,3
280,3,3,3
281,3,3,3
282,3,3,3
283,3,3,3
284,3,3,3
285,3,3,3
286,3,3,3
287,3,3,3
288,3,3,3
289,3,3,3
290,3,3,3
291,3,3,3
292,3,3,3
293,3,3,3
294,3,3,3
295,3,3,3
296,3,3,3
297,3,3,3
298,2,2,2
299,2,2,2
300,2,2,2
301,2,2,2
302,2,2,2
303,2,2,2
304,2,2,2
305,2,2,2
306,2,2,2
307,2,2,2
308,2,2,2
309,2,2,2
310,2,2,2
311,2,2,2
312,2,2,2
313,2,2,2
314,2,2,2
315,2,2,2
316,2,2,2
317,2,2,2
318,2,2,2
319,2,2,2
320,3,3,3
321,3,3,3
322,3,3,3
323,3,3,3
324,3,3,3
325,3,3,3
326,3,3,3
327,3,3,3
328,3,3,3
329,3,3,3
330,3,3,3
331,3,3,3
332,3,3,3
333,3,3,3
334,3,3,3
335,3,3,3
336,3,3,3
337,3,3,3
338,3,3,3
339,3,3,3
340,3,3,3
341,3,3,3
342,3,3,3
343,3,3,3
344,3,3,3
345,3,3,3
346,4,4,4
347,4,4,4
348,4,4,4
349,4,4,4
350,4,4,4
351,4,4,4
352,4,4,4
353,4,4,4
354,4,4,4
355,4,4,4
356,4,4,4
357,4,4,4
358,4,4,4
359,4,4,4
360,4,4,4
361,4,4,4
362,4,4,4
363,4,4,4
364,4,4,4
365,4,4,4
366,4,4,4
367,4,4,4
368,4,4,4
369,4,4,4
370,4,4,4
371,4,4,4
372,4,4,4
373,4,4,4
374,4,4,4
375,4,4,4
376,4,4,4
377,4,4,4
378,4,4,4
379,4,4,4
380,4,4,4
381,4,4,4
382,4,4,4
383,4,4,4
384,4,4,4
385,4,4,4
386,4,4,4
387,4,4,4
388,4,4,4
389,4,4,4
390,4,4,4
391,4,4,4
392,3,3,3
393,3,3,3
394,3,3,3
395,3,3,3
396,3,3,3
397,3,3,3
398,3,3,3
399,3,3,3
400,3,3,3
401,3,3,3
402,3,3,3
403,3,3,3
404,3,3,3
405,3,3,3
406,3,3,3
407,3,3,3
408,3,3,3
409,3,3,3
410,3,3,3
411,3,3,3
412,3,3,3
413,3,3,3
414,3,3,3
415,3,3,3
416,3,3,3
417,3,3,3
418,2,2,2
419,2,2,2
420,2,2,2
421,2,2,2
422,2,2,2
423,2,2,2
424,2,2,2
425,2,2,2
426,2,2,2
427,2,2,2
428,2,2,2
429,2,2,2
430,2,2,2
431,2,2,2
432,2,2,2
433,2,2,2
434,2,2,2
435,2,2,2
436,2,2,2
437,2,2,2
438,2,2,2
439,2,2,2
440,3,3,3
441,3,3,3
442,3,3,3
443,3,3,3
444,3,3,3
445,3,3,3
446,3,3,3
447,3,3,3
448,3,3,3
449,3,3,3
450,3,3,3
451,3,3,3
452,3,3,3
453,3,3,3
454,3,3,3
455,3,3,3
456,3,3,3
457,3,3,3
458,3,3,3
459,3,3,3
460,3,3,3
461,3,3,3
462,3,3,3
463,3,3,3
464,3,3,3
465,3,3,3
466,4,4,4
467,4,4,4
468,4,4,4
469,4,4,4
470,4,4,4
471,4,4,4
472,4,4,4
473,4,4,4
474,4,4,4
475,4,4,4
476,4,4,4
477,4,4,4
478,4,4,4
479,4,4,4
480,4,4,4
481,4,4,4
482,4,4,4
483,4,4,4
484,4,4,4
485,4,4,4
486,4,4,4
487,4,4,4
488,4,4,4
489,4,4,4
490,4,4,4
491,4,4,4
492,4,4,4
493,4,4,4
494,4,4,4
495,4,4,4
496,4,4,4
497,4,4,4
498,4,4,4
499,4,4,4
500,4,4,4
501,4,4,4
502,4,4,4
503,4,4,4
504,4,4,4
505,4,4,4
506,4,4,4
507,4,4,4
508,4,4,4
509,4,4,4
510,4,4,4
511,4,4,4
512,3,3,3
513,3,3,3
514,3,3,3
515,3,3,3
516,3,3,3
517,3,3,3
518,3,3,3
519,3,3,3
520,3,3,3
521,3,3,3
522,3,3,3
523,3,3,3
524,3,3,3
525,3,3,3
526,3,3,3
527,3,3,3
528,3,3,3
529,3,3,3
530,3,3,3
531,3,3,3
532,3,3,3
533,3,3,3
534,3,3,3
535,3,3,3
536,3,3,3
537,3,3,3
538,2,2,2
539,2,2,2
540,2,2,2
541,2,2,2
542,2,2,2
543,2,2,2
544,2,2,2
545,2,2,2
546,2,2,2
547,2,2,2
548,2,2,2
549,2,2,2
550,2,2,2
551,2,2,2
552,2,2,2
553,2,2,2
554,2,2,2
555,2,2,2
556,2,2,2
557,2,2,2
558,2,2,2
559,2,2,2
560,3,3,3
561,3,3,3
562,3,3,3
563,3,3,3
564,3,3,3
565,3,3,3
566,3,3,3
567,3,3,3
568,3,3,3
569,3,3,3
570,3,3,3
571,3,3,3
572,3,3,3
573,3,3,3
574,3,3,3
575,3,3,3
576,3,3,3
577,3,3,3
578,3,3,3
579,3,3,3
580,3,3,3
581,3,3,3
582,3,3,3
583,3,3,3
584,3,3,3
585,3,3,3
586,4,4,4
587,4,4,4
588,4,4,4
589,4,4,4
590,4,4,4
591,4,4,4
592,4,4,4
593,4,4,4
594,4,4,4
595,4,4,4
596,4,4,4
597,4,4,4
598,4,4,4
599,4,4,4
600,4,4,4
601,4,4,4
602,4,4,4
603,4,4,4
604,4,4,4
605,4,4,4
606,4,4,4
607,4,4,4
608,4,4,4
609,4,4,4
610,4,4,4
611,4,4,4
612,4,4,4
613,4,4,4
614,4,4,4
615,4,4,4
616,4,4,4
617,4,4,4
618,4,4,4
619,4,4,4
620,4,4,4
621,4,4,4
622,4,4,4
623,4,4,4
624,4,4,4
625,4,4,4
626,4,4,4
627,4,4,4
628,4,4,4
629,4,4,4
630,4,4,4
631,4,4,4
632,3,3,3
633,3,3,3
634,3,3,3
635,3,3,3
636,3,3,3
637,3,3,3
638,3,3,3
639,3,3,3
640,3,3,3
641,3,3,3
642,3,3,3
643,3,3,3
644,3,3,3
645,3,3,3
646,3,3,3
647,3,3,3
648,3,3,3
649,3,3,3
650,3,3,3
651,3,3,3
652,3,3,3
653,3,3,3
654,3,3,3
655,3,3,3
656,3,3,3
657,3,3,3
658,2,2,2
659,2,2,2
660,2,2,2
661,2,2,2
662,2,2,2
663,2,2,2
664,2,2,2
665,2,2,2
666,2,2,2
667,2,2,2
668,2,2,2
669,2,2,2
670,2,2,2
671,2,2,2
672,2,2,2
673,2,2,2
674,2,2,2
675,1,1,1
676,1,1,1
677,1,1,1
678,1,1,1
679,1,1,1
680,1,1,1
681,1,1,1
682,1,1,1
683,1,1,1
684,1,1,1
685,1,1,1
686,1,1,1
687,1,1,1
688,1,1,1
689,1,1,1
690,1,1,1
691,1,1,1
692,1,1,1
693,1,1,1
694,1,1,1
695,1,1,1
696,1,1,1
697,1,1,1
698,1,1,1
699,1,1,1
700,1,1,1
701,1,1,1
702,1,1,1
703,1,1,1
704,1,1,1
705,1,1,1
706,1,1,1
707,1,1,1
708,1,1,1
709,1,1,1
710,1,1,1
711,1,1,1
712,1,1,1
713,1,1,1
714,1,1,1
715,1,1,1
716,1,1,1
717,1,1,1
718,1,1,1
719,1,1,1
