decision_seq,oracle_commanded_replicas,forecast_a_commanded_replicas,forecast_b_commanded_replicas
0,1,1,1
1,1,1,1
2,1,1,1
3,1,1,1
4,1,1,1
5,1,1,1
6,1,1,1
7,1,1,1
8,1,1,1
9,1,1,1
10,1,1,1
11,1,1,1
12,1,1,1
13,1,1,1
14,1,1,1
15,1,1,1
16,1,1,1
17,1,1,1
18,1,1,1
19,1,1,1
20,1,1,1
21,1,1,1
22,1,1,1
23,1,1,1
24,1,1,1
25,1,1,1
26,1,1,1
27,1,1,1
28,1,1,1
29,1,1,1
30,1,1,1
31,1,1,1
32,1,1,1
33,1,1,1
34,1,1,1
35,1,1,1
36,1,1,1
37,1,1,1
38,1,1,1
39,1,1,1
40,1,1,1
41,1,1,1
42,1,1,1
43,1,1,1
44,1,1,1
45,1,1,1
46,1,1,1
47,1,1,1
48,1,2,1
49,1,2,1
50,1,2,1
51,1,2,1
52,1,2,1
53,1,2,1
54,1,2,1
55,1,2,1
56,1,2,1
57,1,2,1
58,1,2,1
59,1,2,1
60,1,2,1
61,1,2,1
62,1,2,1
63,2,2,1
64,2,2,1
65,2,3,1
66,2,3,1
67,2,3,1
68,2,3,1
69,2,3,1
70,2,3,1
71,2,3,1
72,2,3,1
73,2,3,1
74,2,3,1
75,2,3,1
76,2,3,1
77,2,3,1
78,2,3,2
79,2,3,2
80,3,3,2
81,3,3,2
82,3,3,2
83,3,3,2
84,3,3,2
85,3,3,2
86,3,3,2
87,3,3,2
88,3,3,2
89,3,3,2
90,3,3,2
91,3,4,2
92,3,4,2
93,3,4,2
94,3,4,2
95,3,4,3
96,3,4,3
97,3,4,3
98,3,4,3
99,3,4,3
100,3,4,3
101,3,4,3
102,3,4,3
103,3,4,3
104,3,4,3
105,3,4,3
106,4,4,3
107,4,4,3
108,4,4,3
109,4,4,3
110,4,4,3
111,4,4,3
112,4,4,3
113,4,4,3
114,4,4,3
115,4,4,3
116,4,4,3
117,4,4,3
118,4,4,3
119,4,4,3
120,4,4,3
121,4,4,4
122,4,4,4
123,4,4,4
124,4,4,4
125,4,4,4
126,4,4,4
127,4,4,4
128,4,4,4
129,4,4,4
130,4,4,4
131,4,4,4
132,4,4,4
133,4,4,4
134,4,4,4
135,4,4,4
136,4,4,4
137,4,3,4
138,4,3,4
139,4,3,4
140,4,3,4
141,4,3,4
142,4,3,4
143,4,3,4
144,4,3,4
145,4,3,4
146,4,3,4
147,4,3,4
148,4,3,4
149,4,3,4
150,4,3,4
151,4,3,4
152,3,3,4
153,3,3,4
154,3,3,4
155,3,3,4
156,3,3,4
157,3,3,4
158,3,3,4
159,3,3,4
160,3,3,4
161,3,3,4
162,3,3,4
163,3,2,4
164,3,2,4
165,3,2,4
166,3,2,4
167,3,2,3
168,3,2,3
169,3,2,3
170,3,2,3
171,3,2,3
172,3,2,3
173,3,2,3
174,3,2,3
175,3,2,3
176,3,2,3
177,3,2,3
178,2,2,3
179,2,2,3
180,2,2,3
181,2,2,3
182,2,2,3
183,2,2,3
184,2,2,3
185,2,3,3
186,2,3,3
187,2,3,3
188,2,3,3
189,2,3,3
190,2,3,3
191,2,3,3
192,2,3,3
193,2,3,2
194,2,3,2
195,2,3,2
196,2,3,2
197,2,3,2
198,2,3,2
199,2,3,2
200,3,3,2
201,3,3,2
202,3,3,2
203,3,3,2
204,3,3,2
205,3,3,2
206,3,3,2
207,3,3,2
208,3,3,2
209,3,3,2
210,3,3,2
211,3,4,2
212,3,4,2
213,3,4,2
214,3,4,2
215,3,4,3
216,3,4,3
217,3,4,3
218,3,4,3
219,3,4,3
220,3,4,3
221,3,4,3
222,3,4,3
223,3,4,3
224,3,4,3
225,3,4,3
226,4,4,3
227,4,4,3
228,4,4,3
229,4,4,3
230,4,4,3
231,4,4,3
232,4,4,3
233,4,4,3
234,4,4,3
235,4,4,3
236,4,4,3
237,4,4,3
238,4,4,3
239,4,4,3
240,4,4,3
241,4,4,4
242,4,4,4
243,4,4,4
244,4,4,4
245,4,4,4
246,4,4,4
247,4,4,4
248,4,4,4
249,4,4,4
250,4,4,4
251,4,4,4
252,4,4,4
253,4,4,4
254,4,4,4
255,4,4,4
256,4,4,4
257,4,3,4
258,4,3,4
259,4,3,4
260,4,3,4
261,4,3,4
262,4,3,4
263,4,3,4
264,4,3,4
265,4,3,4
266,4,3,4
267,4,3,4
268,4,3,4
269,4,3,4
270,4,3,4
271,4,3,4
272,3,3,4
273,3,3,4
274,3,3,4
275,3,3,4
276,3,3,4
277,3,3,4
278,3,3,4
279,3,3,4
280,3,3,4
281,3,3,4
282,3,3,4
283,3,2,4
284,3,2,4
285,3,2,4
286,3,2,4
287,3,2,3
288,3,2,3
289,3,2,3
290,3,2,3
291,3,2,3
292,3,2,3
293,3,2,3
294,3,2,3
295,3,2,3
296,3,2,3
297,3,2,3
298,2,2,3
299,2,2,3
300,2,2,3
301,2,2,3
302,2,2,3
303,2,2,3
304,2,2,3
305,2,3,3
306,2,3,3
307,2,3,3
308,2,3,3
309,2,3,3
310,2,3,3
311,2,3,3
312,2,3,3
313,2,3,2
314,2,3,2
315,2,3,2
316,2,3,2
317,2,3,2
318,2,3,2
319,2,3,2
320,3,3,2
321,3,3,2
322,3,3,2
323,3,3,2
324,3,3,2
325,3,3,2
326,3,3,2
327,3,3,2
328,3,3,2
329,3,3,2
330,3,3,2
331,3,4,2
332,3,4,2
333,3,4,2
334,3,4,2
335,3,4,3
336,3,4,3
337,3,4,3
338,3,4,3
339,3,4,3
340,3,4,3
341,3,4,3
342,3,4,3
343,3,4,3
344,3,4,3
345,3,4,3
346,4,4,3
347,4,4,3
348,4,4,3
349,4,4,3
350,4,4,3
351,4,4,3
352,4,4,3
353,4,4,3
354,4,4,3
355,4,4,3
356,4,4,3
357,4,4,3
358,4,4,3
359,4,4,3
360,4,4,3
361,4,4,4
362,4,4,4
363,4,4,4
364,4,4,4
365,4,4,4
366,4,4,4
367,4,4,4
368,4,4,4
369,4,4,4
370,4,4,4
371,4,4,4
372,4,4,4
373,4,4,4
374,4,4,4
375,4,4,4
376,4,4,4
377,4,3,4
378,4,3,4
379,4,3,4
380,4,3,4
381,4,3,4
382,4,3,4
383,4,3,4
384,4,3,4
385,4,3,4
386,4,3,4
387,4,3,4
388,4,3,4
389,4,3,4
390,4,3,4
391,4,3,4
392,3,3,4
393,3,3,4
394,3,3,4
395,3,3,4
396,3,3,4
397,3,3,4
398,3,3,4
399,3,3,4
400,3,3,4
401,3,3,4
402,3,3,4
403,3,2,4
404,3,2,4
405,3,2,4
406,3,2,4
407,3,2,3
408,3,2,3
409,3,2,3
410,3,2,3
411,3,2,3
412,3,2,3
413,3,2,3
414,3,2,3
415,3,2,3
416,3,2,3
417,3,2,3
418,2,2,3
419,2,2,3
420,2,2,3
421,2,2,3
422,2,2,3
423,2,2,3
424,2,2,3
425,2,3,3
426,2,3,3
427,2,3,3
428,2,3,3
429,2,3,3
430,2,3,3
431,2,3,3
432,2,3,3
433,2,3,2
434,2,3,2
435,2,3,2
436,2,3,2
437,2,3,2
438,2,3,2
439,2,3,2
440,3,3,2
441,3,3,2
442,3,3,2
443,3,3,2
444,3,3,2
445,3,3,2
446,3,3,2
447,3,3,2
448,3,3,2
449,3,3,2
450,3,3,2
451,3,4,2
452,3,4,2
453,3,4,2
454,3,4,2
455,3,4,3
456,3,4,3
457,3,4,3
458,3,4,3
459,3,4,3
460,3,4,3
461,3,4,3
462,3,4,3
463,3,4,3
464,3,4,3
465,3,4,3
466,4,4,3
467,4,4,3
468,4,4,3
469,4,4,3
470,4,4,3
471,4,4,3
472,4,4,3
473,4,4,3
474,4,4,3
475,4,4,3
476,4,4,3
477,4,4,3
478,4,4,3
479,4,4,3
480,4,4,3
481,4,4,4
482,4,4,4
483,4,4,4
484,4,4,4
485,4,4,4
486,4,4,4
487,4,4,4
488,4,4,4
489,4,4,4
490,4,4,4
491,4,4,4
492,4,4,4
493,4,4,4
494,4,4,4
495,4,4,4
496,4,4,4
497,4,3,4
498,4,3,4
499,4,3,4
500,4,3,4
501,4,3,4
502,4,3,4
503,4,3,4
504,4,3,4
505,4,3,4
506,4,3,4
507,4,3,4
508,4,3,4
509,4,3,4
510,4,3,4
511,4,3,4
512,3,3,4
513,3,3,4
514,3,3,4
515,3,3,4
516,3,3,4
517,3,3,4
518,3,3,4
519,3,3,4
520,3,3,4
521,3,3,4
522,3,3,4
523,3,2,4
524,3,2,4
525,3,2,4
526,3,2,4
527,3,2,3
528,3,2,3
529,3,2,3
530,3,2,3
531,3,2,3
532,3,2,3
533,3,2,3
534,3,2,3
535,3,2,3
536,3,2,3
537,3,2,3
538,2,2,3
539,2,2,3
540,2,2,3
541,2,2,3
542,2,2,3
543,2,2,3
544,2,2,3
545,2,3,3
546,2,3,3
547,2,3,3
548,2,3,3
549,2,3,3
550,2,3,3
551,2,3,3
552,2,3,3
553,2,3,2
554,2,3,2
555,2,3,2
556,2,3,2
557,2,3,2
558,2,3,2
559,2,3,2
560,3,3,2
561,3,3,2
562,3,3,2
563,3,3,2
564,3,3,2
565,3,3,2
566,3,3,2
567,3,3,2
568,3,3,2
569,3,3,2
570,3,3,2
571,3,4,2
572,3,4,2
573,3,4,2
574,3,4,2
575,3,4,3
576,3,4,3
577,3,4,3
578,3,4,3
579,3,4,3
580,3,4,3
581,3,4,3
582,3,4,3
583,3,4,3
584,3,4,3
585,3,4,3
586,4,4,3
587,4,4,3
588,4,4,3
589,4,4,3
590,4,4,3
591,4,4,3
592,4,4,3
593,4,4,3
594,4,4,3
595,4,4,3
596,4,4,3
597,4,4,3
598,4,4,3
599,4,4,3
600,4,4,3
601,4,4,4
602,4,4,4
603,4,4,4
604,4,4,4
605,4,4,4
606,4,4,4
607,4,4,4
608,4,4,4
609,4,4,4
610,4,4,4
611,4,4,4
612,4,4,4
613,4,4,4
614,4,4,4
615,4,4,4
616,4,4,4
617,4,3,4
618,4,3,4
619,4,3,4
620,4,3,4
621,4,3,4
622,4,3,4
623,4,3,4
624,4,3,4
625,4,3,4
626,4,3,4
627,4,3,4
628,4,3,4
629,4,3,4
630,4,3,4
631,4,3,4
632,3,3,4
633,3,3,4
634,3,3,4
635,3,3,4
636,3,3,4
637,3,3,4
638,3,3,4
639,3,3,4
640,3,3,4
641,3,3,4
642,3,3,4
643,3,2,4
644,3,2,4
645,3,2,4
646,3,2,4
647,3,2,3
648,3,2,3
649,3,2,3
650,3,2,3
651,3,2,3
652,3,2,3
653,3,2,3
654,3,2,3
655,3,2,3
656,3,2,3
657,3,2,3
658,2,2,3
659,2,2,3
660,2,1,3
661,2,1,3
662,2,1,3
663,2,1,3
664,2,1,3
665,2,1,3
666,2,1,3
667,2,1,3
668,2,1,3
669,2,1,3
670,2,1,3
671,2,1,3
672,2,1,3
673,2,1,2
674,2,1,2
675,1,1,2
676,1,1,2
677,1,1,2
678,1,1,2
679,1,1,2
680,1,1,2
681,1,1,2
682,1,1,2
683,1,1,2
684,1,1,2
685,1,1,2
686,1,1,2
687,1,1,2
688,1,1,2
689,1,1,2
690,1,1,1
691,1,1,1
692,1,1,1
693,1,1,1
694,1,1,1
695,1,1,1
696,1,1,1
697,1,1,1
698,1,1,1
699,1,1,1
700,1,1,1
701,1,1,1
702,1,1,1
703,1,1,1
704,1,1,1
705,1,1,1
706,1,1,1
707,1,1,1
708,1,1,1
709,1,1,1
710,1,1,1
711,1,1,1
712,1,1,1
713,1,1,1
714,1,1,1
715,1,1,1
716,1,1,1
717,1,1,1
718,1,1,1
719,1,1,1
