candidate_id,group,side,semantic,trace_id,mae_rps,rmse_rps,signed_bias_rps,maximum_absolute_error_rps,region_mae_rps,changed_decisions,peak_timing_error_s,peak_amplitude_error_rps,duration_error_s,parameters_json,forecast_path,forecast_sha256
narrow-spike-v1__timing_spike__early__shift_s--5,timing_spike,early,early_event,narrow-spike-v1,1.94444444444,8.24957911384,0,35,10,10,-5,0,0,"{""shift_s"":-5}",candidates/timing_spike/early/narrow-spike-v1__timing_spike__early__shift_s--5.forecast.csv,20ca7436b42eb1d1c8a956c516d09b25b5f65e14298d1a320afb911081c0d124
narrow-spike-v1__timing_spike__late__shift_s-5,timing_spike,late,late_event,narrow-spike-v1,1.94444444444,8.24957911384,0,35,10,10,5,0,0,"{""shift_s"":5}",candidates/timing_spike/late/narrow-spike-v1__timing_spike__late__shift_s-5.forecast.csv,1074e3235d06de4e06e641229be7cc07596bfe9240e4fadc1fdb2d5bb4e83bfc
narrow-spike-v1__timing_spike__early__shift_s--10,timing_spike,early,early_event,narrow-spike-v1,3.88888888889,11.6666666667,0,35,17.5,20,-10,0,0,"{""shift_s"":-10}",candidates/timing_spike/early/narrow-spike-v1__timing_spike__early__shift_s--10.forecast.csv,7a2bea516c4bc1455f6143d26d7fefa437b7d77d40b395a7f60c491fb085557b
narrow-spike-v1__timing_spike__late__shift_s-10,timing_spike,late,late_event,narrow-spike-v1,3.88888888889,11.6666666667,0,35,17.5,20,10,0,0,"{""shift_s"":10}",candidates/timing_spike/late/narrow-spike-v1__timing_spike__late__shift_s-10.forecast.csv,dce448a7f3ceda45fedad20c977bd0ee37e3571b99e7dc789bd3eb21cf295fce
narrow-spike-v1__timing_spike__early__shift_s--15,timing_spike,early,early_event,narrow-spike-v1,5.83333333333,14.2886901662,0,35,23.3333333333,30,-15,0,0,"{""shift_s"":-15}",candidates/timing_spike/early/narrow-spike-v1__timing_spike__early__shift_s--15.forecast.csv,5a80af792d0b65ae84bca5cb0be1e94cff6d65018f17245f1115e8bac8d38b33
narrow-spike-v1__timing_spike__late__shift_s-15,timing_spike,late,late_event,narrow-spike-v1,5.83333333333,14.2886901662,0,35,23.3333333333,30,15,0,0,"{""shift_s"":15}",candidates/timing_spike/late/narrow-spike-v1__timing_spike__late__shift_s-15.forecast.csv,bcbee30221166c8a350f7046023104d5fc354ff2184247a8d9d0f62a3e5cfc18
narrow-spike-v1__timing_spike__early__shift_s--20,timing_spike,early,early_event,narrow-spike-v1,7.77777777778,16.4991582277,0,35,28,40,-20,0,0,"{""shift_s"":-20}",candidates/timing_spike/early/narrow-spike-v1__timing_spike__early__shift_s--20.forecast.csv,1a140804d19bbbd8e7ec497d95c278b7bcc117678fd3a97b23cfa73c83415bbe
narrow-spike-v1__timing_spike__late__shift_s-20,timing_spike,late,late_event,narrow-spike-v1,7.77777777778,16.4991582277,0,35,28,40,20,0,0,"{""shift_s"":20}",candidates/timing_spike/late/narrow-spike-v1__timing_spike__late__shift_s-20.forecast.csv,995b37e9233562e93405b456118e8bdc911c78ab866c559b11f70b93d38555ee
periodic-triangle-v1__timing_periodic__early__shift_s--5,timing_periodic,early,early_event,periodic-triangle-v1,2.34305555556,2.59421246483,0,2.916667,2.34305555556,604,-5,0,0,"{""shift_s"":-5}",candidates/timing_periodic/early/periodic-triangle-v1__timing_periodic__early__shift_s--5.forecast.csv,33015cf12dea1b03f2254fd8dd851a4c1f0f47ecfe821422ac30e5f8e6d2c39d
periodic-triangle-v1__timing_periodic__late__shift_s-5,timing_periodic,late,late_event,periodic-triangle-v1,2.34305555556,2.59421246483,0,2.916667,2.34305555556,604,5,0,0,"{""shift_s"":5}",candidates/timing_periodic/late/periodic-triangle-v1__timing_periodic__late__shift_s-5.forecast.csv,2eb9958f581b97674c2112c65a02c97aa90b44347bdfaa0dce16831d3518081c
periodic-triangle-v1__timing_periodic__early__shift_s--10,timing_periodic,early,early_event,periodic-triangle-v1,4.49652778611,5.03916949787,0,5.833334,4.49652778611,600,-10,0,0,"{""shift_s"":-10}",candidates/timing_periodic/early/periodic-triangle-v1__timing_periodic__early__shift_s--10.forecast.csv,66b46f0110155e4d98c8f65de9baf03360993bd3e62ef4980d35b9667e1a0952
periodic-triangle-v1__timing_periodic__late__shift_s-10,timing_periodic,late,late_event,periodic-triangle-v1,4.49652778611,5.03916949787,0,5.833334,4.49652778611,600,10,0,0,"{""shift_s"":10}",candidates/timing_periodic/late/periodic-triangle-v1__timing_periodic__late__shift_s-10.forecast.csv,bdf824eceea9f44f450bf9fc4cfea4568f28ba53eeb7ee08d45cd6f08c450b8b
periodic-triangle-v1__timing_periodic__early__shift_s--15,timing_periodic,early,early_event,periodic-triangle-v1,6.47500001667,7.3310970987,0,8.75,6.47500001667,614,-15,0,0,"{""shift_s"":-15}",candidates/timing_periodic/early/periodic-triangle-v1__timing_periodic__early__shift_s--15.forecast.csv,d20e2ca8dd79220f6cb5e9d70808cbf2dcc9ea8b0f7de7f1e75239636cb66788
periodic-triangle-v1__timing_periodic__late__shift_s-15,timing_periodic,late,late_event,periodic-triangle-v1,6.47500001667,7.3310970987,0,8.75,6.47500001667,614,15,0,0,"{""shift_s"":15}",candidates/timing_periodic/late/periodic-triangle-v1__timing_periodic__late__shift_s-15.forecast.csv,b414227617488b3fee5df7f4295f697fc2aa259fb3c135862c669f124a118e0f
