mutation_id,trace_id,family,type,label,mae_rps,rmse_rps,signed_bias_rps,maximum_absolute_error_rps,region_mae_rps,changed_decisions,peak_timing_error_s,peak_amplitude_error_rps,duration_error_s,replica_disagreement_seconds,excess_replica_seconds,deficient_replica_seconds,false_scale_out_seconds,missed_scale_out_seconds,affected_peak_residual_rps,event_presence_error,forecast_path,metadata_path,replica_path,plot_path
gradual-ramp-v1__early-event__15s,gradual-ramp-v1,timing,shift_event,early_event,2.1875,2.772823,0.0,4.375,2.8,328,-15,0.0,0,90,45,45,45,45,-4.375,none,forecasts\gradual-ramp-v1\gradual-ramp-v1__early-event__15s.forecast.csv,metadata\gradual-ramp-v1\gradual-ramp-v1__early-event__15s.json,replica-timelines\gradual-ramp-v1\gradual-ramp-v1__early-event__15s.replicas.csv,plots\gradual-ramp-v1\gradual-ramp-v1__early-event__15s.svg
gradual-ramp-v1__late-event__15s,gradual-ramp-v1,timing,shift_event,late_event,2.1875,2.772823,0.0,4.375,2.8,328,15,0.0,0,90,45,45,45,45,4.375,none,forecasts\gradual-ramp-v1\gradual-ramp-v1__late-event__15s.forecast.csv,metadata\gradual-ramp-v1\gradual-ramp-v1__late-event__15s.json,replica-timelines\gradual-ramp-v1\gradual-ramp-v1__late-event__15s.replicas.csv,plots\gradual-ramp-v1\gradual-ramp-v1__late-event__15s.svg
gradual-ramp-v1__slope-reduction__0.60,gradual-ramp-v1,shape,slope_scale,slope_reduction,2.639583,4.970367,-2.639583,14.0,7.038889,180,1,0.0,-60,94,0,94,0,94,-14.0,none,forecasts\gradual-ramp-v1\gradual-ramp-v1__slope-reduction__0.60.forecast.csv,metadata\gradual-ramp-v1\gradual-ramp-v1__slope-reduction__0.60.json,replica-timelines\gradual-ramp-v1\gradual-ramp-v1__slope-reduction__0.60.replicas.csv,plots\gradual-ramp-v1\gradual-ramp-v1__slope-reduction__0.60.svg
gradual-ramp-v1__slope-exaggeration__1.10,gradual-ramp-v1,shape,slope_scale,slope_exaggeration,0.659896,1.242592,0.659896,3.5,1.759722,180,0,3.5,9,23,23,0,23,0,3.5,none,forecasts\gradual-ramp-v1\gradual-ramp-v1__slope-exaggeration__1.10.forecast.csv,metadata\gradual-ramp-v1\gradual-ramp-v1__slope-exaggeration__1.10.json,replica-timelines\gradual-ramp-v1\gradual-ramp-v1__slope-exaggeration__1.10.replicas.csv,plots\gradual-ramp-v1\gradual-ramp-v1__slope-exaggeration__1.10.svg
gradual-ramp-v1__transition-underprediction__8rps,gradual-ramp-v1,location,add_bias,transition_period_error,2.0,4.0,-2.0,8.0,8.0,120,0,0.0,-30,82,0,82,0,82,-8.0,none,forecasts\gradual-ramp-v1\gradual-ramp-v1__transition-underprediction__8rps.forecast.csv,metadata\gradual-ramp-v1\gradual-ramp-v1__transition-underprediction__8rps.json,replica-timelines\gradual-ramp-v1\gradual-ramp-v1__transition-underprediction__8rps.replicas.csv,plots\gradual-ramp-v1\gradual-ramp-v1__transition-underprediction__8rps.svg
narrow-spike-v1__early-event__10s,narrow-spike-v1,timing,shift_event,early_event,3.888889,11.666667,0.0,35.0,17.5,20,-10,0.0,0,22,30,30,10,12,35.0,none,forecasts\narrow-spike-v1\narrow-spike-v1__early-event__10s.forecast.csv,metadata\narrow-spike-v1\narrow-spike-v1__early-event__10s.json,replica-timelines\narrow-spike-v1\narrow-spike-v1__early-event__10s.replicas.csv,plots\narrow-spike-v1\narrow-spike-v1__early-event__10s.svg
narrow-spike-v1__late-event__10s,narrow-spike-v1,timing,shift_event,late_event,3.888889,11.666667,0.0,35.0,17.5,20,10,0.0,0,22,30,30,12,10,-35.0,none,forecasts\narrow-spike-v1\narrow-spike-v1__late-event__10s.forecast.csv,metadata\narrow-spike-v1\narrow-spike-v1__late-event__10s.json,replica-timelines\narrow-spike-v1\narrow-spike-v1__late-event__10s.replicas.csv,plots\narrow-spike-v1\narrow-spike-v1__late-event__10s.svg
narrow-spike-v1__missed-peak,narrow-spike-v1,event_presence,replace_interval,missed_peak,5.833333,14.28869,-5.833333,35.0,35.0,30,,-35.0,-30,61,0,180,0,61,-35.0,missed_peak,forecasts\narrow-spike-v1\narrow-spike-v1__missed-peak.forecast.csv,metadata\narrow-spike-v1\narrow-spike-v1__missed-peak.json,replica-timelines\narrow-spike-v1\narrow-spike-v1__missed-peak.replicas.csv,plots\narrow-spike-v1\narrow-spike-v1__missed-peak.svg
narrow-spike-v1__false-peak__45rps,narrow-spike-v1,event_presence,replace_interval,false_peak,2.222222,6.666667,2.222222,20.0,20.0,20,0,0.0,20,40,80,0,40,0,20.0,false_peak,forecasts\narrow-spike-v1\narrow-spike-v1__false-peak__45rps.forecast.csv,metadata\narrow-spike-v1\narrow-spike-v1__false-peak__45rps.json,replica-timelines\narrow-spike-v1\narrow-spike-v1__false-peak__45rps.replicas.csv,plots\narrow-spike-v1\narrow-spike-v1__false-peak__45rps.svg
narrow-spike-v1__smoothed-peak__11s,narrow-spike-v1,shape,moving_average,smoothed_peak,1.060606,3.517632,0.0,15.909091,4.772727,20,5,0.0,0,14,7,8,6,8,15.909091,none,forecasts\narrow-spike-v1\narrow-spike-v1__smoothed-peak__11s.forecast.csv,metadata\narrow-spike-v1\narrow-spike-v1__smoothed-peak__11s.json,replica-timelines\narrow-spike-v1\narrow-spike-v1__smoothed-peak__11s.replicas.csv,plots\narrow-spike-v1\narrow-spike-v1__smoothed-peak__11s.svg
