trace_id,mutation_id,decision_seq,decision_offset_ms,forecast_target_offset_ms,oracle_rps,forecast_rps,oracle_raw_replicas,forecast_raw_replicas,oracle_commanded_replicas,forecast_commanded_replicas,forecast_action,forecast_scale_down_held
stable-noisy-control-v1,stable-noisy-control-v1__stable-error__10rps,0,0,6000,25.000000,25.000000,1,1,1,1,none,false
stable-noisy-control-v1,stable-noisy-control-v1__stable-error__10rps,1,1000,7000,24.000000,24.000000,1,1,1,1,none,false
stable-noisy-control-v1,stable-noisy-control-v1__stable-error__10rps,2,2000,8000,23.000000,23.000000,1,1,1,1,none,false
stable-noisy-control-v1,stable-noisy-control-v1__stable-error__10rps,3,3000,9000,24.000000,24.000000,1,1,1,1,none,false
stable-noisy-control-v1,stable-noisy-control-v1__stable-error__10rps,4,4000,10000,25.000000,25.000000,1,1,1,1,none,false
stable-noisy-control-v1,stable-noisy-control-v1__stable-error__10rps,5,5000,11000,26.000000,26.000000,1,1,1,1,none,false
stable-noisy-control-v1,stable-noisy-control-v1__stable-error__10rps,6,6000,12000,27.000000,27.000000,1,1,1,1,none,false
stable-noisy-control-v1,stable-noisy-control-v1__stable-error__10rps,7,7000,13000,26.000000,26.000000,1,1,1,1,none,false
stable-noisy-control-v1,stable-noisy-control-v1__stable-error__10rps,8,8000,14000,25.000000,25.000000,1,1,1,1,none,false
stable-noisy-control-v1,stable-noisy-control-v1__stable-error__10rps,9,9000,15000,24.000000,24.000000,1,1,1,1,none,false
stable-noisy-control-v1,stable-noisy-control-v1__stable-error__10rps,10,10000,16000,23.000000,23.000000,1,1,1,1,none,false
stable-noisy-control-v1,stable-noisy-control-v1__stable-error__10rps,11,11000,17000,24.000000,24.000000,1,1,1,1,none,false
stable-noisy-control-v1,stable-noisy-control-v1__stable-error__10rps,12,12000,18000,25.000000,25.000000,1,1,1,1,none,false
stable-noisy-control-v1,stable-noisy-control-v1__stable-error__10rps,13,13000,19000,26.000000,26.000000,1,1,1,1,none,false
stable-noisy-control-v1,stable-noisy-control-v1__stable-error__10rps,14,14000,20000,27.000000,27.000000,1,1,1,1,none,false
stable-noisy-control-v1,stable-noisy-control-v1__stable-error__10rps,15,15000,21000,26.000000,26.000000,1,1,1,1,none,false
stable-noisy-control-v1,stable-noisy-control-v1__stable-error__10rps,16,16000,22000,25.000000,25.000000,1,1,1,1,none,false
stable-noisy-control-v1,stable-noisy-control-v1__stable-error__10rps,17,17000,23000,24.000000,24.000000,1,1,1,1,none,false
stable-noisy-control-v1,stable-noisy-control-v1__stable-error__10rps,18,18000,24000,23.000000,23.000000,1,1,1,1,none,false
stable-noisy-control-v1,stable-noisy-control-v1__stable-error__10rps,19,19000,25000,24.000000,24.000000,1,1,1,1,none,false
stable-noisy-control-v1,stable-noisy-control-v1__stable-error__10rps,20,20000,26000,25.000000,25.000000,1,1,1,1,none,false
stable-noisy-control-v1,stable-noisy-control-v1__stable-error__10rps,21,21000,27000,26.000000,26.000000,1,1,1,1,none,false
stable-noisy-control-v1,stable-noisy-control-v1__stable-error__10rps,22,22000,28000,27.000000,27.000000,1,1,1,1,none,false
stable-noisy-control-v1,stable-noisy-control-v1__stable-error__10rps,23,23000,29000,26.000000,26.000000,1,1,1,1,none,false
stable-noisy-control-v1,stable-noisy-control-v1__stable-error__10rps,24,24000,30000,25.000000,25.000000,1,1,1,1,none,false
