trace_id,mutation_id,decision_seq,decision_offset_ms,forecast_target_offset_ms,oracle_rps,forecast_rps,oracle_raw_replicas,forecast_raw_replicas,oracle_commanded_replicas,forecast_commanded_replicas,forecast_action,forecast_scale_down_held
sustained-peak-v1,sustained-peak-v1__underprediction__0.80,0,0,6000,25.000000,25.000000,1,1,1,1,none,false
sustained-peak-v1,sustained-peak-v1__underprediction__0.80,1,1000,7000,25.000000,25.000000,1,1,1,1,none,false
sustained-peak-v1,sustained-peak-v1__underprediction__0.80,2,2000,8000,25.000000,25.000000,1,1,1,1,none,false
sustained-peak-v1,sustained-peak-v1__underprediction__0.80,3,3000,9000,25.000000,25.000000,1,1,1,1,none,false
sustained-peak-v1,sustained-peak-v1__underprediction__0.80,4,4000,10000,25.000000,25.000000,1,1,1,1,none,false
sustained-peak-v1,sustained-peak-v1__underprediction__0.80,5,5000,11000,25.000000,25.000000,1,1,1,1,none,false
sustained-peak-v1,sustained-peak-v1__underprediction__0.80,6,6000,12000,25.000000,25.000000,1,1,1,1,none,false
sustained-peak-v1,sustained-peak-v1__underprediction__0.80,7,7000,13000,25.000000,25.000000,1,1,1,1,none,false
sustained-peak-v1,sustained-peak-v1__underprediction__0.80,8,8000,14000,25.000000,25.000000,1,1,1,1,none,false
sustained-peak-v1,sustained-peak-v1__underprediction__0.80,9,9000,15000,25.000000,25.000000,1,1,1,1,none,false
sustained-peak-v1,sustained-peak-v1__underprediction__0.80,10,10000,16000,25.000000,25.000000,1,1,1,1,none,false
sustained-peak-v1,sustained-peak-v1__underprediction__0.80,11,11000,17000,25.000000,25.000000,1,1,1,1,none,false
sustained-peak-v1,sustained-peak-v1__underprediction__0.80,12,12000,18000,25.000000,25.000000,1,1,1,1,none,false
sustained-peak-v1,sustained-peak-v1__underprediction__0.80,13,13000,19000,25.000000,25.000000,1,1,1,1,none,false
sustained-peak-v1,sustained-peak-v1__underprediction__0.80,14,14000,20000,25.000000,25.000000,1,1,1,1,none,false
sustained-peak-v1,sustained-peak-v1__underprediction__0.80,15,15000,21000,25.000000,25.000000,1,1,1,1,none,false
sustained-peak-v1,sustained-peak-v1__underprediction__0.80,16,16000,22000,25.000000,25.000000,1,1,1,1,none,false
sustained-peak-v1,sustained-peak-v1__underprediction__0.80,17,17000,23000,25.000000,25.000000,1,1,1,1,none,false
sustained-peak-v1,sustained-peak-v1__underprediction__0.80,18,18000,24000,25.000000,25.000000,1,1,1,1,none,false
sustained-peak-v1,sustained-peak-v1__underprediction__0.80,19,19000,25000,25.000000,25.000000,1,1,1,1,none,false
sustained-peak-v1,sustained-peak-v1__underprediction__0.80,20,20000,26000,25.000000,25.000000,1,1,1,1,none,false
sustained-peak-v1,sustained-peak-v1__underprediction__0.80,21,21000,27000,25.000000,25.000000,1,1,1,1,none,false
sustained-peak-v1,sustained-peak-v1__underprediction__0.80,22,22000,28000,25.000000,25.000000,1,1,1,1,none,false
sustained-peak-v1,sustained-peak-v1__underprediction__0.80,23,23000,29000,25.000000,25.000000,1,1,1,1,none,false
sustained-peak-v1,sustained-peak-v1__underprediction__0.80,24,24000,30000,25.000000,25.000000,1,1,1,1,none,false
sustained-peak-v1,sustained-peak-v1__underprediction__0.80,25,25000,31000,25.000000,25.000000,1,1,1,1,none,false
sustained-peak-v1,sustained-peak-v1__underprediction__0.80,26,26000,32000,25.000000,25.000000,1,1,1,1,none,false
sustained-peak-v1,sustained-peak-v1__underprediction__0.80,27,27000,33000,25.000000,25.000000,1,1,1,1,none,false
sustained-peak-v1,sustained-peak-v1__underprediction__0.80,28,28000,34000,25.000000,25.000000,1,1,1,1,none,false
sustained-peak-v1,sustained-peak-v1__underprediction__0.80,29,29000,35000,25.000000,25.000000,1,1,1,1,none,false
