run_id,attempt,in_retained_matrix,retained_valid_attempt,validation_valid,disposition,failure_reason
r19-cap090-miss-r01-s0,1,True,True,True,retained,
r19-cap090-miss-r02-s0,1,True,True,True,retained,
r19-cap090-miss-r03-s0,1,True,True,True,retained,
r19-cap090-miss-r04-s0,1,True,True,True,retained,
r19-cap090-miss-r05-s0,1,True,True,True,retained,
r19-cap110-miss-r01-s0,1,True,False,False,technical_invalid,
r19-cap110-miss-r01-s0,2,True,True,True,retained,
r19-cap110-miss-r02-s0,1,True,True,True,retained,
r19-cap110-miss-r03-s0,1,True,False,False,technical_invalid,
r19-cap110-miss-r03-s0,2,True,True,True,retained,
r19-cap110-miss-r04-s0,1,True,True,True,retained,
r19-cap110-miss-r05-s0,1,True,True,True,retained,
r19-h03-a-r01-s0,1,True,False,False,technical_invalid,
r19-h03-a-r01-s0,2,True,False,False,technical_invalid,
r19-h03-a-r01-s0,3,True,True,True,retained,
r19-h03-a-r02-s0,1,True,False,False,technical_invalid,
r19-h03-a-r02-s0,2,True,True,True,retained,
r19-h03-a-r03-s0,1,True,True,True,retained,
r19-h03-a-r04-s0,1,True,True,True,retained,
r19-h03-a-r05-s0,1,True,True,True,retained,
r19-h03-b-r01-s0,1,True,True,True,retained,
r19-h03-b-r02-s0,1,True,False,False,technical_invalid,
r19-h03-b-r02-s0,2,True,True,True,retained,
r19-h03-b-r03-s0,1,True,True,True,retained,
r19-h03-b-r04-s0,1,True,True,True,retained,
r19-h03-b-r05-s0,1,True,True,True,retained,
r19-h09-a-r01-s0,1,True,True,True,retained,
r19-h09-a-r02-s0,1,True,True,True,retained,
r19-h09-a-r03-s0,1,True,True,True,retained,
r19-h09-a-r04-s0,1,True,True,True,retained,
r19-h09-a-r05-s0,1,True,True,True,retained,
r19-h09-b-r01-s0,1,True,True,True,retained,
r19-h09-b-r02-s0,1,True,True,True,retained,
r19-h09-b-r03-s0,1,True,True,True,retained,
r19-h09-b-r04-s0,1,True,True,True,retained,
r19-h09-b-r05-s0,1,True,False,False,technical_invalid,
r19-h09-b-r05-s0,2,True,True,True,retained,
r19-sp1-miss-r01-s1,1,False,False,True,superseded,
r19-sp1-miss-r02-s1,1,False,False,True,superseded,
r19-sp1-miss-r03-s1,1,False,False,True,superseded,
r19-sp1-miss-r04-s1,1,False,False,True,superseded,
r19-sp1-miss-r05-s1,1,False,False,True,superseded,
r19-sp3-miss-r01-s1,1,False,False,False,technical_invalid,
r19-sp3-miss-r01-s1,2,False,False,True,superseded,
r19-sp3-miss-r02-s1,1,False,False,True,superseded,
r19-sp3-miss-r03-s1,1,False,False,True,superseded,
r19-sp3-miss-r04-s1,1,False,False,False,technical_invalid,
r19-sp3-miss-r04-s1,2,False,False,True,superseded,
r19-sp3-miss-r05-s1,1,False,False,False,technical_invalid,
r19-v112-sp1-miss-r01-s1,1,True,True,True,retained,
r19-v112-sp1-miss-r02-s1,1,True,False,False,technical_invalid,
r19-v112-sp1-miss-r02-s1,2,True,True,True,retained,
r19-v112-sp1-miss-r03-s1,1,True,True,True,retained,
r19-v112-sp1-miss-r04-s1,1,True,True,True,retained,
r19-v112-sp1-miss-r05-s1,1,True,True,True,retained,
r19-v112-sp3-miss-r01-s1,1,True,False,False,technical_invalid,
r19-v112-sp3-miss-r01-s1,2,True,True,True,retained,
r19-v112-sp3-miss-r02-s1,1,True,True,True,retained,
r19-v112-sp3-miss-r03-s1,1,True,True,True,retained,
r19-v112-sp3-miss-r04-s1,1,True,False,False,technical_invalid,
r19-v112-sp3-miss-r04-s1,2,True,True,True,retained,
r19-v112-sp3-miss-r05-s1,1,True,True,True,retained,
