comparison,family,condition_side,metric,configuration_a,configuration_b,n_pairs,mean_a,mean_b,median_a,median_b,mean_difference_b_minus_a,median_difference_b_minus_a,percent_difference_vs_a,bootstrap_ci_low,bootstrap_ci_high,exact_paired_permutation_p,all_pair_differences_same_direction,pair_differences
forecast_horizon_early,forecast_horizon,a,slo_violation_seconds,horizon_3s,horizon_9s,5,16.2,8.4,17.0,8.0,-7.8,-9.0,-48.14814814814815,-10.2,-4.8,0.0625,True,-11;-2;-7;-10;-9
forecast_horizon_early,forecast_horizon,a,request_p99_latency_ms,horizon_3s,horizon_9s,5,33.11883400000002,28.36740400000004,32.91665000000005,27.529920000000086,-4.75142999999998,-5.222790000000007,-14.34661014937898,-6.18631200000001,-2.8446599999999527,0.0625,True,-1.25924;-5.38673;-5.22279;-6.91019;-4.9782
forecast_horizon_early,forecast_horizon,a,request_failure_rate,horizon_3s,horizon_9s,5,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,True,0;0;0;0;0
forecast_horizon_early,forecast_horizon,a,ready_deficient_replica_seconds,horizon_3s,horizon_9s,5,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,True,0;0;0;0;0
forecast_horizon_early,forecast_horizon,a,ready_capacity_deficit_rps_seconds,horizon_3s,horizon_9s,5,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,True,0;0;0;0;0
forecast_horizon_early,forecast_horizon,a,deficient_replica_seconds,horizon_3s,horizon_9s,5,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,True,0;0;0;0;0
forecast_horizon_early,forecast_horizon,a,excess_replica_seconds,horizon_3s,horizon_9s,5,89.2,90.0,90.0,90.0,0.8,0.0,0.8968609865470851,0.0,1.6,0.5,True,2;0;0;2;0
forecast_horizon_early,forecast_horizon,a,replica_seconds,horizon_3s,horizon_9s,5,359.2,360.0,360.0,360.0,0.8,0.0,0.22271714922049,0.0,1.6,0.5,True,2;0;0;2;0
forecast_horizon_early,forecast_horizon,a,scale_action_count,horizon_3s,horizon_9s,5,3.8,4.0,4.0,4.0,0.2,0.0,5.2631578947368425,0.0,0.6,1.0,True,0;0;0;1;0
forecast_horizon_early,forecast_horizon,a,churn_magnitude_replicas,horizon_3s,horizon_9s,5,6.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,True,0;0;0;0;0
forecast_horizon_early,forecast_horizon,a,mean_cpu_cores,horizon_3s,horizon_9s,5,0.34856550499905203,0.34973930416074583,0.34950892292571284,0.3529551729762717,0.0011737991616938004,0.0017572241163318902,0.3367513838459123,-0.008559585728111519,0.009291348436815061,0.8125,False,-0.0171581;0.00807812;0.00175722;0.0125934;0.000598381
forecast_horizon_late,forecast_horizon,b,slo_violation_seconds,horizon_3s,horizon_9s,5,29.0,12.8,27.0,13.0,-16.2,-13.0,-55.86206896551724,-21.8,-10.6,0.0625,True,-25;-13;-11;-23;-9
forecast_horizon_late,forecast_horizon,b,request_p99_latency_ms,horizon_3s,horizon_9s,5,3343.451816000002,2262.9497900000038,3165.3447000000024,2373.0618100000006,-1080.5020259999983,-1219.5491099999954,-32.31696119648813,-1535.2370580000002,-544.7005459999953,0.0625,True,-1219.55;-1397.63;-1830.69;-769.029;-185.614
forecast_horizon_late,forecast_horizon,b,request_failure_rate,horizon_3s,horizon_9s,5,0.023855855855855857,0.0,0.02666666666666667,0.0,-0.023855855855855857,-0.02666666666666667,-100.0,-0.027387387387387385,-0.01963963963963964,0.0625,True,-0.0275676;-0.0275676;-0.0165766;-0.0266667;-0.0209009
forecast_horizon_late,forecast_horizon,b,ready_deficient_replica_seconds,horizon_3s,horizon_9s,5,26.4,7.8,27.0,7.0,-18.6,-20.0,-70.45454545454547,-21.0,-15.2,0.0625,True,-20;-20;-19;-12;-22
forecast_horizon_late,forecast_horizon,b,ready_capacity_deficit_rps_seconds,horizon_3s,horizon_9s,5,291.0,75.0,305.0,65.0,-216.0,-230.0,-74.22680412371135,-242.0,-179.0,0.0625,True,-240;-215;-230;-145;-250
forecast_horizon_late,forecast_horizon,b,deficient_replica_seconds,horizon_3s,horizon_9s,5,20.4,3.0,21.0,3.0,-17.4,-18.0,-85.29411764705881,-18.0,-16.2,0.0625,True,-18;-18;-18;-15;-18
forecast_horizon_late,forecast_horizon,b,excess_replica_seconds,horizon_3s,horizon_9s,5,110.4,93.0,111.0,93.0,-17.4,-18.0,-15.760869565217389,-18.0,-16.2,0.0625,True,-18;-18;-18;-15;-18
forecast_horizon_late,forecast_horizon,b,replica_seconds,horizon_3s,horizon_9s,5,360.0,360.0,360.0,360.0,0.0,0.0,0.0,0.0,0.0,1.0,True,0;0;0;0;0
forecast_horizon_late,forecast_horizon,b,scale_action_count,horizon_3s,horizon_9s,5,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,True,0;0;0;0;0
forecast_horizon_late,forecast_horizon,b,churn_magnitude_replicas,horizon_3s,horizon_9s,5,6.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,True,0;0;0;0;0
forecast_horizon_late,forecast_horizon,b,mean_cpu_cores,horizon_3s,horizon_9s,5,0.32974650481394563,0.35674707651041226,0.3312655736281725,0.3595832578376767,0.027000571696466656,0.02965805352294143,8.188281392611367,0.01857258542603052,0.03412433836992211,0.0625,True,0.0296581;0.0379586;0.023137;0.0325232;0.011726
safety_persistence,safety_persistence,b,slo_violation_seconds,persistence_1s,persistence_3s,5,13.0,15.8,14.0,14.0,2.8,3.0,21.53846153846154,1.2,4.2,0.125,True,3;0;2;5;4
safety_persistence,safety_persistence,b,request_p99_latency_ms,persistence_1s,persistence_3s,5,2167.270486000005,3436.929468000005,2181.0227400000085,3423.4838400000026,1269.6589820000004,1226.630670000006,58.583318981256014,703.383468000002,1872.8249219999955,0.0625,True,867.595;1616.36;1226.63;2293.39;344.322
safety_persistence,safety_persistence,b,request_failure_rate,persistence_1s,persistence_3s,5,0.0,0.0021981981981981985,0.0,0.0,0.0021981981981981985,0.0,,0.0,0.006594594594594595,1.0,True,0;0;0;0;0.010991
safety_persistence,safety_persistence,b,ready_deficient_replica_seconds,persistence_1s,persistence_3s,5,8.2,15.0,9.0,15.0,6.8,6.0,82.92682926829269,5.2,9.0,0.0625,True,6;7;5;11;5
