run_id,family,configuration,condition_side,forecast_condition,workload_id,repetition,safety_enabled,valid_attempt,controller_version,n_seconds,mae_rps,rmse_rps,bias_rps,controller_desired_replica_mae,desired_replica_mae,deficient_replica_seconds,excess_replica_seconds,ready_deficient_replica_seconds,ready_capacity_deficit_rps_seconds,replica_seconds,scale_action_count,churn_magnitude_replicas,slo_violation_seconds,slo_violation_rate,slo_episode_count,request_p99_latency_ms,request_failure_rate,mean_cpu_cores,kubernetes_coverage,prometheus_coverage
r19-cap110-miss-r01-s0,controller_capacity,capacity_110pct,b,missed_peak,narrow-spike-v1,1,False,2,1.1.2,180,5.833333333333333,14.288690166235206,-5.833333333333333,0.5,0.5,90.0,0.0,101.0,1230.0,180.0,0,0.0,73,0.40555555555555556,11,4169.1906400000025,0.1553153153153153,0.30672080256637096,1.0,1.0
r19-cap110-miss-r02-s0,controller_capacity,capacity_110pct,b,missed_peak,narrow-spike-v1,2,False,1,1.1.2,180,5.833333333333333,14.288690166235206,-5.833333333333333,0.5,0.5,90.0,0.0,102.0,1255.0,180.0,0,0.0,54,0.3,9,5216.473070000001,0.12216216216216216,0.310599888652068,1.0,1.0
r19-cap110-miss-r03-s0,controller_capacity,capacity_110pct,b,missed_peak,narrow-spike-v1,3,False,2,1.1.2,180,5.833333333333333,14.288690166235206,-5.833333333333333,0.5,0.5,90.0,0.0,101.0,1230.0,180.0,0,0.0,62,0.34444444444444444,8,6856.476460000002,0.13531531531531532,0.31269238452489545,0.9888888888888889,1.0
r19-cap110-miss-r04-s0,controller_capacity,capacity_110pct,b,missed_peak,narrow-spike-v1,4,False,1,1.1.2,180,5.833333333333333,14.288690166235206,-5.833333333333333,0.5,0.5,90.0,0.0,100.0,1200.0,180.0,0,0.0,49,0.2722222222222222,6,6126.31674,0.13315315315315315,0.3079184235012385,0.9722222222222222,1.0
r19-cap110-miss-r05-s0,controller_capacity,capacity_110pct,b,missed_peak,narrow-spike-v1,5,False,1,1.1.2,180,5.833333333333333,14.288690166235206,-5.833333333333333,0.5,0.5,90.0,0.0,100.0,1190.0,180.0,0,0.0,53,0.29444444444444445,10,4564.316120000004,0.12108108108108108,0.31372452278143187,0.9888888888888889,1.0
r19-cap090-miss-r01-s0,controller_capacity,capacity_90pct,b,missed_peak,narrow-spike-v1,1,False,1,1.1.2,180,5.833333333333333,14.288690166235206,-5.833333333333333,0.5,0.5,90.0,0.0,100.0,1200.0,180.0,0,0.0,49,0.2722222222222222,8,3629.69258,0.13207207207207208,0.31258571902764365,1.0,1.0
r19-cap090-miss-r02-s0,controller_capacity,capacity_90pct,b,missed_peak,narrow-spike-v1,2,False,1,1.1.2,180,5.833333333333333,14.288690166235206,-5.833333333333333,0.5,0.5,90.0,0.0,101.0,1230.0,180.0,0,0.0,53,0.29444444444444445,10,4630.82146,0.13261261261261262,0.31004426277268454,1.0,1.0
r19-cap090-miss-r03-s0,controller_capacity,capacity_90pct,b,missed_peak,narrow-spike-v1,3,False,1,1.1.2,180,5.833333333333333,14.288690166235206,-5.833333333333333,0.5,0.5,90.0,0.0,101.0,1220.0,180.0,0,0.0,47,0.2611111111111111,8,5821.214200000001,0.12468468468468469,0.3146470084056258,1.0,1.0
r19-cap090-miss-r04-s0,controller_capacity,capacity_90pct,b,missed_peak,narrow-spike-v1,4,False,1,1.1.2,180,5.833333333333333,14.288690166235206,-5.833333333333333,0.5,0.5,90.0,0.0,101.0,1225.0,180.0,0,0.0,60,0.3333333333333333,9,4128.973620000004,0.13495495495495496,0.30921529350524385,1.0,1.0
r19-cap090-miss-r05-s0,controller_capacity,capacity_90pct,b,missed_peak,narrow-spike-v1,5,False,1,1.1.2,180,5.833333333333333,14.288690166235206,-5.833333333333333,0.5,0.5,90.0,0.0,100.0,1200.0,180.0,0,0.0,49,0.2722222222222222,6,4625.719430000001,0.12378378378378378,0.3174115962264692,0.95,1.0
r19-h03-a-r01-s0,forecast_horizon,horizon_3s,a,early_event,narrow-spike-v1,1,False,3,1.1.1,180,5.055555555555555,13.30204662615661,0.0,0.5,0.4888888888888889,0.0,88.0,0.0,0.0,358.0,4,6.0,20,0.1111111111111111,20,32.524280000000005,0.0,0.345796866002801,0.9833333333333333,1.0
r19-h03-a-r02-s0,forecast_horizon,horizon_3s,a,early_event,narrow-spike-v1,2,False,2,1.1.1,180,5.055555555555555,13.30204662615661,0.0,0.5,0.5,0.0,90.0,0.0,0.0,360.0,4,6.0,12,0.06666666666666667,12,32.91665000000005,0.0,0.34950892292571284,0.9944444444444445,1.0
r19-h03-a-r03-s0,forecast_horizon,horizon_3s,a,early_event,narrow-spike-v1,3,False,1,1.1.1,180,5.055555555555555,13.30204662615661,0.0,0.5,0.5,0.0,90.0,0.0,0.0,360.0,4,6.0,15,0.08333333333333333,15,31.66736000000001,0.0,0.3511979488599398,0.9944444444444445,1.0
r19-h03-a-r04-s0,forecast_horizon,horizon_3s,a,early_event,narrow-spike-v1,4,False,1,1.1.1,180,5.055555555555555,13.30204662615661,0.0,0.5,0.4888888888888889,0.0,88.0,0.0,0.0,358.0,3,6.0,17,0.09444444444444444,17,33.758650000000024,0.0,0.3463886823719208,0.9666666666666667,1.0
r19-h03-a-r05-s0,forecast_horizon,horizon_3s,a,early_event,narrow-spike-v1,5,False,1,1.1.1,180,5.055555555555555,13.30204662615661,0.0,0.5,0.5,0.0,90.0,0.0,0.0,360.0,4,6.0,17,0.09444444444444444,16,34.72723000000001,0.0,0.34993510483488566,0.9833333333333333,1.0
r19-h03-b-r01-s0,forecast_horizon,horizon_3s,b,late_event,narrow-spike-v1,1,False,1,1.1.1,180,2.7222222222222223,9.761033642897548,0.0,0.7333333333333333,0.7333333333333333,21.0,111.0,27.0,305.0,360.0,4,6.0,40,0.2222222222222222,20,3266.2748100000017,0.027567567567567567,0.32619895690168527,1.0,1.0
r19-h03-b-r02-s0,forecast_horizon,horizon_3s,b,late_event,narrow-spike-v1,2,False,2,1.1.1,180,2.7222222222222223,9.761033642897548,0.0,0.7333333333333333,0.7333333333333333,21.0,111.0,27.0,280.0,360.0,4,6.0,27,0.15,12,3144.975890000001,0.027567567567567567,0.32162463444342054,1.0,1.0
r19-h03-b-r03-s0,forecast_horizon,horizon_3s,b,late_event,narrow-spike-v1,3,False,1,1.1.1,180,2.7222222222222223,9.761033642897548,0.0,0.7333333333333333,0.7333333333333333,21.0,111.0,28.0,320.0,360.0,4,6.0,23,0.12777777777777777,7,4203.747360000003,0.016576576576576577,0.33708010251237475,0.9888888888888889,1.0
r19-h03-b-r04-s0,forecast_horizon,horizon_3s,b,late_event,narrow-spike-v1,4,False,1,1.1.1,180,2.7222222222222223,9.761033642897548,0.0,0.7333333333333333,0.7,18.0,108.0,22.0,240.0,360.0,4,6.0,36,0.2,16,3165.3447000000024,0.02666666666666667,0.33256325658407504,0.9666666666666667,1.0
r19-h03-b-r05-s0,forecast_horizon,horizon_3s,b,late_event,narrow-spike-v1,5,False,1,1.1.1,180,2.7222222222222223,9.761033642897548,0.0,0.7333333333333333,0.7333333333333333,21.0,111.0,28.0,310.0,360.0,4,6.0,19,0.10555555555555556,8,2936.916320000004,0.020900900900900903,0.3312655736281725,1.0,1.0
