pair_id,condition,metric,value,rank_worst_first
pair-01-direction_bias,persistent_negative_bias,mae_rps,5.0,5.0
pair-01-direction_bias,persistent_positive_bias,mae_rps,5.0,5.0
pair-02-duration,extended_peak,mae_rps,2.9661016949152543,9.0
pair-02-duration,shortened_peak,mae_rps,2.9661016949152543,9.0
pair-03-event_presence,false_peak,mae_rps,6.0344827586206895,3.0
pair-03-event_presence,missed_peak,mae_rps,6.0344827586206895,3.0
pair-04-location,stable_period_error,mae_rps,1.0126582278481011,11.0
pair-04-location,transition_period_error,mae_rps,1.0126582278481011,11.0
pair-05-shape,sharpened,mae_rps,0.2995643137254903,13.0
pair-05-shape,smoothed,mae_rps,0.2995643137254903,13.0
pair-06-timing_periodic,early_event,mae_rps,6.5294117815126045,1.0
pair-06-timing_periodic,late_event,mae_rps,6.5294117815126045,1.0
pair-07-timing_spike,early_event,mae_rps,4.022988505747127,7.0
pair-07-timing_spike,late_event,mae_rps,4.022988505747127,7.0
pair-01-direction_bias,persistent_negative_bias,rmse_rps,5.0,9.0
pair-01-direction_bias,persistent_positive_bias,rmse_rps,5.0,9.0
pair-02-duration,extended_peak,rmse_rps,10.188893920442684,5.0
pair-02-duration,shortened_peak,rmse_rps,10.188893920442684,5.0
pair-03-event_presence,false_peak,rmse_rps,14.532958974404494,1.0
pair-03-event_presence,missed_peak,rmse_rps,14.532958974404494,1.0
pair-04-location,stable_period_error,rmse_rps,2.8462722678592804,11.0
pair-04-location,transition_period_error,rmse_rps,2.8462722678592804,11.0
pair-05-shape,sharpened,rmse_rps,0.7266810425875311,13.0
pair-05-shape,smoothed,rmse_rps,0.726681042587531,14.0
pair-06-timing_periodic,early_event,rmse_rps,7.361835586127132,7.0
pair-06-timing_periodic,late_event,rmse_rps,7.361835586127132,7.0
pair-07-timing_spike,early_event,rmse_rps,11.86611131336418,3.0
pair-07-timing_spike,late_event,rmse_rps,11.86611131336418,3.0
pair-01-direction_bias,persistent_negative_bias,transition_mae_rps,5.0,6.0
pair-01-direction_bias,persistent_positive_bias,transition_mae_rps,5.0,6.0
pair-02-duration,extended_peak,transition_mae_rps,17.5,2.0
pair-02-duration,shortened_peak,transition_mae_rps,0.0,11.0
pair-03-event_presence,false_peak,transition_mae_rps,0.0,11.0
pair-03-event_presence,missed_peak,transition_mae_rps,17.5,2.0
pair-04-location,stable_period_error,transition_mae_rps,0.0,11.0
pair-04-location,transition_period_error,transition_mae_rps,1.6,8.0
pair-05-shape,sharpened,transition_mae_rps,0.3386574566666668,9.0
pair-05-shape,smoothed,transition_mae_rps,0.3386574566666668,9.0
pair-06-timing_periodic,early_event,transition_mae_rps,7.653333353333332,5.0
pair-06-timing_periodic,late_event,transition_mae_rps,7.667916686666666,4.0
pair-07-timing_spike,early_event,transition_mae_rps,0.0,11.0
pair-07-timing_spike,late_event,transition_mae_rps,35.0,1.0
pair-01-direction_bias,persistent_negative_bias,desired_replica_mae,0.5861111111111111,3.0
pair-01-direction_bias,persistent_positive_bias,desired_replica_mae,0.0,12.0
pair-02-duration,extended_peak,desired_replica_mae,0.25,8.0
pair-02-duration,shortened_peak,desired_replica_mae,0.25,8.0
pair-03-event_presence,false_peak,desired_replica_mae,0.6666666666666666,2.0
pair-03-event_presence,missed_peak,desired_replica_mae,1.0,1.0
pair-04-location,stable_period_error,desired_replica_mae,0.1145833333333333,11.0
pair-04-location,transition_period_error,desired_replica_mae,0.1375,10.0
pair-05-shape,sharpened,desired_replica_mae,0.0,12.0
pair-05-shape,smoothed,desired_replica_mae,0.0,12.0
pair-06-timing_periodic,early_event,desired_replica_mae,0.4583333333333333,4.0
pair-06-timing_periodic,late_event,desired_replica_mae,0.4583333333333333,4.0
pair-07-timing_spike,early_event,desired_replica_mae,0.3333333333333333,6.0
pair-07-timing_spike,late_event,desired_replica_mae,0.3333333333333333,6.0
pair-01-direction_bias,persistent_negative_bias,deficient_replica_seconds,211.0,1.0
pair-01-direction_bias,persistent_positive_bias,deficient_replica_seconds,0.0,8.0
pair-02-duration,extended_peak,deficient_replica_seconds,0.0,8.0
pair-02-duration,shortened_peak,deficient_replica_seconds,90.0,5.0
pair-03-event_presence,false_peak,deficient_replica_seconds,0.0,8.0
pair-03-event_presence,missed_peak,deficient_replica_seconds,180.0,2.0
pair-04-location,stable_period_error,deficient_replica_seconds,0.0,8.0
pair-04-location,transition_period_error,deficient_replica_seconds,0.0,8.0
pair-05-shape,sharpened,deficient_replica_seconds,0.0,8.0
pair-05-shape,smoothed,deficient_replica_seconds,0.0,8.0
pair-06-timing_periodic,early_event,deficient_replica_seconds,165.0,3.0
pair-06-timing_periodic,late_event,deficient_replica_seconds,165.0,3.0
pair-07-timing_spike,early_event,deficient_replica_seconds,30.0,6.0
pair-07-timing_spike,late_event,deficient_replica_seconds,30.0,6.0
pair-01-direction_bias,persistent_negative_bias,request_p99_latency_ms,47.081155,4.0
pair-01-direction_bias,persistent_positive_bias,request_p99_latency_ms,35.05598500000001,5.0
pair-02-duration,extended_peak,request_p99_latency_ms,34.19680000000001,6.0
pair-02-duration,shortened_peak,request_p99_latency_ms,1432.5675350000015,3.0
pair-03-event_presence,false_peak,request_p99_latency_ms,32.032450000000054,8.0
pair-03-event_presence,missed_peak,request_p99_latency_ms,4886.279835000003,1.0
pair-04-location,stable_period_error,request_p99_latency_ms,31.883624999999938,9.0
pair-04-location,transition_period_error,request_p99_latency_ms,31.52286499999998,10.0
pair-05-shape,sharpened,request_p99_latency_ms,30.696204999999967,11.0
pair-05-shape,smoothed,request_p99_latency_ms,30.02261499999998,12.0
pair-06-timing_periodic,early_event,request_p99_latency_ms,29.82187999999994,13.0
pair-06-timing_periodic,late_event,request_p99_latency_ms,33.81905999999991,7.0
pair-07-timing_spike,early_event,request_p99_latency_ms,29.48333000000003,14.0
pair-07-timing_spike,late_event,request_p99_latency_ms,2475.355455000001,2.0
pair-01-direction_bias,persistent_negative_bias,slo_violation_seconds,23.0,9.0
pair-01-direction_bias,persistent_positive_bias,slo_violation_seconds,13.0,12.0
pair-02-duration,extended_peak,slo_violation_seconds,21.5,10.0
pair-02-duration,shortened_peak,slo_violation_seconds,25.5,8.0
pair-03-event_presence,false_peak,slo_violation_seconds,10.5,14.0
pair-03-event_presence,missed_peak,slo_violation_seconds,59.5,7.0
pair-04-location,stable_period_error,slo_violation_seconds,60.0,6.0
pair-04-location,transition_period_error,slo_violation_seconds,62.0,5.0
pair-05-shape,sharpened,slo_violation_seconds,103.5,3.0
pair-05-shape,smoothed,slo_violation_seconds,100.0,4.0
pair-06-timing_periodic,early_event,slo_violation_seconds,104.5,1.0
pair-06-timing_periodic,late_event,slo_violation_seconds,104.0,2.0
pair-07-timing_spike,early_event,slo_violation_seconds,11.0,13.0
pair-07-timing_spike,late_event,slo_violation_seconds,19.5,11.0
pair-01-direction_bias,persistent_negative_bias,excess_replica_seconds,0.0,9.0
pair-01-direction_bias,persistent_positive_bias,excess_replica_seconds,0.0,9.0
pair-02-duration,extended_peak,excess_replica_seconds,90.0,4.0
pair-02-duration,shortened_peak,excess_replica_seconds,0.0,9.0
pair-03-event_presence,false_peak,excess_replica_seconds,120.0,3.0
pair-03-event_presence,missed_peak,excess_replica_seconds,0.0,9.0
pair-04-location,stable_period_error,excess_replica_seconds,55.0,6.0
pair-04-location,transition_period_error,excess_replica_seconds,66.0,5.0
