run_id,source_step,phase,pair_id,condition_side,condition,workload_id,repetition,safety_enabled,mae_rps,rmse_rps,transition_mae_rps,desired_replica_mae,deficient_replica_seconds,request_p99_latency_ms,slo_violation_seconds,excess_replica_seconds
final-oracle-sustain-r01-s0,step15,reference,reference-oracle,reference,oracle,sustained-peak-v1,1,False,0.0,0.0,0.0,0.0,0,38.60828,28,0
final-p02-b-r01-s0,step15,primary,pair-02-duration,b,shortened_peak,sustained-peak-v1,1,False,2.9661016949152543,10.188893920442684,0.0,0.25,90,1261.4022100000025,48,0
final-p01-a-r01-s0,step15,primary,pair-01-direction_bias,a,persistent_negative_bias,sustained-peak-v1,1,False,5.0,5.0,5.0,0.5861111111111111,211,55.469600000000014,48,0
final-p05-b-r01-s0,step15,primary,pair-05-shape,b,smoothed,periodic-triangle-v1,1,False,0.2995643137254903,0.726681042587531,0.3386574566666668,0.0,0,37.71201,128,0
final-p03-a-r01-s0,step15,primary,pair-03-event_presence,a,false_peak,narrow-spike-v1,1,False,6.0344827586206895,14.532958974404494,0.0,0.6666666666666666,0,35.64501000000001,32,120
final-p04-a-r01-s0,step15,primary,pair-04-location,a,stable_period_error,gradual-ramp-v1,1,False,1.0126582278481011,2.8462722678592804,0.0,0.1145833333333333,0,39.34019999999997,81,55
final-oracle-spike-r01-s0,step15,reference,reference-oracle,reference,oracle,narrow-spike-v1,1,False,0.0,0.0,0.0,0.0,0,34.78254000000001,18,0
final-p02-a-r01-s0,step15,primary,pair-02-duration,a,extended_peak,sustained-peak-v1,1,False,2.9661016949152543,10.188893920442684,17.5,0.25,0,39.39235000000001,39,90
final-p07-b-r01-s0,step15,primary,pair-07-timing_spike,b,late_event,narrow-spike-v1,1,False,4.022988505747127,11.86611131336418,35.0,0.3333333333333333,30,2129.7738200000035,23,30
final-p03-b-r01-s0,step15,primary,pair-03-event_presence,b,missed_peak,narrow-spike-v1,1,False,6.0344827586206895,14.532958974404494,17.5,1.0,180,6137.093320000004,66,0
final-p06-a-r01-s0,step15,primary,pair-06-timing_periodic,a,early_event,periodic-triangle-v1,1,False,6.5294117815126045,7.361835586127132,7.653333353333332,0.4583333333333333,165,37.50603,114,165
final-oracle-ramp-r01-s0,step15,reference,reference-oracle,reference,oracle,gradual-ramp-v1,1,False,0.0,0.0,0.0,0.0,0,37.410559999999904,67,0
final-p01-b-r01-s0,step15,primary,pair-01-direction_bias,b,persistent_positive_bias,sustained-peak-v1,1,False,5.0,5.0,5.0,0.0,0,39.572190000000006,43,0
final-p06-b-r01-s0,step15,primary,pair-06-timing_periodic,b,late_event,periodic-triangle-v1,1,False,6.5294117815126045,7.361835586127132,7.667916686666666,0.4583333333333333,165,38.23611999999998,127,165
final-oracle-periodic-r01-s0,step15,reference,reference-oracle,reference,oracle,periodic-triangle-v1,1,False,0.0,0.0,0.0,0.0,0,35.93412999999998,113,0
final-p04-b-r01-s0,step15,primary,pair-04-location,b,transition_period_error,gradual-ramp-v1,1,False,1.0126582278481011,2.8462722678592804,1.6,0.1375,0,37.14753,71,66
final-p05-a-r01-s0,step15,primary,pair-05-shape,a,sharpened,periodic-triangle-v1,1,False,0.2995643137254903,0.7266810425875311,0.3386574566666668,0.0,0,36.20304,123,0
final-p07-a-r01-s0,step15,primary,pair-07-timing_spike,a,early_event,narrow-spike-v1,1,False,4.022988505747127,11.86611131336418,0.0,0.3333333333333333,30,35.60655,21,30
final-p03-b-r02-s0,step15,primary,pair-03-event_presence,b,missed_peak,narrow-spike-v1,2,False,6.0344827586206895,14.532958974404494,17.5,1.0,180,5354.7899800000005,58,0
final-p07-b-r02-s0,step15,primary,pair-07-timing_spike,b,late_event,narrow-spike-v1,2,False,4.022988505747127,11.86611131336418,35.0,0.3333333333333333,30,2115.90071,20,30
final-p03-a-r02-s0,step15,primary,pair-03-event_presence,a,false_peak,narrow-spike-v1,2,False,6.0344827586206895,14.532958974404494,0.0,0.6666666666666666,0,33.767950000000056,14,120
final-p07-a-r02-s0,step15,primary,pair-07-timing_spike,a,early_event,narrow-spike-v1,2,False,4.022988505747127,11.86611131336418,0.0,0.3333333333333333,30,34.62610000000001,17,30
final-p04-a-r02-s0,step15,primary,pair-04-location,a,stable_period_error,gradual-ramp-v1,2,False,1.0126582278481011,2.8462722678592804,0.0,0.1145833333333333,0,36.39195999999985,70,55
final-p05-b-r02-s0,step15,primary,pair-05-shape,b,smoothed,periodic-triangle-v1,2,False,0.2995643137254903,0.726681042587531,0.3386574566666668,0.0,0,27.81911999999998,100,0
final-p06-b-r02-s0,step15,primary,pair-06-timing_periodic,b,late_event,periodic-triangle-v1,2,False,6.5294117815126045,7.361835586127132,7.667916686666666,0.4583333333333333,165,32.427539999999915,102,165
final-p01-b-r02-s0,step15,primary,pair-01-direction_bias,b,persistent_positive_bias,sustained-peak-v1,2,False,5.0,5.0,5.0,0.0,0,34.17733000000001,13,0
final-oracle-ramp-r02-s0,step15,reference,reference-oracle,reference,oracle,gradual-ramp-v1,2,False,0.0,0.0,0.0,0.0,0,29.102159999999976,64,0
final-p02-a-r02-s0,step15,primary,pair-02-duration,a,extended_peak,sustained-peak-v1,2,False,2.9661016949152543,10.188893920442684,17.5,0.25,0,35.89930000000003,13,90
final-p05-a-r02-s0,step15,primary,pair-05-shape,a,sharpened,periodic-triangle-v1,2,False,0.2995643137254903,0.7266810425875311,0.3386574566666668,0.0,0,28.03231999999995,91,0
