analysis_family,contrast_id,contrast,metric,domain,n_pairs,mean_a,mean_b,median_a,median_b,mean_difference_b_minus_a,median_difference_b_minus_a,percent_difference_vs_a,bootstrap_ci_low,bootstrap_ci_high,exact_permutation_p,signed_rank_permutation_p,cohens_dz,rank_biserial,positive_pairs,zero_pairs,negative_pairs,loo_mean_min,loo_mean_max,loo_p_min,loo_p_max,holm_p_within_domain_family
primary_mutations,pair-01-direction_bias,persistent_positive_bias - persistent_negative_bias,mae_rps,forecast,8,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,0.0,0,8,0,0.0,0.0,1.0,1.0,1.0
primary_mutations,pair-01-direction_bias,persistent_positive_bias - persistent_negative_bias,rmse_rps,forecast,8,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,0.0,0,8,0,0.0,0.0,1.0,1.0,1.0
primary_mutations,pair-01-direction_bias,persistent_positive_bias - persistent_negative_bias,transition_mae_rps,forecast,8,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,0.0,0,8,0,0.0,0.0,1.0,1.0,1.0
primary_mutations,pair-01-direction_bias,persistent_positive_bias - persistent_negative_bias,desired_replica_mae,decision,8,0.5861111111111111,0.0,0.5861111111111111,0.0,-0.5861111111111111,-0.5861111111111111,-100.0,-0.5861111111111111,-0.5861111111111111,0.0078125,0.0078125,,-1.0,0,0,8,-0.5861111111111111,-0.5861111111111111,0.015625,0.015625,0.0546875
primary_mutations,pair-01-direction_bias,persistent_positive_bias - persistent_negative_bias,deficient_replica_seconds,harm,8,211.0,0.0,211.0,0.0,-211.0,-211.0,-100.0,-211.0,-211.0,0.0078125,0.0078125,,-1.0,0,0,8,-211.0,-211.0,0.015625,0.015625,0.1640625
primary_mutations,pair-01-direction_bias,persistent_positive_bias - persistent_negative_bias,request_p99_latency_ms,harm,8,48.59087375000003,35.73179250000001,47.081155,35.05598500000001,-12.859081250000015,-12.032905,-26.463984402009253,-14.748078968750004,-10.794181062500023,0.0078125,0.0078125,-4.238517461264239,-1.0,0,0,8,-13.595528571428584,-12.30245571428573,0.015625,0.015625,0.1640625
primary_mutations,pair-01-direction_bias,persistent_positive_bias - persistent_negative_bias,slo_violation_seconds,harm,8,24.875,16.625,23.0,13.0,-8.25,-7.5,-33.165829145728644,-13.625,-3.5,0.03125,0.03125,-1.0532255462256657,-1.0,0,2,6,-9.428571428571429,-6.285714285714286,0.03125,0.0625,0.34375
primary_mutations,pair-01-direction_bias,persistent_positive_bias - persistent_negative_bias,excess_replica_seconds,cost,8,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,1.0,,0.0,0,8,0,0.0,0.0,1.0,1.0,1.0
primary_mutations,pair-02-duration,shortened_peak - extended_peak,mae_rps,forecast,8,2.9661016949152543,2.9661016949152543,2.9661016949152543,2.9661016949152543,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,0.0,0,8,0,0.0,0.0,1.0,1.0,1.0
primary_mutations,pair-02-duration,shortened_peak - extended_peak,rmse_rps,forecast,8,10.188893920442684,10.188893920442684,10.188893920442684,10.188893920442684,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,0.0,0,8,0,0.0,0.0,1.0,1.0,1.0
primary_mutations,pair-02-duration,shortened_peak - extended_peak,transition_mae_rps,forecast,8,17.5,0.0,17.5,0.0,-17.5,-17.5,-100.0,-17.5,-17.5,0.0078125,0.0078125,,-1.0,0,0,8,-17.5,-17.5,0.015625,0.015625,0.1640625
primary_mutations,pair-02-duration,shortened_peak - extended_peak,desired_replica_mae,decision,8,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,0.0,0,8,0,0.0,0.0,1.0,1.0,1.0
primary_mutations,pair-02-duration,shortened_peak - extended_peak,deficient_replica_seconds,harm,8,0.0,90.0,0.0,90.0,90.0,90.0,,90.0,90.0,0.0078125,0.0078125,,1.0,8,0,0,90.0,90.0,0.015625,0.015625,0.1640625
primary_mutations,pair-02-duration,shortened_peak - extended_peak,request_p99_latency_ms,harm,8,35.03843250000001,1578.827981250002,34.19680000000001,1432.5675350000015,1543.7895487500018,1398.4780550000014,4405.989191297303,1269.0227451250028,1866.5689787500014,0.0078125,0.0078125,3.272168605434467,1.0,8,0,0,1415.737130000002,1608.0636657142877,0.015625,0.015625,0.1640625
primary_mutations,pair-02-duration,shortened_peak - extended_peak,slo_violation_seconds,harm,8,21.0,27.0,21.5,25.5,6.0,7.0,28.571428571428573,0.25,11.5,0.1015625,0.140625,0.6831300510639733,0.6111111111111112,5,0,3,4.142857142857143,7.714285714285714,0.0625,0.203125,1.0
primary_mutations,pair-02-duration,shortened_peak - extended_peak,excess_replica_seconds,cost,8,90.0,0.0,90.0,0.0,-90.0,-90.0,-100.0,-90.0,-90.0,0.0078125,0.0078125,,-1.0,0,0,8,-90.0,-90.0,0.015625,0.015625,0.0546875
primary_mutations,pair-03-event_presence,missed_peak - false_peak,mae_rps,forecast,8,6.0344827586206895,6.0344827586206895,6.0344827586206895,6.0344827586206895,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,0.0,0,8,0,0.0,0.0,1.0,1.0,1.0
primary_mutations,pair-03-event_presence,missed_peak - false_peak,rmse_rps,forecast,8,14.532958974404494,14.532958974404494,14.532958974404494,14.532958974404494,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,0.0,0,8,0,0.0,0.0,1.0,1.0,1.0
primary_mutations,pair-03-event_presence,missed_peak - false_peak,transition_mae_rps,forecast,8,0.0,17.5,0.0,17.5,17.5,17.5,,17.5,17.5,0.0078125,0.0078125,,1.0,8,0,0,17.5,17.5,0.015625,0.015625,0.1640625
primary_mutations,pair-03-event_presence,missed_peak - false_peak,desired_replica_mae,decision,8,0.6666666666666666,1.0,0.6666666666666666,1.0,0.33333333333333337,0.33333333333333337,50.00000000000001,0.33333333333333337,0.33333333333333337,0.0078125,0.0078125,,1.0,8,0,0,0.3333333333333334,0.3333333333333334,0.015625,0.015625,0.0546875
primary_mutations,pair-03-event_presence,missed_peak - false_peak,deficient_replica_seconds,harm,8,0.0,180.0,0.0,180.0,180.0,180.0,,180.0,180.0,0.0078125,0.0078125,,1.0,8,0,0,180.0,180.0,0.015625,0.015625,0.1640625
primary_mutations,pair-03-event_presence,missed_peak - false_peak,request_p99_latency_ms,harm,8,31.49576250000003,4836.928981250002,32.032450000000054,4886.279835000003,4805.433218750002,4853.215230000003,15257.396034625284,4101.492841250001,5503.287385562499,0.0078125,0.0078125,4.408736276015441,1.0,8,0,0,4620.288205714288,5012.95923714286,0.015625,0.015625,0.1640625
primary_mutations,pair-03-event_presence,missed_peak - false_peak,slo_violation_seconds,harm,8,12.75,62.0,10.5,59.5,49.25,48.5,386.27450980392155,43.375,55.25,0.0078125,0.0078125,5.375901705661681,1.0,8,0,0,46.857142857142854,51.42857142857143,0.015625,0.015625,0.1640625
primary_mutations,pair-03-event_presence,missed_peak - false_peak,excess_replica_seconds,cost,8,120.0,0.0,120.0,0.0,-120.0,-120.0,-100.0,-120.0,-120.0,0.0078125,0.0078125,,-1.0,0,0,8,-120.0,-120.0,0.015625,0.015625,0.0546875
primary_mutations,pair-04-location,transition_period_error - stable_period_error,mae_rps,forecast,8,1.0126582278481011,1.0126582278481011,1.0126582278481011,1.0126582278481011,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,0.0,0,8,0,0.0,0.0,1.0,1.0,1.0
primary_mutations,pair-04-location,transition_period_error - stable_period_error,rmse_rps,forecast,8,2.8462722678592804,2.8462722678592804,2.8462722678592804,2.8462722678592804,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,0.0,0,8,0,0.0,0.0,1.0,1.0,1.0
primary_mutations,pair-04-location,transition_period_error - stable_period_error,transition_mae_rps,forecast,8,0.0,1.6,0.0,1.6,1.6,1.6,,1.6,1.6,0.0078125,0.0078125,,1.0,8,0,0,1.5999999999999999,1.5999999999999999,0.015625,0.015625,0.1640625
primary_mutations,pair-04-location,transition_period_error - stable_period_error,desired_replica_mae,decision,8,0.1145833333333333,0.1375,0.1145833333333333,0.1375,0.02291666666666671,0.02291666666666671,20.000000000000043,0.02291666666666671,0.02291666666666671,0.0078125,0.0078125,,1.0,8,0,0,0.022916666666666714,0.022916666666666714,0.015625,0.015625,0.0546875
primary_mutations,pair-04-location,transition_period_error - stable_period_error,deficient_replica_seconds,harm,8,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,1.0,,0.0,0,8,0,0.0,0.0,1.0,1.0,1.0
primary_mutations,pair-04-location,transition_period_error - stable_period_error,request_p99_latency_ms,harm,8,32.977736249999936,31.807953749999957,31.883624999999938,31.52286499999998,-1.169782499999973,0.047980000000002576,-3.5471885975799062,-2.983603687499942,0.2572975000000133,0.25,0.640625,-0.4577965439025787,-0.2222222222222222,4,0,4,-1.4544271428571076,-0.40042142857141627,0.234375,0.5,1.0
primary_mutations,pair-04-location,transition_period_error - stable_period_error,slo_violation_seconds,harm,8,64.75,63.125,60.0,62.0,-1.625,-0.5,-2.5096525096525095,-5.75,2.0,0.4921875,0.84375,-0.27198251275334195,-0.1111111111111111,4,0,4,-2.4285714285714284,-0.2857142857142857,0.390625,0.953125,1.0
primary_mutations,pair-04-location,transition_period_error - stable_period_error,excess_replica_seconds,cost,8,55.0,66.0,55.0,66.0,11.0,11.0,20.0,11.0,11.0,0.0078125,0.0078125,,1.0,8,0,0,11.0,11.0,0.015625,0.015625,0.0546875
primary_mutations,pair-05-shape,smoothed - sharpened,mae_rps,forecast,8,0.2995643137254903,0.2995643137254903,0.2995643137254903,0.2995643137254903,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,0.0,0,8,0,0.0,0.0,1.0,1.0,1.0
primary_mutations,pair-05-shape,smoothed - sharpened,rmse_rps,forecast,8,0.7266810425875311,0.726681042587531,0.7266810425875311,0.726681042587531,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,0.0,0,8,0,0.0,0.0,1.0,1.0,1.0
primary_mutations,pair-05-shape,smoothed - sharpened,transition_mae_rps,forecast,8,0.3386574566666668,0.3386574566666668,0.3386574566666668,0.3386574566666668,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,0.0,0,8,0,0.0,0.0,1.0,1.0,1.0
primary_mutations,pair-05-shape,smoothed - sharpened,desired_replica_mae,decision,8,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,1.0,,0.0,0,8,0,0.0,0.0,1.0,1.0,1.0
primary_mutations,pair-05-shape,smoothed - sharpened,deficient_replica_seconds,harm,8,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,1.0,,0.0,0,8,0,0.0,0.0,1.0,1.0,1.0
primary_mutations,pair-05-shape,smoothed - sharpened,request_p99_latency_ms,harm,8,30.849574999999966,30.42767249999997,30.696204999999967,30.02261499999998,-0.4219024999999954,-0.15208499999998892,-1.367612033553123,-2.053604781250025,0.8076712500000132,0.7578125,0.546875,-0.18929444732910133,-0.2777777777777778,2,0,6,-0.7660228571428535,0.291238571428579,0.5,0.765625,1.0
primary_mutations,pair-05-shape,smoothed - sharpened,slo_violation_seconds,harm,8,104.0,104.5,103.5,100.0,0.5,0.0,0.4807692307692308,-2.5,3.75,0.8515625,0.9453125,0.10028694463571923,0.05555555555555555,4,0,4,-0.7142857142857143,1.2857142857142858,0.578125,1.0,1.0
primary_mutations,pair-05-shape,smoothed - sharpened,excess_replica_seconds,cost,8,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,1.0,,0.0,0,8,0,0.0,0.0,1.0,1.0,1.0
primary_mutations,pair-06-timing_periodic,late_event - early_event (periodic),mae_rps,forecast,8,6.5294117815126045,6.5294117815126045,6.5294117815126045,6.5294117815126045,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,0.0,0,8,0,0.0,0.0,1.0,1.0,1.0
primary_mutations,pair-06-timing_periodic,late_event - early_event (periodic),rmse_rps,forecast,8,7.361835586127132,7.361835586127132,7.361835586127132,7.361835586127132,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,0.0,0,8,0,0.0,0.0,1.0,1.0,1.0
primary_mutations,pair-06-timing_periodic,late_event - early_event (periodic),transition_mae_rps,forecast,8,7.653333353333332,7.667916686666666,7.653333353333332,7.667916686666666,0.014583333333333393,0.014583333333333393,0.1905487799898559,0.014583333333333393,0.014583333333333393,0.0078125,0.0078125,,1.0,8,0,0,0.014583333333333393,0.014583333333333393,0.015625,0.015625,0.1640625
primary_mutations,pair-06-timing_periodic,late_event - early_event (periodic),desired_replica_mae,decision,8,0.4583333333333333,0.4583333333333333,0.4583333333333333,0.4583333333333333,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,0.0,0,8,0,0.0,0.0,1.0,1.0,1.0
primary_mutations,pair-06-timing_periodic,late_event - early_event (periodic),deficient_replica_seconds,harm,8,165.0,165.0,165.0,165.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,0.0,0,8,0,0.0,0.0,1.0,1.0,1.0
primary_mutations,pair-06-timing_periodic,late_event - early_event (periodic),request_p99_latency_ms,harm,8,30.68057249999997,34.07861124999994,29.82187999999994,33.81905999999991,3.398038749999973,2.8981849999999696,11.075538926139583,1.9476624062499932,4.912357499999964,0.0078125,0.0078125,1.4803147314288005,1.0,8,0,0,2.942027142857114,3.7791742857142583,0.015625,0.015625,0.1640625
primary_mutations,pair-06-timing_periodic,late_event - early_event (periodic),slo_violation_seconds,harm,8,104.375,107.0,104.5,104.0,2.625,5.0,2.5149700598802394,-1.625,6.75,0.3515625,0.5625,0.40240308362651445,0.2777777777777778,5,0,3,1.1428571428571428,3.857142857142857,0.1875,0.6875,1.0
primary_mutations,pair-06-timing_periodic,late_event - early_event (periodic),excess_replica_seconds,cost,8,165.0,165.0,165.0,165.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,0.0,0,8,0,0.0,0.0,1.0,1.0,1.0
primary_mutations,pair-07-timing_spike,late_event - early_event (narrow spike),mae_rps,forecast,8,4.022988505747127,4.022988505747127,4.022988505747127,4.022988505747127,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,0.0,0,8,0,0.0,0.0,1.0,1.0,1.0
primary_mutations,pair-07-timing_spike,late_event - early_event (narrow spike),rmse_rps,forecast,8,11.86611131336418,11.86611131336418,11.86611131336418,11.86611131336418,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,0.0,0,8,0,0.0,0.0,1.0,1.0,1.0
primary_mutations,pair-07-timing_spike,late_event - early_event (narrow spike),transition_mae_rps,forecast,8,0.0,35.0,0.0,35.0,35.0,35.0,,35.0,35.0,0.0078125,0.0078125,,1.0,8,0,0,35.0,35.0,0.015625,0.015625,0.1640625
primary_mutations,pair-07-timing_spike,late_event - early_event (narrow spike),desired_replica_mae,decision,8,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,0.0,0,8,0,0.0,0.0,1.0,1.0,1.0
primary_mutations,pair-07-timing_spike,late_event - early_event (narrow spike),deficient_replica_seconds,harm,8,30.0,30.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,0.0,0,8,0,0.0,0.0,1.0,1.0,1.0
primary_mutations,pair-07-timing_spike,late_event - early_event (narrow spike),request_p99_latency_ms,harm,8,29.948846250000017,2595.4620212500026,29.48333000000003,2475.355455000001,2565.513175000003,2446.122675000001,8566.3172249916,2233.298512343752,2954.565274875002,0.0078125,0.0078125,4.544699393105455,1.0,8,0,0,2395.304640000003,2634.690112857146,0.015625,0.015625,0.1640625
primary_mutations,pair-07-timing_spike,late_event - early_event (narrow spike),slo_violation_seconds,harm,8,11.25,19.875,11.0,19.5,8.625,7.0,76.66666666666667,4.5,13.5,0.0078125,0.0078125,1.2451431509345885,1.0,8,0,0,6.714285714285714,9.571428571428571,0.015625,0.015625,0.1640625
primary_mutations,pair-07-timing_spike,late_event - early_event (narrow spike),excess_replica_seconds,cost,8,30.0,30.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,0.0,0,8,0,0.0,0.0,1.0,1.0,1.0
safety,safety_persistent_negative_bias,safety on - off (persistent_negative_bias),mae_rps,forecast,5,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,0.0,0,5,0,0.0,0.0,1.0,1.0,1.0
safety,safety_persistent_negative_bias,safety on - off (persistent_negative_bias),rmse_rps,forecast,5,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,0.0,0,5,0,0.0,0.0,1.0,1.0,1.0
safety,safety_persistent_negative_bias,safety on - off (persistent_negative_bias),transition_mae_rps,forecast,5,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,0.0,0,5,0,0.0,0.0,1.0,1.0,1.0
safety,safety_persistent_negative_bias,safety on - off (persistent_negative_bias),desired_replica_mae,decision,5,0.5861111111111111,0.0666666666666666,0.5861111111111111,0.0666666666666666,-0.5194444444444446,-0.5194444444444446,-88.62559241706163,-0.5194444444444446,-0.5194444444444446,0.0625,0.0625,,-1.0,0,0,5,-0.5194444444444446,-0.5194444444444446,0.125,0.125,0.125
safety,safety_persistent_negative_bias,safety on - off (persistent_negative_bias),deficient_replica_seconds,harm,5,211.0,7.0,211.0,7.0,-204.0,-204.0,-96.6824644549763,-204.0,-204.0,0.0625,0.0625,,-1.0,0,0,5,-204.0,-204.0,0.125,0.125,0.375
safety,safety_persistent_negative_bias,safety on - off (persistent_negative_bias),request_p99_latency_ms,harm,5,48.72352600000003,33.03354400000002,47.14305,33.622720000000015,-15.689982000000004,-12.909780000000023,-32.2020659999032,-19.438744,-11.94122000000001,0.0625,0.0625,-3.1761896014892077,-1.0,0,0,5,-16.688780000000015,-14.28479750000001,0.125,0.125,0.375
safety,safety_persistent_negative_bias,safety on - off (persistent_negative_bias),slo_violation_seconds,harm,5,26.4,17.2,23.0,12.0,-9.2,-16.0,-34.848484848484844,-18.8,3.0,0.1875,0.1875,-0.6593330586112828,-0.7333333333333333,1,0,4,-14.75,-6.5,0.125,0.375,0.375
safety,safety_persistent_negative_bias,safety on - off (persistent_negative_bias),excess_replica_seconds,cost,5,0.0,17.0,0.0,17.0,17.0,17.0,,17.0,17.0,0.0625,0.0625,,1.0,5,0,0,17.0,17.0,0.125,0.125,0.125
safety,safety_missed_peak,safety on - off (missed_peak),mae_rps,forecast,5,6.0344827586206895,6.0344827586206895,6.0344827586206895,6.0344827586206895,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,0.0,0,5,0,0.0,0.0,1.0,1.0,1.0
safety,safety_missed_peak,safety on - off (missed_peak),rmse_rps,forecast,5,14.532958974404494,14.532958974404494,14.532958974404494,14.532958974404494,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,0.0,0,5,0,0.0,0.0,1.0,1.0,1.0
safety,safety_missed_peak,safety on - off (missed_peak),transition_mae_rps,forecast,5,17.5,17.5,17.5,17.5,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,0.0,0,5,0,0.0,0.0,1.0,1.0,1.0
safety,safety_missed_peak,safety on - off (missed_peak),desired_replica_mae,decision,5,1.0,0.2,1.0,0.2,-0.8,-0.8,-80.0,-0.8,-0.8,0.0625,0.0625,,-1.0,0,0,5,-0.8,-0.8,0.125,0.125,0.125
safety,safety_missed_peak,safety on - off (missed_peak),deficient_replica_seconds,harm,5,180.0,21.0,180.0,21.0,-159.0,-159.0,-88.33333333333333,-159.0,-159.0,0.0625,0.0625,,-1.0,0,0,5,-159.0,-159.0,0.125,0.125,0.375
safety,safety_missed_peak,safety on - off (missed_peak),request_p99_latency_ms,harm,5,5197.664364000003,2697.312388000002,5354.7899800000005,2854.296400000002,-2500.351976000001,-2293.4381399999947,-48.1052988591935,-3175.0323599999997,-1825.6715920000017,0.0625,0.0625,-2.8525008289058165,-1.0,0,0,5,-2766.6065924999994,-2248.423742500001,0.125,0.125,0.375
