trace_id,suite_version,offset_ms,target_rps,interpolation,phase,event_label,oracle_replicas
stable-noisy-control-v1,1.0.0,0,23.000000,step,warmup,stable_start,1
stable-noisy-control-v1,1.0.0,1000,24.000000,step,warmup,,1
stable-noisy-control-v1,1.0.0,2000,25.000000,step,warmup,,1
stable-noisy-control-v1,1.0.0,3000,26.000000,step,warmup,,1
stable-noisy-control-v1,1.0.0,4000,27.000000,step,warmup,peak_start;peak_time;peak_end,1
stable-noisy-control-v1,1.0.0,5000,26.000000,step,warmup,,1
stable-noisy-control-v1,1.0.0,6000,25.000000,step,warmup,,1
stable-noisy-control-v1,1.0.0,7000,24.000000,step,warmup,,1
stable-noisy-control-v1,1.0.0,8000,23.000000,step,warmup,,1
stable-noisy-control-v1,1.0.0,9000,24.000000,step,warmup,,1
stable-noisy-control-v1,1.0.0,10000,25.000000,step,warmup,,1
stable-noisy-control-v1,1.0.0,11000,26.000000,step,warmup,,1
stable-noisy-control-v1,1.0.0,12000,27.000000,step,warmup,,1
stable-noisy-control-v1,1.0.0,13000,26.000000,step,warmup,,1
stable-noisy-control-v1,1.0.0,14000,25.000000,step,warmup,,1
stable-noisy-control-v1,1.0.0,15000,24.000000,step,warmup,,1
stable-noisy-control-v1,1.0.0,16000,23.000000,step,warmup,,1
stable-noisy-control-v1,1.0.0,17000,24.000000,step,warmup,,1
stable-noisy-control-v1,1.0.0,18000,25.000000,step,warmup,,1
stable-noisy-control-v1,1.0.0,19000,26.000000,step,warmup,,1
stable-noisy-control-v1,1.0.0,20000,27.000000,step,warmup,,1
stable-noisy-control-v1,1.0.0,21000,26.000000,step,warmup,,1
stable-noisy-control-v1,1.0.0,22000,25.000000,step,warmup,,1
stable-noisy-control-v1,1.0.0,23000,24.000000,step,warmup,,1
stable-noisy-control-v1,1.0.0,24000,23.000000,step,warmup,,1
stable-noisy-control-v1,1.0.0,25000,24.000000,step,warmup,,1
stable-noisy-control-v1,1.0.0,26000,25.000000,step,warmup,,1
stable-noisy-control-v1,1.0.0,27000,26.000000,step,warmup,,1
stable-noisy-control-v1,1.0.0,28000,27.000000,step,warmup,,1
stable-noisy-control-v1,1.0.0,29000,26.000000,step,warmup,,1
stable-noisy-control-v1,1.0.0,30000,25.000000,step,warmup,,1
stable-noisy-control-v1,1.0.0,31000,24.000000,step,warmup,,1
stable-noisy-control-v1,1.0.0,32000,23.000000,step,warmup,,1
stable-noisy-control-v1,1.0.0,33000,24.000000,step,warmup,,1
stable-noisy-control-v1,1.0.0,34000,25.000000,step,warmup,,1
stable-noisy-control-v1,1.0.0,35000,26.000000,step,warmup,,1
stable-noisy-control-v1,1.0.0,36000,27.000000,step,warmup,,1
stable-noisy-control-v1,1.0.0,37000,26.000000,step,warmup,,1
stable-noisy-control-v1,1.0.0,38000,25.000000,step,warmup,,1
stable-noisy-control-v1,1.0.0,39000,24.000000,step,warmup,,1
stable-noisy-control-v1,1.0.0,40000,23.000000,step,warmup,,1
stable-noisy-control-v1,1.0.0,41000,24.000000,step,warmup,,1
stable-noisy-control-v1,1.0.0,42000,25.000000,step,warmup,,1
stable-noisy-control-v1,1.0.0,43000,26.000000,step,warmup,,1
stable-noisy-control-v1,1.0.0,44000,27.000000,step,warmup,,1
stable-noisy-control-v1,1.0.0,45000,26.000000,step,warmup,,1
stable-noisy-control-v1,1.0.0,46000,25.000000,step,warmup,,1
stable-noisy-control-v1,1.0.0,47000,24.000000,step,warmup,,1
stable-noisy-control-v1,1.0.0,48000,23.000000,step,warmup,,1
stable-noisy-control-v1,1.0.0,49000,24.000000,step,warmup,,1
stable-noisy-control-v1,1.0.0,50000,25.000000,step,warmup,,1
stable-noisy-control-v1,1.0.0,51000,26.000000,step,warmup,,1
